game_date,pitcher_name,best_side,line,strikeouts_projection,gap,edge_pct,odds_used,actual,won,pnl
2025-03-27,Yusei Kikuchi,under,6.5,4.987601207371816,1.5123987926281837,12.489645178060604,-115.0,5,1.0,86.95652173913042
2025-03-27,MacKenzie Gore,under,5.5,4.113010949533233,1.3869890504667666,15.959655714067011,-105.0,13,0.0,-100.0
2025-03-27,Tarik Skubal,under,5.5,4.941466440612239,0.5585335593877607,18.60065369645534,120.0,2,1.0,120.0
2025-03-27,Framber Valdez,under,5.5,4.080099092506877,1.4199009074931226,22.17800160391763,105.0,4,1.0,105.0
2025-03-27,Cole Ragans,under,5.5,4.535169243456243,0.9648307565437566,10.637060857225231,-105.0,3,1.0,95.23809523809524
2025-03-27,Paul Skenes,under,6.5,4.499233443564123,2.0007665564358774,38.61080540629804,120.0,7,0.0,-100.0
2025-03-27,Nathan Eovaldi,under,5.5,4.780851348867279,0.7191486511327208,7.4049914846821885,-105.0,9,0.0,-100.0
2025-03-27,Zach Eflin,over,3.5,4.466459284828326,0.9664592848283258,30.360750972058405,130.0,2,0.0,-100.0
2025-03-27,Garrett Crochet,under,6.5,4.902903094051059,1.5970969059489413,30.4664036158346,115.0,4,1.0,115.0
2025-03-27,Hunter Greene,under,6.5,4.466765826437898,2.033234173562102,18.12358492347058,-115.0,8,0.0,-100.0
2025-03-27,Blake Snell,under,6.5,4.6887975668798,1.8112024331202,33.171671676037626,115.0,2,1.0,115.0
2025-03-27,Freddy Peralta,under,5.5,5.377263652112938,0.122736347887062,14.444860387204784,125.0,8,0.0,-100.0
2025-03-29,Justin Verlander,under,4.5,3.0614657424203084,1.4385342575796916,11.640324173580808,-115.0,5,0.0,-100.0
2025-03-29,Bailey Falter,over,3.5,4.031982833349601,0.5319828333496011,18.19671667614705,120.0,4,1.0,120.0
2025-03-30,Nick Pivetta,under,5.5,4.780185469233933,0.719814530766067,10.03370935148422,100.0,4,1.0,100.0
2025-03-30,JP Sears,over,4.5,4.697883427409797,0.1978834274097973,18.20370520942619,130.0,7,1.0,129.99999999999997
2025-03-30,Andrew Heaney,over,4.5,4.8191508381138055,0.3191508381138055,20.160285159153705,130.0,2,0.0,-100.0
2025-03-30,Michael Wacha,under,4.5,3.5994723164522666,0.9005276835477334,18.101249175544144,110.0,2,1.0,110.0
2025-03-30,Jacob deGrom,under,6.5,4.175174031894287,2.3248259681057126,35.89060187681056,110.0,6,1.0,110.0
2025-03-30,Taj Bradley,under,6.5,4.3076039944927365,2.1923960055072635,25.013143247571744,-105.0,7,0.0,-100.0
2025-03-31,Drew Rasmussen,under,4.5,2.4141394487722776,2.0858605512277224,33.28058951869692,110.0,4,1.0,110.0
2025-03-31,Chris Paddack,under,4.5,3.972070364009584,0.5279296359904162,20.819874793070447,125.0,2,1.0,125.0
2025-03-31,Bowden Francis,under,4.5,3.564851948138745,0.9351480518612552,21.410713556795457,115.0,4,1.0,115.0
2025-04-01,Will Warren,over,4.5,4.797218503093973,0.2972185030939727,11.993513340894058,115.0,4,0.0,-100.0
2025-04-02,Kyle Freeland,under,4.5,3.679867419392865,0.8201325806071349,11.395778172915394,100.0,3,1.0,100.0
2025-04-02,Jameson Taillon,over,4.5,4.7614289531686325,0.2614289531686324,21.821888469386565,135.0,7,1.0,135.0
2025-04-02,Jeffrey Springs,over,5.5,5.79430219686533,0.2943021968653303,14.55306100736965,120.0,3,0.0,-100.0
2025-04-02,Luis Castillo,over,6.5,7.595029455869199,1.0950294558691986,15.052411479840975,100.0,5,0.0,-100.0
2025-04-02,Framber Valdez,over,5.5,7.195123578711154,1.6951235787111545,10.27742010030645,-125.0,9,1.0,80.0
2025-04-02,Sonny Gray,over,6.5,7.036164881092637,0.5361648810926374,23.63586184002541,130.0,9,1.0,129.99999999999997
2025-04-02,Clay Holmes,under,4.5,4.218947314970723,0.2810526850292767,16.94760563468991,125.0,6,0.0,-100.0
2025-04-02,Paul Skenes,under,7.5,5.585467203160444,1.914532796839556,19.368910234367387,-110.0,6,1.0,90.90909090909092
2025-04-02,Ben Lively,over,3.5,3.581657409227893,0.0816574092278932,13.794155976666566,125.0,4,1.0,125.0
2025-04-03,Carlos Carrasco,over,3.5,4.17287572455594,0.67287572455594,23.06607613813712,125.0,5,1.0,125.0
2025-04-04,Dean Kremer,over,4.5,4.997663633306712,0.4976636333067121,12.32474403482644,110.0,1,0.0,-100.0
2025-04-04,Brandon Pfaadt,over,5.5,6.420909466936768,0.9209094669367685,7.625070671715662,-110.0,4,0.0,-100.0
2025-04-04,Yoshinobu Yamamoto,under,5.5,4.853975739510371,0.6460242604896287,19.926251925418235,120.0,5,1.0,120.0
2025-04-05,Andre Pallante,over,4.5,4.965770061718096,0.4657700617180964,19.8496674380442,125.0,6,1.0,125.0
2025-04-05,Jacob deGrom,under,6.5,4.706816941965433,1.7931830580345671,39.132453471089846,125.0,3,1.0,125.0
2025-04-05,AJ Smith-Shawver,under,4.5,4.276128113062898,0.2238718869371023,21.202404157127187,135.0,6,0.0,-100.0
2025-04-05,Nick Pivetta,under,5.5,5.1799913105534285,0.3200086894465714,7.111694890327569,105.0,4,1.0,105.0
2025-04-05,Roki Sasaki,under,4.5,1.9724089106893496,2.5275910893106506,9.498793580694596,-150.0,4,1.0,66.66666666666666
2025-04-05,Cal Quantrill,over,3.5,4.391002104256423,0.8910021042564233,7.242914123249799,-110.0,4,1.0,90.90909090909092
