benchmark,n,brier,log_loss,mean_pred_over,actual_over_rate,calibration_bias_pp,buckets,bucket_n,mae_calibration_pp,rmse_calibration_pp,rank_brier
consensus_all_volume_weighted,10436,0.22270059413085197,0.636650823252751,0.4951790111846703,0.4988501341510157,-0.3671122966345419,11,9973,1.267094551668048,1.6665735642423543,1
consensus_all,10436,0.2227293299586285,0.6367027494668785,0.4953093225145571,0.4988501341510157,-0.3540811636458585,11,9968,1.361248389211451,1.6685584620400684,2
consensus_usual4_volume_weighted,3439,0.24760272463759508,0.6883362291811592,0.4929077593515976,0.4911311427740622,0.17766165775353615,5,3423,0.6831786661585719,1.2157822352284375,3
consensus_usual4,3439,0.24760284805497323,0.6883364820740233,0.4928958326495808,0.4911311427740622,0.1764689875518588,5,3423,0.5983840996806779,1.0786816299774302,4
consensus_sharp3,3366,0.24796678644854184,0.6890729441853083,0.492188924374163,0.4916815210932858,0.050740328087722775,6,3366,1.199824689535657,1.5878396060618076,5
consensus_sharp3_volume_weighted,3366,0.24796697388766145,0.6890733227437698,0.4921966556555594,0.4916815210932858,0.051513456227364474,6,3366,1.199226502933453,1.5844593767506068,6
