group_type,group,bets,clv_matched,avg_clv_pct,median_clv_pct,positive_clv_rate,clv_t_stat,roi_positive_clv,roi_nonpositive_clv,roi_missing_clv
overall,overall,683,309,1.3235118238658599,0.8695652173913215,0.5598705501618123,3.2288285156486136,0.3119635567749025,0.028178008905146008,0.01564479366032352
month,2026-03,31,6,-0.3358458144905188,0.0,0.16666666666666666,-0.14194074502294557,0.8849557522123894,0.24391304347826076,0.19031306721229657
month,2026-04,274,117,2.4822364872493496,1.3636363636363449,0.6324786324786325,5.022982862808689,0.4812270551414944,0.1871800799110455,0.03730885453785536
month,2026-05,185,73,2.0487620700971716,0.8771929824561209,0.5753424657534246,3.232645600270835,0.3017983634670237,0.04830122568294446,-0.025304192442337836
month,2026-06,193,113,-0.2566466518918021,0.0,0.49557522123893805,-0.29013105692247587,0.08568582542428863,-0.12163925330943301,-0.024126180753098393
line,3.5,29,12,2.4630258498866984,1.1904761904761862,0.5,1.747661212557974,0.13999999999999999,0.714855072463768,0.08019607843137251
line,4.5,171,79,1.472901368389181,0.8230452674897304,0.5822784810126582,2.7031993288997245,0.17368852459016398,-0.07328873147054962,0.07599274772515621
line,5.5,283,120,0.6823738695013931,0.9174311926605672,0.575,1.0121350386700962,0.5373507095617798,-0.027185056756460296,-0.00010350942771112445
line,6.5,151,71,2.18402858845917,0.8344459279038707,0.5352112676056338,1.9579895819196917,0.215478666997785,-0.13269770221764227,-0.07390214345489617
line,7.5,44,24,1.3829173287804277,0.8431045915479385,0.5416666666666666,1.0676770209455948,-0.07957354029684385,0.7107252794105589,0.10183206645665059
line,8.5,5,3,-2.363758246111184,0.0,0.3333333333333333,-0.49172497239815854,0.9090909090909092,-0.045454545454545414,0.6944444444444445
edge_bucket,7-10,130,45,-0.29838123194942845,0.4464285714285587,0.5333333333333333,-0.29015007701623036,0.4861358564824892,0.13394364447504548,-0.029799455030361736
edge_bucket,10-15,182,65,0.8734773836947861,0.8230452674897304,0.5692307692307692,1.014162101817931,0.4822991363324885,-0.13617091758381933,-0.024231748494242603
edge_bucket,15-20,119,50,0.2402348637635688,0.8733790999237212,0.62,0.3365398337227491,0.00796639131608604,0.213121412605184,-0.03320374167059352
edge_bucket,20-30,156,72,1.7240277631786727,1.3484848484848433,0.5833333333333334,2.1497308399435813,0.22827364154777033,0.15047413099594645,0.03945274296737328
edge_bucket,30-50,87,69,2.371411030955709,0.4878048780487809,0.5217391304347826,2.56959298476509,0.4284143235103137,-0.023677345451698396,0.4914582692433183
edge_bucket,50+,9,8,8.230896974890882,0.0,0.375,1.5305733275698707,-0.2666666666666666,-0.5900000000000001,1.35
book,betmgm,133,59,2.475496173407577,2.114164904862581,0.5932203389830508,2.3784845228831033,0.28314055978572916,0.04282507615840949,-0.17357473329551532
book,betonlineag,40,17,1.1240887771501775,0.0,0.4117647058823529,1.5315157193675437,0.5599999999999999,0.31800000000000017,-0.06971767503781988
book,betrivers,163,80,2.9352121132433417,1.3867584028874227,0.65,3.709243460129614,0.37768763425035423,-0.12301329622758196,0.15514761480250067
book,bovada,73,33,-0.5381697015466229,0.0,0.45454545454545453,-0.5592660519945188,0.031270827937494604,0.2226284584980237,0.11861899674399674
book,draftkings,167,69,-0.060047629194980405,0.4690431519699833,0.5507246376811594,-0.06552242299690528,0.3006149287116521,0.07275581355363675,0.00937111598287632
book,fanatics,22,11,-0.3680533410837819,0.0,0.36363636363636365,-0.21119713153343725,0.8708791208791209,-0.45147783251231527,0.3322510822510822
book,fanduel,82,40,0.8733968597474261,0.4670797155198802,0.55,0.7109000019614355,0.23291238885988677,-0.0018676648817020174,-0.02133222739886234
book,mybookieag,3,0,,,,,,,-0.3333333333333333
