game_date,pitcher_name,best_side,line,strikeouts_projection,gap,edge_pct,odds_used,actual,won,pnl,date,clean_name,side,entry_odds,entry_cents,won_bool,bookmaker,over_odds_close,under_odds_close,no_vig_under_cents,source_incl_dk,side_close_cents_incl_dk,sharp_clv_incl_dk_pp
2025-03-27,Yusei Kikuchi,under,6.5,4.987601207371816,1.5123987926281837,12.489645178060604,-115.0,5,1.0,86.95652173913042,2025-03-27,yusei_kikuchi,under,-115.0,53.48837209302325,True,pinnacle,121.0,-162.0,57.743298603270865,pinnacle,57.743298603270865,4.254926510247614
2025-03-27,MacKenzie Gore,under,5.5,4.113010949533233,1.3869890504667666,15.959655714067011,-105.0,13,0.0,-100.0,2025-03-27,mackenzie_gore,under,-105.0,51.21951219512195,False,pinnacle,-121.0,-109.0,48.784883956417836,pinnacle,48.784883956417836,-2.4346282387041143
2025-03-27,Tarik Skubal,under,5.5,4.941466440612239,0.5585335593877607,18.60065369645534,120.0,2,1.0,120.0,2025-03-27,tarik_skubal,under,120.0,45.45454545454545,True,pinnacle,-154.0,115.0,43.41138266962912,pinnacle,43.41138266962912,-2.0431627849163334
2025-03-27,Framber Valdez,under,5.5,4.080099092506877,1.4199009074931226,22.17800160391763,105.0,4,1.0,105.0,2025-03-27,framber_valdez,under,105.0,48.78048780487805,True,pinnacle,-111.0,-118.0,50.71288903372982,pinnacle,50.71288903372982,1.9324012288517736
2025-03-27,Cole Ragans,under,5.5,4.535169243456243,0.9648307565437566,10.637060857225231,-105.0,3,1.0,95.23809523809524,2025-03-27,cole_ragans,under,-105.0,51.21951219512195,True,pinnacle,-158.0,118.0,42.82584157758449,pinnacle,42.82584157758449,-8.39367061753746
2025-03-27,Paul Skenes,under,6.5,4.499233443564123,2.0007665564358774,38.61080540629804,120.0,7,0.0,-100.0,2025-03-27,paul_skenes,under,120.0,45.45454545454545,False,consensus,,,36.73764999862701,consensus,36.73764999862701,-8.71689545591844
2025-03-27,Nathan Eovaldi,under,5.5,4.780851348867279,0.7191486511327208,7.4049914846821885,-105.0,9,0.0,-100.0,2025-03-27,nathan_eovaldi,under,-105.0,51.21951219512195,False,betonlineag,-133.0,103.0,46.32298852859898,betonlineag,46.32298852859898,-4.896523666522974
2025-03-27,Zach Eflin,over,3.5,4.466459284828326,0.9664592848283258,30.360750972058405,130.0,2,0.0,-100.0,2025-03-27,zach_eflin,over,130.0,43.47826086956522,False,pinnacle,108.0,-143.0,55.03663681444749,pinnacle,44.96336318555251,1.485102315987291
2025-03-27,Garrett Crochet,under,6.5,4.902903094051059,1.5970969059489413,30.4664036158346,115.0,4,1.0,115.0,2025-03-27,garrett_crochet,under,115.0,46.51162790697674,True,draftkings,-155.0,120.0,42.78523489932886,draftkings,42.78523489932886,-3.7263930076478786
2025-03-27,Hunter Greene,under,6.5,4.466765826437898,2.033234173562102,18.12358492347058,-115.0,8,0.0,-100.0,2025-03-27,hunter_greene,under,-115.0,53.48837209302325,False,pinnacle,-126.0,-105.0,47.88135593220339,pinnacle,47.88135593220339,-5.60701616081986
2025-03-27,Blake Snell,under,6.5,4.6887975668798,1.8112024331202,33.171671676037626,115.0,2,1.0,115.0,2025-03-27,blake_snell,under,115.0,46.51162790697674,True,pinnacle,-129.0,-103.0,47.38819463977177,pinnacle,47.38819463977177,0.8765667327950268
2025-03-27,Freddy Peralta,under,5.5,5.377263652112938,0.122736347887062,14.444860387204784,125.0,8,0.0,-100.0,2025-03-27,freddy_peralta,under,125.0,44.44444444444444,False,pinnacle,-167.0,123.0,41.757244960197696,pinnacle,41.757244960197696,-2.6871994842467473
2025-03-29,Justin Verlander,under,4.5,3.0614657424203084,1.4385342575796916,11.640324173580808,-115.0,5,0.0,-100.0,2025-03-29,justin_verlander,under,-115.0,53.48837209302325,False,pinnacle,-106.0,-125.0,51.91532258064516,pinnacle,51.91532258064516,-1.5730495123780912
2025-03-29,Bailey Falter,over,3.5,4.031982833349601,0.5319828333496011,18.19671667614705,120.0,4,1.0,120.0,2025-03-29,bailey_falter,over,120.0,45.45454545454545,True,pinnacle,125.0,-168.0,58.51393188854489,pinnacle,41.48606811145511,-3.968477343090342
2025-03-30,Nick Pivetta,under,5.5,4.780185469233933,0.719814530766067,10.03370935148422,100.0,4,1.0,100.0,2025-03-30,nick_pivetta,under,100.0,50.0,True,pinnacle,-152.0,114.0,43.65299334811531,pinnacle,43.65299334811531,-6.347006651884691
2025-03-30,JP Sears,over,4.5,4.697883427409797,0.1978834274097973,18.20370520942619,130.0,7,1.0,129.99999999999997,2025-03-30,jp_sears,over,130.0,43.47826086956522,True,pinnacle,112.0,-149.0,55.91984138224048,pinnacle,44.08015861775952,0.601897748194304
2025-03-30,Andrew Heaney,over,4.5,4.8191508381138055,0.3191508381138055,20.160285159153705,130.0,2,0.0,-100.0,2025-03-30,andrew_heaney,over,130.0,43.47826086956522,False,pinnacle,129.0,-176.0,59.35438265786994,pinnacle,40.64561734213006,-2.8326435274351596
2025-03-30,Michael Wacha,under,4.5,3.5994723164522666,0.9005276835477334,18.101249175544144,110.0,2,1.0,110.0,2025-03-30,michael_wacha,under,110.0,47.61904761904761,True,pinnacle,-141.0,106.0,45.34678056674068,pinnacle,45.34678056674068,-2.272267052306937
2025-03-30,Jacob deGrom,under,6.5,4.175174031894287,2.3248259681057126,35.89060187681056,110.0,6,1.0,110.0,2025-03-30,jacob_degrom,under,110.0,47.61904761904761,True,betonlineag,103.0,-133.0,53.677011471401016,betonlineag,53.677011471401016,6.057963852353403
2025-03-30,Taj Bradley,under,6.5,4.3076039944927365,2.1923960055072635,25.013143247571744,-105.0,7,0.0,-100.0,2025-03-30,taj_bradley,under,-105.0,51.21951219512195,False,pinnacle,-135.0,102.0,46.28717746700807,pinnacle,46.28717746700807,-4.932334728113879
2025-03-31,Drew Rasmussen,under,4.5,2.4141394487722776,2.0858605512277224,33.28058951869692,110.0,4,1.0,110.0,2025-03-31,drew_rasmussen,under,110.0,47.61904761904761,True,pinnacle,-134.0,101.0,46.48945047085469,pinnacle,46.48945047085469,-1.1295971481929215
2025-03-31,Chris Paddack,under,4.5,3.972070364009584,0.5279296359904162,20.819874793070447,125.0,2,1.0,125.0,2025-03-31,chris_paddack,under,125.0,44.44444444444444,True,,,,,,,
2025-03-31,Bowden Francis,under,4.5,3.564851948138745,0.9351480518612552,21.410713556795457,115.0,4,1.0,115.0,2025-03-31,bowden_francis,under,115.0,46.51162790697674,True,pinnacle,-137.0,105.0,45.76614849859998,pinnacle,45.76614849859998,-0.7454794083767595
2025-04-01,Will Warren,over,4.5,4.797218503093973,0.2972185030939727,11.993513340894058,115.0,4,0.0,-100.0,2025-04-01,will_warren,over,115.0,46.51162790697674,False,pinnacle,124.0,-167.0,58.351531790104204,pinnacle,41.648468209895796,-4.863159697080945
2025-04-02,Kyle Freeland,under,4.5,3.679867419392865,0.8201325806071349,11.395778172915394,100.0,3,1.0,100.0,2025-04-02,kyle_freeland,under,100.0,50.0,True,pinnacle,-127.0,-104.0,47.677518377898046,pinnacle,47.677518377898046,-2.3224816221019537
2025-04-02,Jameson Taillon,over,4.5,4.7614289531686325,0.2614289531686324,21.821888469386565,135.0,7,1.0,135.0,2025-04-02,jameson_taillon,over,135.0,42.5531914893617,True,pinnacle,104.0,-137.0,54.11245353159851,pinnacle,45.88754646840149,3.3343549790397873
2025-04-02,Jeffrey Springs,over,5.5,5.79430219686533,0.2943021968653303,14.55306100736965,120.0,3,0.0,-100.0,2025-04-02,jeffrey_springs,over,120.0,45.45454545454545,False,pinnacle,-104.0,-128.0,52.408477842003855,pinnacle,47.591522157996145,2.136976703450692
2025-04-02,Luis Castillo,over,6.5,7.595029455869199,1.0950294558691986,15.052411479840975,100.0,5,0.0,-100.0,2025-04-02,luis_castillo,over,100.0,50.0,False,pinnacle,-121.0,-110.0,48.8938053097345,pinnacle,51.1061946902655,1.1061946902654967
2025-04-02,Framber Valdez,over,5.5,7.195123578711154,1.6951235787111545,10.27742010030645,-125.0,9,1.0,80.0,2025-04-02,framber_valdez,over,-125.0,55.55555555555556,True,pinnacle,-158.0,118.0,42.82584157758449,pinnacle,57.17415842241551,1.618602866859952
2025-04-02,Sonny Gray,over,6.5,7.036164881092637,0.5361648810926374,23.63586184002541,130.0,9,1.0,129.99999999999997,2025-04-02,sonny_gray,over,130.0,43.47826086956522,True,consensus,,,61.72925532356137,consensus,38.27074467643863,-5.207516193126587
2025-04-02,Clay Holmes,under,4.5,4.218947314970723,0.2810526850292767,16.94760563468991,125.0,6,0.0,-100.0,2025-04-02,clay_holmes,under,125.0,44.44444444444444,False,betonlineag,-156.0,120.0,42.72363150867823,betonlineag,42.72363150867823,-1.7208129357662116
2025-04-02,Paul Skenes,under,7.5,5.585467203160444,1.914532796839556,19.368910234367387,-110.0,6,1.0,90.90909090909092,2025-04-02,paul_skenes,under,-110.0,52.38095238095239,True,pinnacle,-116.0,-113.0,49.69460053750305,pinnacle,49.69460053750305,-2.686351843449337
2025-04-02,Ben Lively,over,3.5,3.581657409227893,0.0816574092278932,13.794155976666566,125.0,4,1.0,125.0,2025-04-02,ben_lively,over,125.0,44.44444444444444,True,pinnacle,116.0,-155.0,56.76500508646999,pinnacle,43.23499491353001,-1.2094495309144335
2025-04-03,Carlos Carrasco,over,3.5,4.17287572455594,0.67287572455594,23.06607613813712,125.0,5,1.0,125.0,2025-04-03,carlos_carrasco,over,125.0,44.44444444444444,True,pinnacle,125.0,-168.0,58.51393188854489,pinnacle,41.48606811145511,-2.9583763329893316
2025-04-04,Dean Kremer,over,4.5,4.997663633306712,0.4976636333067121,12.32474403482644,110.0,1,0.0,-100.0,2025-04-04,dean_kremer,over,110.0,47.61904761904761,False,pinnacle,103.0,-137.0,53.99040981537924,pinnacle,46.00959018462076,-1.6094574344268509
