year,date,pitcher_name,pitcher,line,side,edge_pct,entry_odds,entry_cents,sharp_source,sharp_side_close_cents,sharp_clv_pp,dk_close_odds,dk_close_cents,dk_clv_pp,abs_dk_move_pp,divergence_pp,actual,won_bool,result,edge_band
2025,2025-03-27,Yusei Kikuchi,Yusei Kikuchi,6.5,under,12.489645178060604,-115.0,53.48837209302325,pinnacle,57.743298603270865,4.254926510247614,-140.0,58.333333333333336,4.844961240310084,4.844961240310084,0.5900347300624702,5.0,True,W,<15
2025,2025-03-27,MacKenzie Gore,MacKenzie Gore,5.5,under,15.959655714067011,-105.0,51.21951219512195,pinnacle,48.784883956417836,-2.4346282387041143,-105.0,51.21951219512195,0.0,0.0,2.4346282387041143,13.0,False,L,15-20
2025,2025-03-27,Tarik Skubal,Tarik Skubal,5.5,under,18.60065369645534,120.0,45.45454545454545,pinnacle,43.41138266962912,-2.0431627849163334,120.0,45.45454545454545,0.0,0.0,2.0431627849163334,2.0,True,W,15-20
2025,2025-03-27,Framber Valdez,Framber Valdez,5.5,under,22.17800160391763,105.0,48.78048780487805,pinnacle,50.71288903372982,1.9324012288517736,-120.0,54.54545454545454,5.76496674057649,5.76496674057649,3.8325655117247166,4.0,True,W,20+
2025,2025-03-27,Cole Ragans,Cole Ragans,5.5,under,10.637060857225231,-105.0,51.21951219512195,pinnacle,42.82584157758449,-8.39367061753746,110.0,47.61904761904761,-3.6004645760743372,3.6004645760743372,4.793206041463122,3.0,True,W,<15
2025,2025-03-27,Paul Skenes,Paul Skenes,6.5,under,38.61080540629804,120.0,45.45454545454545,consensus,36.73764999862701,-8.71689545591844,,,,,,7.0,False,L,20+
2025,2025-03-27,Nathan Eovaldi,Nathan Eovaldi,5.5,under,7.4049914846821885,-105.0,51.21951219512195,betonlineag,46.32298852859898,-4.896523666522974,100.0,50.0,-1.2195121951219505,1.2195121951219505,3.6770114714010234,9.0,False,L,<15
2025,2025-03-27,Zach Eflin,Zach Eflin,3.5,over,30.360750972058405,130.0,43.47826086956522,pinnacle,44.96336318555251,1.485102315987291,115.0,46.51162790697674,3.033367037411523,3.033367037411523,1.548264721424232,2.0,False,L,20+
2025,2025-03-27,Garrett Crochet,Garrett Crochet,6.5,under,30.4664036158346,115.0,46.51162790697674,consensus,42.736572245246776,-3.775055661729965,120.0,45.45454545454545,-1.0570824524312883,1.0570824524312883,2.717973209298677,4.0,True,W,20+
2025,2025-03-27,Hunter Greene,Hunter Greene,6.5,under,18.12358492347058,-115.0,53.48837209302325,pinnacle,47.88135593220339,-5.60701616081986,-110.0,52.38095238095239,-1.1074197120708646,1.1074197120708646,4.499596448748996,8.0,False,L,15-20
