year,date,pitcher_name,clean_name,line,side,edge_pct,entry_odds,actual,won,entry_cents,edge_band,bet_id,sharp_source,sharp_books,sharp_book_count,primary_book_count,sharp_confidence,sharp_under_close_cents,sharp_side_close_cents,dk_close_odds,dk_close_cents,sharp_clv_pp,dk_clv_pp,abs_dk_move_pp,divergence_pp,won_bool
2025,2025-03-27,Yusei Kikuchi,yusei_kikuchi,6.5,under,12.489645178060604,-115.0,5.0,1.0,53.48837209302325,<15,0,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,56.22644541637885,56.22644541637885,-140.0,58.333333333333336,2.7380733233556,4.844961240310084,4.844961240310084,2.1068879169544843,True
2025,2025-03-27,MacKenzie Gore,mackenzie_gore,5.5,under,15.959655714067011,-105.0,13.0,0.0,51.21951219512195,15-20,1,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,51.92362274174013,51.92362274174013,-105.0,51.21951219512195,0.7041105466181818,0.0,0.0,-0.7041105466181818,False
2025,2025-03-27,Tarik Skubal,tarik_skubal,5.5,under,18.60065369645534,120.0,2.0,1.0,45.45454545454545,15-20,2,primary_single_pinnacle,pinnacle,1,1,primary_1_book,43.41138266962912,43.41138266962912,120.0,45.45454545454545,-2.0431627849163334,0.0,0.0,2.0431627849163334,True
2025,2025-03-27,Framber Valdez,framber_valdez,5.5,under,22.17800160391763,105.0,4.0,1.0,48.78048780487805,20+,3,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,49.37662022874906,49.37662022874906,-120.0,54.54545454545454,0.596132423871012,5.76496674057649,5.76496674057649,5.168834316705478,True
2025,2025-03-27,Cole Ragans,cole_ragans,5.5,under,10.637060857225231,-105.0,3.0,1.0,51.21951219512195,<15,4,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,44.87476769476439,44.87476769476439,110.0,47.61904761904761,-6.344744500357564,-3.6004645760743372,3.6004645760743372,2.7442799242832265,True
2025,2025-03-27,Paul Skenes,paul_skenes,6.5,under,38.61080540629804,120.0,7.0,0.0,45.45454545454545,20+,5,broader_consensus_ex_dk,"ballybet,betrivers,espnbet",3,0,lower_broader_consensus,36.73764999862701,36.73764999862701,,,-8.71689545591844,,,,False
2025,2025-03-27,Nathan Eovaldi,nathan_eovaldi,5.5,under,7.4049914846821885,-105.0,9.0,0.0,51.21951219512195,<15,6,pin_fd_betonline_consensus_2,"fanduel,betonline",2,2,primary_2_book,47.432934730577585,47.432934730577585,100.0,50.0,-3.786577464544365,-1.2195121951219505,1.2195121951219505,2.5670652694224145,False
2025,2025-03-27,Zach Eflin,zach_eflin,3.5,over,30.360750972058405,130.0,2.0,0.0,43.47826086956522,20+,7,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,55.75042278800455,44.24957721199545,115.0,46.51162790697674,0.7713163424302323,3.033367037411523,3.033367037411523,2.2620506949812906,False
2025,2025-03-27,Garrett Crochet,garrett_crochet,6.5,under,30.4664036158346,115.0,4.0,1.0,46.51162790697674,20+,8,primary_single_fanduel,fanduel,1,1,primary_1_book,42.162374166557726,42.162374166557726,120.0,45.45454545454545,-4.349253740419016,-1.0570824524312883,1.0570824524312883,3.2921712879877276,True
2025,2025-03-27,Hunter Greene,hunter_greene,6.5,under,18.12358492347058,-115.0,8.0,0.0,53.48837209302325,15-20,9,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,50.80672705544907,50.80672705544907,-110.0,52.38095238095239,-2.681645037574178,-1.1074197120708646,1.1074197120708646,1.5742253255033134,False
2025,2025-03-27,Blake Snell,blake_snell,6.5,under,33.171671676037626,115.0,2.0,1.0,46.51162790697674,20+,10,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,46.11217846165778,46.11217846165778,-105.0,51.21951219512195,-0.39944944531896454,4.707884288145209,4.707884288145209,5.1073337334641735,True
2025,2025-03-27,Freddy Peralta,freddy_peralta,5.5,under,14.444860387204784,125.0,8.0,0.0,44.44444444444444,<15,11,pin_fd_betonline_consensus_2,"pinnacle,betonline",2,2,primary_2_book,42.039444729191956,42.039444729191956,125.0,44.44444444444444,-2.4049997152524867,0.0,0.0,2.4049997152524867,False
2025,2025-03-29,Justin Verlander,justin_verlander,4.5,under,11.640324173580808,-115.0,5.0,0.0,53.48837209302325,<15,12,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,51.118891062233786,51.118891062233786,-120.0,54.54545454545454,-2.3694810307894656,1.0570824524312883,1.0570824524312883,3.426563483220754,False
2025,2025-03-29,Bailey Falter,bailey_falter,3.5,over,18.19671667614705,120.0,4.0,1.0,45.45454545454545,15-20,13,pin_fd_betonline_consensus_3,"pinnacle,fanduel,betonline",3,3,primary_3_book,57.62157702151182,42.37842297848818,120.0,45.45454545454545,-3.0761224760572716,0.0,0.0,3.0761224760572716,True
