date,pitcher,line,side_flag,side,edge_pct,dk_entry_odds,dk_close_odds,dk_close_cents,dk_clv_pp,sharp_source,sharp_match,sharp_close_cents,sharp_close_fair_odds,sharp_clv_pp,result,actual_ks
2026-06-14,Freddy Peralta,5.5,[OVER],over,8.40,+110,+119,43.09,-4.53,pinnacle,exact,48.49,+106,0.87,L,2
2026-06-09,J.T. Ginn,4.5,[OVER],over,11.27,+120,+113,44.31,-1.15,pinnacle,exact,48.17,+108,2.72,W,5
2026-06-12,Shane McClanahan,5.5,[UNDER],under,19.10,+132,+106,45.72,2.62,pinnacle,exact,48.38,+107,5.27,L,7
2026-06-12,Luinder Avila,3.5,[OVER],over,11.70,+110,-117,50.83,3.21,pinnacle,exact,53.91,-117,6.29,L,0
2026-06-13,Javier Assad,3.5,[OVER],over,13.60,+118,NA,NA,NA,missing,missing,NA,NA,NA,W,5
2026-06-13,Luinder Avila,3.5,[OVER],over,11.70,+110,NA,NA,NA,missing,missing,NA,NA,NA,L,0
2026-06-13,Shane McClanahan,5.5,[UNDER],under,19.10,+132,NA,NA,NA,missing,missing,NA,NA,NA,L,7
2026-06-14,Casey Mize,4.5,[OVER],over,13.60,+125,NA,NA,NA,missing,missing,NA,NA,NA,,NA
2026-06-14,Gavin Williams,6.5,[UNDER],under,12.00,+114,NA,NA,NA,missing,missing,NA,NA,NA,,NA
2026-06-17,Max Scherzer,3.5,[OVER],over,20.17,-105,NA,NA,NA,missing,missing,NA,NA,NA,,NA
