model,refits,avg_train_games,features_last,train_start,train_end,bets,wins,losses,pushes,win_rate,roi,profit_units,roi_ci_lo,roi_ci_mid,roi_ci_hi,p_roi_gt_0,avg_edge_pct,avg_abs_gap,avg_odds,overs,unders,brier,log_loss,prediction_rows,mae,rmse,ece,mce,edge_spearman,monotonic_steps,clv_bets,clv_coverage,avg_clv_pct,median_clv_pct,positive_clv_rate,min_train_games,max_train_games,rolling_days,blend_left_weight
frozen_2025,1,3092.0,120.0,2025-04-01,2025-09-28,613,348,265,0,0.567699836867863,0.10572023795348566,64.80650586548671,0.03245657529080975,0.10587439486705855,0.18337272312668815,0.0039221030173476334,18.33244812150973,0.5606935832986573,-10.615008156606851,0,613,0.24518068922298794,0.6839875276309684,1484,1.7475150551173233,2.1893138759336774,0.03434877746006486,0.4133390613284784,-0.2,3,259,0.42251223491027734,1.9423797760155623,0.9174311926605672,0.583011583011583,,,,
walk_forward_daily,84,3842.7738095238096,120.0,,,632,346,286,0,0.5474683544303798,0.06506374641567672,41.12028773470769,-0.011767896890817331,0.06523332361800506,0.14381763610883982,0.04888197791327242,17.624441598396057,0.5321206378296064,-12.77373417721519,0,632,0.24542078344377383,0.6843633066763434,1484,1.747316487565451,2.1823240138273374,0.027935483438650287,0.929510247161516,-0.028571428571428574,3,249,0.3939873417721519,1.9768442716290853,1.0000000000000009,0.5863453815261044,3092.0,4564.0,,
walk_forward_weekly,13,3804.3076923076924,120.0,,,630,347,283,0,0.5507936507936508,0.06988461747610522,44.027309009946286,-0.006055200016062919,0.06884383665904026,0.14490128816120285,0.03761281180567899,17.677768823285096,0.5406096347989708,-13.255555555555556,0,630,0.24545150218900225,0.6844434768500799,1484,1.746362237522478,2.1819453559986,0.026561675105434144,0.929510247161516,-0.08571428571428573,2,248,0.39365079365079364,1.9650743824280756,0.9513264337686955,0.5846774193548387,3092.0,4529.0,,
walk_forward_monthly,4,3587.25,120.0,,,628,341,287,0,0.5429936305732485,0.055155130949623384,34.637422236363484,-0.01689406679823958,0.05450313214586204,0.13152290665661484,0.08083799442809925,17.900985699964146,0.5553385652374748,-14.694267515923567,0,628,0.2456532296032695,0.6849048868140198,1484,1.748437386856158,2.1859874087739954,0.030850848670040187,0.41980371463876287,0.08571428571428573,3,251,0.3996815286624204,1.9604277637764294,0.933532486930555,0.5896414342629482,3092.0,4314.0,,
rolling_365d_weekly,13,3199.6153846153848,120.0,,,667,366,301,0,0.5487256371814093,0.06611288426400984,44.09729380409456,-0.00549430559516496,0.06666176151125097,0.14431376961082523,0.041703255269638584,17.668417332369035,0.5309923782784776,-12.055472263868065,0,667,0.2460663359413937,0.6857649468969331,1484,1.749667239455552,2.184569772710502,0.02825843102262569,0.4204565396843922,-0.08571428571428573,2,255,0.3823088455772114,1.9259124322064496,0.9174311926605672,0.5764705882352941,3092.0,3234.0,365.0,
rolling_540d_weekly,13,3804.3076923076924,120.0,,,630,347,283,0,0.5507936507936508,0.06988461747610522,44.027309009946286,-0.006055200016062919,0.06884383665904026,0.14490128816120285,0.03761281180567899,17.677768823285096,0.5406096347989708,-13.255555555555556,0,630,0.24545150218900225,0.6844434768500799,1484,1.746362237522478,2.1819453559986,0.026561675105434144,0.929510247161516,-0.08571428571428573,2,248,0.39365079365079364,1.9650743824280756,0.9513264337686955,0.5846774193548387,3092.0,4529.0,540.0,
blend_frozen_75_weekly_25,0,,,,,614,348,266,0,0.5667752442996743,0.10604789125441719,65.11340523021215,0.029878556719538985,0.10597801146235605,0.17976463540573517,0.003878560847670798,18.124334344207373,0.5540862340070735,-10.340390879478827,0,614,0.24516462355757607,0.6839057806619113,1484,1.7468119734413532,2.1866981436747404,0.03259296325989965,0.41329219785512916,-0.2571428571428572,2,259,0.4218241042345277,1.999368738598116,0.933532486930555,0.5868725868725869,,,,0.75
blend_frozen_50_weekly_50,0,,,,,617,342,275,0,0.5542949756888168,0.07980786404939409,49.241452118476154,-0.0003471958010258644,0.08095211994162554,0.15744762881877408,0.022410375051126863,17.93890589171748,0.5497425359042827,-11.677471636952998,0,617,0.24520352686596286,0.6839551435062056,1484,1.7464582027304174,2.1845972156174494,0.029713055365219208,0.9269065716673651,0.6,2,254,0.41166936790923825,1.9253256541246955,0.9174311926605672,0.5826771653543307,,,,0.5
