model,edge_bucket,avg_edge_pct,bets,roi,units,win_rate
frozen_2025,7-10,8.370860414247645,120,0.11844927946193115,14.213913535431738,0.5833333333333334
frozen_2025,10-15,12.339865795178953,165,0.03722880953965557,6.142753574043169,0.5454545454545454
frozen_2025,15-20,17.225262661753177,108,0.056380325227881126,6.089075124611162,0.5555555555555556
frozen_2025,20-30,24.00954491328922,141,0.10268696662742134,14.47886229446641,0.5531914893617021
frozen_2025,30-50,35.93865016123378,73,0.35112193612238657,25.63190133693422,0.6575342465753424
frozen_2025,50+,54.66898842633875,6,-0.2916666666666667,-1.75,0.3333333333333333
walk_forward_daily,7-10,8.41962019581788,121,0.03808292818839192,4.608034310795422,0.5619834710743802
walk_forward_daily,10-15,12.344030932257969,187,-0.0346800713210425,-6.485173337034947,0.5080213903743316
walk_forward_daily,15-20,17.311797935152665,124,-0.004422241155401413,-0.5483579032697752,0.5080645161290323
walk_forward_daily,20-30,24.188853955159846,130,0.15718821156380475,20.434467503294616,0.5769230769230769
walk_forward_daily,30-50,35.46778214858706,68,0.3692840758959172,25.111317160922372,0.6617647058823529
walk_forward_daily,50+,54.258058963236564,2,-1.0,-2.0,0.0
walk_forward_weekly,7-10,8.384815557001355,127,0.024747248842890954,3.1429006030471514,0.5511811023622047
walk_forward_weekly,10-15,12.521780223400045,186,0.0017503794332670922,0.32557057458767913,0.532258064516129
walk_forward_weekly,15-20,17.378163084044328,113,-0.021403973851847415,-2.418649045258758,0.49557522123893805
walk_forward_weekly,20-30,24.07752890974043,133,0.15842776979107,21.07089338221231,0.5789473684210527
walk_forward_weekly,30-50,35.77240439086215,69,0.34647236949794064,23.906593495357903,0.6521739130434783
walk_forward_weekly,50+,54.365992458027556,2,-1.0,-2.0,0.0
walk_forward_monthly,7-10,8.494691294925312,125,-0.0768122946511508,-9.601536831393851,0.496
walk_forward_monthly,10-15,12.343994381186306,180,0.044689721211223776,8.04414981802028,0.55
walk_forward_monthly,15-20,17.379895511429172,115,-0.04835671056287034,-5.561021714730089,0.48695652173913045
walk_forward_monthly,20-30,24.51824300853622,140,0.15126850288723262,21.177590404212566,0.5785714285714286
walk_forward_monthly,30-50,36.63782688211175,66,0.3420945539432511,22.578240560254574,0.6515151515151515
walk_forward_monthly,50+,54.362519934742195,2,-1.0,-2.0,0.0
rolling_365d_weekly,7-10,8.554644133722409,142,0.036186261955001804,5.138449197610256,0.5492957746478874
rolling_365d_weekly,10-15,12.257180671407589,170,0.031316624114878865,5.323826099529407,0.5470588235294118
rolling_365d_weekly,15-20,17.179128395894182,146,0.02323154206004711,3.3918051407668783,0.5273972602739726
rolling_365d_weekly,20-30,24.222339223197846,136,0.10753720541552625,14.625059936511569,0.5514705882352942
rolling_365d_weekly,30-50,36.48520355644606,72,0.2308076865232841,16.618153429676454,0.5972222222222222
rolling_365d_weekly,50+,57.02864334270112,1,-1.0,-1.0,0.0
rolling_540d_weekly,7-10,8.384815557001355,127,0.024747248842890954,3.1429006030471514,0.5511811023622047
rolling_540d_weekly,10-15,12.521780223400045,186,0.0017503794332670922,0.32557057458767913,0.532258064516129
rolling_540d_weekly,15-20,17.378163084044328,113,-0.021403973851847415,-2.418649045258758,0.49557522123893805
rolling_540d_weekly,20-30,24.07752890974043,133,0.15842776979107,21.07089338221231,0.5789473684210527
rolling_540d_weekly,30-50,35.77240439086215,69,0.34647236949794064,23.906593495357903,0.6521739130434783
rolling_540d_weekly,50+,54.365992458027556,2,-1.0,-2.0,0.0
blend_frozen_75_weekly_25,7-10,8.410482005501674,121,0.1781529851246202,21.556511200079044,0.6115702479338843
blend_frozen_75_weekly_25,10-15,12.47390124875636,174,-0.0017044860831717792,-0.29658057847188957,0.5287356321839081
blend_frozen_75_weekly_25,15-20,17.55734648916383,113,0.0915411745590595,10.344152725173723,0.5575221238938053
blend_frozen_75_weekly_25,20-30,24.36760914164014,132,0.07670684957864131,10.125304144380653,0.5454545454545454
blend_frozen_75_weekly_25,30-50,35.83390661592369,69,0.34976837302971925,24.134017739050627,0.6521739130434783
blend_frozen_75_weekly_25,50+,53.43400618465415,5,-0.15,-0.75,0.4
blend_frozen_50_weekly_50,7-10,8.420437601375847,120,0.06214949047453146,7.457938856943775,0.5583333333333333
blend_frozen_50_weekly_50,10-15,12.404945960851293,177,0.03765519864280621,6.6649701597767,0.5480225988700564
blend_frozen_50_weekly_50,15-20,17.3590875438339,114,-0.02276552337859018,-2.5952696651592806,0.5
blend_frozen_50_weekly_50,20-30,24.284713926385272,136,0.10958228863440764,14.903191254279438,0.5588235294117647
blend_frozen_50_weekly_50,30-50,35.89484692606287,66,0.34182759867629586,22.560621512635528,0.6515151515151515
blend_frozen_50_weekly_50,50+,52.86500421207319,4,0.0625,0.25,0.5
