date,ticker,pitcher,clean_name,line,side,contracts_all,vwap_all_cents,contracts_pregame,vwap_entry_cents,post_start_contracts,maker_taker,pregame_maker_taker,taker_contract_frac,pregame_taker_contract_frac,kalshi_result,market_title,sharp_source,match_type,matched_line,hook_diff,close_over_odds,close_under_odds,sharp_close_no_cents,commence_time,kalshi_close_no_cents,sharp_clv_pp,kalshi_clv_pp,all_fill_sharp_clv_pp,actual_ks,result,non_pregame_note
2026-06-17,KXMLBKS-26JUN171540LAAAZ-AZERODRIGUEZ57-5,Eduardo Rodriguez,eduardo_rodriguez,4.5,UNDER,700.0,43.0,700.0,43.0,0.0,maker,maker,0.0,0.0,yes,Eduardo Rodriguez: 5+ strikeouts?,consensus,exact,4.5,0.0,,,39.46978750128356,2026-06-17T19:41:00Z,41.0,-3.5302124987164376,-2.0,-3.5302124987164376,5,L,
2026-06-17,KXMLBKS-26JUN172140BALSEA-SEAGKIRBY68-6,George Kirby,george_kirby,5.5,UNDER,651.28,41.0,605.53,41.00000000000001,45.75,maker,maker,0.0,0.0,no,George Kirby: 6+ strikeouts?,consensus,exact,5.5,0.0,,,42.60513948909255,2026-06-18T01:41:00Z,42.00000000000001,1.6051394890925437,1.0,1.6051394890925508,5,W,post-start fills excluded from entry VWAP
2026-06-17,KXMLBKS-26JUN171510TBLAD-LADSOHTANI17-6,Shohei Ohtani,shohei_ohtani,5.5,UNDER,729.04,44.33101064413476,700.0,43.0,29.039999999999964,maker,maker,0.03983320531109404,0.0,no,Shohei Ohtani: 6+ strikeouts?,consensus,exact,5.5,0.0,,,39.72670536963045,2026-06-17T19:11:00Z,36.0,-3.2732946303695485,-7.0,-4.604305274504306,5,W,post-start fills excluded from entry VWAP
