bucket,n,wr,pnl,roi,clv
15-20%,105,57.1,1431.0,13.6,1.48
20-25%,67,47.8,-63.0,-0.9,2.0
25-30%,40,60.0,1040.0,26.0,4.45
30%+,48,52.1,464.0,9.7,1.35
