year,bets,wins,losses,win_rate_pct,pnl_flat_100,roi_pct,mean_clv_pct,clv_matched,clv_coverage_pct,positive_clv_pct,range
2026,260,141,119,54.2,2872.0,11.0,2.0,229,88.1,55.5,"Mar 26 - Jun 17, 2026"
2025,525,275,250,52.4,4301.0,8.2,2.61,471,89.7,54.8,"Mar 27 - Sep 28, 2025"
