date,pitcher,side,proj,gap,edge,odds,actual,won,pnl,clv
2025-06-14,Jacob deGrom,under 6.5,6.16,0.34,20.5,115,6,True,115.0,
2025-06-14,Mike Vasil,over 2.5,3.28,0.78,30.0,125,4,True,125.0,-2.17
2025-06-13,Ryan Yarbrough,over 4.5,5.18,0.68,16.8,115,3,False,-100.0,2.38
2025-06-13,Paul Skenes,under 6.5,6.12,0.38,24.1,120,5,True,120.0,0.0
2025-06-13,Garrett Crochet,under 7.5,7.18,0.32,16.5,110,7,True,110.0,0.0
2025-06-12,Kodai Senga,under 5.5,5.01,0.49,21.9,110,5,True,110.0,2.44
2025-06-12,Will Warren,under 4.5,3.58,0.92,28.4,100,4,True,100.0,0.0
2025-06-12,Michael Soroka,under 4.5,3.63,0.87,21.4,-110,5,False,-100.0,2.11
2025-06-11,Eric Lauer,over 2.5,3.98,1.48,34.8,105,4,True,105.0,0.0
2025-06-11,Nick Lodolo,over 5.5,6.72,1.22,28.5,120,6,True,120.0,15.24
2025-06-11,Kyle Hendricks,over 3.5,5.99,2.49,21.9,-140,3,False,-100.0,
2025-06-10,Slade Cecconi,under 4.5,4.55,0.05,15.7,120,8,False,-100.0,0.0
2025-06-10,Griffin Canning,under 4.5,3.78,0.72,29.6,110,4,True,110.0,0.0
2025-06-09,Luis Ortiz,under 5.5,4.98,0.52,28.4,120,5,True,120.0,4.76
2025-06-09,Chris Sale,under 7.5,5.9,1.6,22.1,-120,11,False,-100.0,0.0
2025-06-09,Zack Wheeler,under 6.5,5.84,0.66,27.0,115,7,False,-100.0,0.0
2025-06-09,Mike Burrows,under 3.5,3.64,0.14,15.7,125,6,False,-100.0,
2025-06-08,Ryan Bergert,under 3.5,1.9,1.6,38.3,-120,4,False,-100.0,0.0
2025-06-08,Drew Rasmussen,under 4.5,4.36,0.14,15.0,110,3,True,110.0,5.0
2025-06-08,Freddy Peralta,under 5.5,4.89,0.61,15.9,-105,3,True,95.0,0.0
2025-06-08,Jack Flaherty,under 5.5,4.88,0.62,16.1,-105,9,False,-100.0,0.0
2025-06-07,Gavin Williams,under 5.5,4.5,1.0,36.8,115,5,True,115.0,29.0
2025-06-07,Garrett Crochet,under 7.5,5.89,1.61,43.3,115,9,False,-100.0,7.5
2025-06-07,Chris Paddack,under 3.5,2.99,0.51,18.1,-105,2,True,95.0,-2.38
2025-06-07,Taj Bradley,under 5.5,4.56,0.94,15.4,-120,2,True,83.0,12.82
2025-06-06,Michael Soroka,under 4.5,3.86,0.64,24.6,105,7,False,-100.0,2.5
2025-06-05,Noah Cameron,under 3.5,3.09,0.41,21.2,105,3,True,105.0,2.5
2025-06-05,Framber Valdez,under 5.5,5.41,0.09,18.5,120,11,False,-100.0,
2025-06-05,Casey Mize,under 4.5,3.47,1.03,27.9,-105,3,True,95.0,2.27
2025-06-04,Chris Sale,under 6.5,5.47,1.03,19.5,-110,10,False,-100.0,-2.22
2025-06-04,MacKenzie Gore,under 6.5,5.19,1.31,24.6,-110,7,False,-100.0,2.11
2025-06-04,Jared Shuster,over 1.5,2.12,0.62,18.0,105,1,False,-100.0,11.82
2025-06-04,DL Hall,over 2.5,4.36,1.86,41.8,105,3,True,105.0,2.5
2025-06-03,Cade Horton,under 3.5,3.25,0.25,19.4,110,3,True,110.0,0.0
2025-06-03,Brayan Bello,under 5.5,4.22,1.28,15.9,-135,4,True,74.0,0.0
2025-06-03,Trevor Williams,under 3.5,3.57,0.07,17.8,125,4,False,-100.0,
2025-06-03,Spencer Strider,under 6.5,5.4,1.1,20.9,-110,4,True,91.0,6.06
2025-06-03,Hunter Greene,under 6.5,4.79,1.71,26.6,-120,7,False,-100.0,0.0
2025-06-03,Freddy Peralta,under 5.5,4.83,0.67,32.1,120,9,False,-100.0,
2025-06-02,Jack Flaherty,under 6.5,5.22,1.28,17.1,-125,4,True,80.0,0.0
2025-06-01,Hunter Brown,under 6.5,6.43,0.07,17.8,120,5,True,120.0,0.0
2025-06-01,Chris Paddack,under 4.5,3.84,0.66,25.0,105,10,False,-100.0,5.0
2025-06-01,Charlie Morton,under 4.5,4.17,0.33,25.5,120,7,False,-100.0,-2.22
2025-06-01,Garrett Crochet,under 7.5,6.28,1.22,16.1,-120,12,False,-100.0,0.0
2025-05-31,Tarik Skubal,under 6.5,5.22,1.28,36.6,110,7,False,-100.0,-2.33
2025-05-31,Bailey Ober,under 5.5,4.94,0.56,17.8,100,4,True,100.0,0.0
2025-05-30,Chris Bassitt,over 5.5,7.6,2.1,24.1,-110,6,True,91.0,7.91
2025-05-28,Freddy Peralta,under 6.5,5.33,1.17,37.6,115,6,True,115.0,-2.27
2025-05-28,Brayan Bello,under 4.5,3.83,0.67,22.4,100,2,True,100.0,4.76
2025-05-28,Cade Povich,under 4.5,4.34,0.16,18.2,115,9,False,-100.0,0.0
2025-05-28,Kyle Hart,under 3.5,3.71,0.21,16.3,130,1,True,130.0,4.55
2025-05-28,Hunter Greene,under 5.5,4.5,1.0,43.0,125,3,True,125.0,-4.26
2025-05-28,Zac Gallen,under 5.5,5.55,0.05,15.4,120,3,True,120.0,
2025-05-26,Jameson Taillon,under 5.5,5.47,0.03,17.3,120,7,False,-100.0,0.0
2025-05-26,Garrett Crochet,under 6.5,6.04,0.46,23.0,115,11,False,-100.0,0.0
2025-05-26,Gavin Williams,under 5.5,4.89,0.61,27.7,115,3,True,115.0,-4.44
2025-05-25,Sonny Gray,under 5.5,5.22,0.28,20.1,115,5,True,115.0,0.0
2025-05-25,Ben Brown,under 5.5,5.36,0.14,19.7,120,4,True,120.0,0.0
2025-05-25,Robbie Ray,under 5.5,5.31,0.19,15.4,110,7,False,-100.0,
2025-05-25,Colton Gordon,over 4.5,5.81,1.31,15.2,-110,4,False,-100.0,4.13
2025-05-25,Dylan Cease,under 5.5,5.2,0.3,17.8,110,8,False,-100.0,-4.55
2025-05-24,Shane Baz,under 4.5,4.38,0.12,17.1,115,4,True,115.0,0.0
2025-05-23,Tyler Mahle,under 4.5,4.03,0.47,17.4,100,3,True,100.0,4.76
2025-05-23,Griffin Canning,under 4.5,3.96,0.54,16.3,-105,1,True,95.0,-2.38
2025-05-23,Freddy Peralta,under 5.5,4.9,0.6,24.4,110,3,True,110.0,0.0
2025-05-23,MacKenzie Gore,under 6.5,5.76,0.74,28.6,115,9,False,-100.0,0.0
2025-05-23,Chris Sale,under 6.5,5.38,1.12,30.2,105,6,True,105.0,5.0
2025-05-21,Tylor Megill,under 5.5,5.18,0.32,18.2,110,10,False,-100.0,0.0
2025-05-21,Cade Horton,under 4.5,3.43,1.07,26.0,-110,3,True,91.0,-6.87
2025-05-21,Hunter Brown,under 6.5,5.99,0.51,18.1,105,4,True,105.0,-6.82
2025-05-21,Max Meyer,under 5.5,4.8,0.7,23.6,105,4,True,105.0,7.38
2025-05-21,Ryan Yarbrough,over 3.5,3.99,0.49,27.1,140,8,True,140.0,6.67
2025-05-21,Gavin Williams,under 5.5,4.68,0.82,17.6,-110,6,False,-100.0,0.0
2025-05-20,Dylan Cease,under 5.5,4.5,1.0,16.6,-120,6,False,-100.0,-3.97
2025-05-20,Mitchell Parker,under 4.5,3.71,0.79,25.3,100,4,True,100.0,16.67
2025-05-20,Brandon Walter,over 3.5,4.56,1.06,42.8,140,5,True,140.0,4.35
2025-05-18,Framber Valdez,over 5.5,6.32,0.82,18.3,115,8,True,115.0,0.0
2025-05-18,Freddy Peralta,under 6.5,5.38,1.12,16.4,-120,5,True,83.0,1.85
2025-05-18,Jeffrey Springs,over 4.5,5.27,0.77,24.4,125,5,True,125.0,4.65
2025-05-17,Reese Olson,under 4.5,4.06,0.44,28.5,120,6,False,-100.0,4.76
2025-05-17,Zack Wheeler,under 7.5,5.82,1.68,31.3,-105,6,True,95.0,0.0
2025-05-17,Matthew Boyd,under 5.5,5.15,0.35,21.7,115,8,False,-100.0,
2025-05-16,Cole Ragans,under 6.5,5.95,0.55,27.7,120,7,False,-100.0,0.0
2025-05-16,Garrett Crochet,under 6.5,5.98,0.52,30.0,125,8,False,-100.0,
2025-05-15,Kevin Gausman,under 5.5,5.31,0.19,20.8,120,6,False,-100.0,4.76
2025-05-14,Davis Martin,over 4.5,5.27,0.77,27.1,130,5,True,130.0,0.0
2025-05-13,Ben Brown,under 6.5,5.54,0.96,20.9,-105,6,True,95.0,0.0
2025-05-12,Grant Holmes,under 4.5,4.37,0.13,20.1,120,4,True,120.0,0.0
2025-05-12,Paul Skenes,under 6.5,4.86,1.64,21.0,-130,6,True,77.0,4.71
2025-05-12,Colin Rea,under 4.5,4.35,0.15,20.8,120,4,True,120.0,2.33
2025-05-11,Zach Eflin,over 4.5,5.22,0.72,20.5,120,5,True,120.0,2.33
2025-05-11,Drew Rasmussen,under 4.5,3.71,0.79,25.4,100,3,True,100.0,-2.44
2025-05-11,Sean Burke,under 4.5,4.47,0.03,17.5,120,2,True,120.0,4.76
2025-05-11,Bryce Miller,under 4.5,4.17,0.33,16.9,105,3,True,105.0,15.87
2025-05-11,Griffin Canning,under 4.5,4.08,0.42,25.0,115,5,False,-100.0,
2025-05-11,Ronel Blanco,under 5.5,5.54,0.04,15.6,120,11,False,-100.0,
2025-05-11,MacKenzie Gore,under 6.5,4.9,1.6,29.9,-110,7,False,-100.0,0.0
2025-05-11,Zac Gallen,under 5.5,5.13,0.37,19.4,110,5,True,110.0,0.0
2025-05-11,Luis Ortiz,under 4.5,4.18,0.32,19.5,110,9,False,-100.0,0.0
2025-05-10,Cole Ragans,under 7.5,5.55,1.95,30.0,-115,8,False,-100.0,0.0
2025-05-10,JP Sears,under 4.5,4.64,0.14,15.9,125,4,True,125.0,22.73
2025-05-10,Joe Ryan,under 6.5,5.79,0.71,25.0,110,7,False,-100.0,0.0
2025-05-10,Andrew Heaney,over 4.5,5.07,0.57,17.1,120,2,False,-100.0,0.0
2025-05-09,Bryce Elder,over 4.5,5.47,0.97,31.6,130,8,True,130.0,15.0
2025-05-09,Gavin Williams,under 5.5,4.63,0.87,16.3,-115,8,False,-100.0,3.86
2025-05-08,Spencer Schwellenbach,under 5.5,5.46,0.04,17.3,120,6,False,-100.0,0.0
2025-05-08,Kyle Freeland,under 4.5,4.01,0.49,15.2,-105,2,True,95.0,0.0
2025-05-07,Hunter Greene,under 6.5,5.57,0.93,38.8,125,6,True,125.0,9.76
2025-05-07,Bryan Woo,under 5.5,4.56,0.94,17.7,-115,6,False,-100.0,7.4
2025-05-07,Dylan Cease,under 5.5,5.1,0.4,20.0,110,9,False,-100.0,2.44
2025-05-06,Zack Wheeler,under 6.5,6.03,0.47,25.9,120,9,False,-100.0,
2025-05-06,Paul Skenes,under 5.5,4.61,0.89,27.9,105,6,False,-100.0,-2.38
2025-05-06,Clarke Schmidt,under 4.5,3.91,0.59,23.3,105,4,True,105.0,0.0
2025-05-05,Brady Singer,under 4.5,4.26,0.24,28.7,130,2,True,130.0,0.0
2025-05-05,AJ Smith-Shawver,under 4.5,4.28,0.22,19.7,115,5,False,-100.0,0.0
2025-05-05,Matthew Boyd,under 5.5,4.4,1.1,35.7,110,7,False,-100.0,0.0
2025-05-05,Cole Ragans,under 6.5,5.37,1.13,36.8,115,11,False,-100.0,7.5
2025-05-04,Nick Martinez,under 4.5,3.67,0.83,18.0,-115,6,False,-100.0,12.17
2025-05-04,Will Warren,under 4.5,4.18,0.32,19.6,110,8,False,-100.0,14.55
2025-05-04,Erick Fedde,under 3.5,3.45,0.05,21.7,125,4,False,-100.0,7.14
2025-05-04,Garrett Crochet,under 6.5,5.02,1.48,27.8,-110,6,True,91.0,
2025-05-04,Reese Olson,under 5.5,4.93,0.57,20.8,105,8,False,-100.0,2.5
2025-05-04,MacKenzie Gore,under 6.5,5.34,1.16,17.1,-120,9,False,-100.0,-3.97
2025-05-02,Valente Bellozo,over 2.5,3.97,1.47,31.3,100,1,False,-100.0,13.04
2025-05-02,Yoshinobu Yamamoto,under 5.5,5.06,0.44,29.5,125,6,False,-100.0,0.0
2025-05-01,Matthew Liberatore,under 4.5,3.86,0.64,21.5,100,2,True,100.0,11.11
2025-05-01,Zac Gallen,under 5.5,4.32,1.18,20.0,-120,8,False,-100.0,5.32
2025-05-01,Chad Patrick,under 4.5,3.65,0.85,16.3,-120,4,True,83.0,11.44
2025-05-01,Shane Baz,under 5.5,4.07,1.43,27.2,-115,1,True,87.0,5.67
2025-05-01,Kodai Senga,under 5.5,5.19,0.31,32.1,135,6,False,-100.0,14.63
2025-05-01,Paul Skenes,under 6.5,5.22,1.28,33.4,105,2,True,105.0,7.38
2025-04-30,Shane Smith,under 3.5,3.5,0.0,22.7,130,4,False,-100.0,0.0
2025-04-30,Drew Rasmussen,under 4.5,3.68,0.82,41.7,125,3,True,125.0,0.0
2025-04-30,Chris Sale,under 6.5,6.67,0.17,15.3,125,10,False,-100.0,
2025-04-29,MacKenzie Gore,under 6.5,4.74,1.76,27.3,-120,6,True,83.0,0.0
2025-04-29,Tanner Bibee,under 5.5,4.31,1.19,16.0,-130,5,True,77.0,3.21
2025-04-29,Taj Bradley,under 5.5,4.13,1.37,15.7,-140,2,True,71.0,0.0
2025-04-29,Garrett Crochet,under 5.5,4.04,1.46,43.7,110,6,False,-100.0,0.0
2025-04-29,Freddy Peralta,under 6.5,4.44,2.06,34.9,-115,5,True,87.0,1.98
2025-04-29,Shota Imanaga,under 5.5,4.53,0.97,20.7,-110,3,True,91.0,-6.87
2025-04-29,Zack Wheeler,under 6.5,4.46,2.04,40.5,-105,7,False,-100.0,8.47
2025-04-29,David Peterson,under 4.5,4.23,0.27,15.4,105,2,True,105.0,0.0
2025-04-27,Zack Littell,under 3.5,3.62,0.12,16.2,125,1,True,125.0,2.27
2025-04-27,Mitchell Parker,under 4.5,3.92,0.58,17.2,-105,0,True,95.0,2.27
2025-04-27,Jameson Taillon,under 4.5,3.86,0.64,21.7,100,2,True,100.0,-4.76
2025-04-27,Osvaldo Bido,under 4.5,3.72,0.78,34.4,115,1,True,115.0,0.0
2025-04-27,Erick Fedde,under 3.5,3.11,0.39,32.3,125,4,False,-100.0,7.14
2025-04-27,Tyler Glasnow,under 6.5,5.38,1.12,39.7,120,0,True,120.0,-4.35
2025-04-26,Tyler Gilbert,over 1.5,1.72,0.22,20.4,140,1,False,-100.0,-9.43
2025-04-26,Sonny Gray,under 5.5,4.99,0.51,16.7,100,4,True,100.0,-9.09
2025-04-26,Ben Brown,under 5.5,4.49,1.01,21.5,-110,5,True,91.0,0.0
2025-04-24,Cole Ragans,under 8.5,6.77,1.73,32.8,100,4,True,100.0,-6.98
2025-04-24,Garrett Crochet,under 7.5,6.05,1.45,27.5,-105,9,False,-100.0,12.16
2025-04-24,MacKenzie Gore,under 7.5,5.73,1.77,16.5,-140,8,False,-100.0,10.2
2025-04-23,David Festa,under 5.5,4.85,0.65,16.8,-105,5,True,95.0,0.0
2025-04-22,Jack Flaherty,under 5.5,4.57,0.93,20.0,-110,9,False,-100.0,0.0
2025-04-22,Tanner Bibee,under 5.5,5.23,0.27,20.0,115,5,True,115.0,4.88
2025-04-22,Nick Martinez,under 4.5,4.13,0.37,29.2,125,4,True,125.0,0.0
2025-04-20,Easton Lucas,over 4.5,5.06,0.56,22.1,130,5,True,130.0,12.2
2025-04-20,Jake Irvin,over 4.5,7.06,2.56,17.5,-145,9,True,69.0,1.38
2025-04-20,Tarik Skubal,under 6.5,5.78,0.72,16.4,-105,4,True,95.0,4.43
2025-04-19,Chris Sale,under 7.5,5.83,1.67,18.8,-130,8,False,-100.0,-3.5
2025-04-19,Michael King,under 5.5,5.29,0.21,21.2,120,7,False,-100.0,0.0
2025-04-19,Garrett Crochet,under 7.5,5.6,1.9,38.2,100,7,True,100.0,0.0
2025-04-19,Shane Baz,under 6.5,5.53,0.97,15.9,-115,3,True,87.0,-2.07
2025-04-19,Paul Skenes,under 6.5,5.54,0.96,33.2,115,4,True,115.0,10.12
2025-04-19,Hayden Wesneski,under 4.5,4.01,0.49,26.8,115,4,True,115.0,7.5
2025-04-19,Hunter Greene,under 6.5,5.73,0.77,29.2,115,4,True,115.0,0.0
2025-04-18,Cole Ragans,under 7.5,6.11,1.39,18.7,-120,8,False,-100.0,5.32
2025-04-16,Nick Pivetta,under 5.5,5.53,0.03,15.9,120,6,False,-100.0,2.33
2025-04-16,Spencer Strider,under 5.5,4.86,0.64,28.4,115,5,True,115.0,4.88
2025-04-16,Bailey Falter,under 3.5,3.58,0.08,22.9,135,2,True,135.0,6.82
2025-04-16,Sean Newcomb,over 4.5,4.97,0.47,17.4,125,4,False,-100.0,0.0
2025-04-16,Chris Bassitt,under 5.5,4.86,0.64,19.5,100,10,False,-100.0,4.76
2025-04-15,Bailey Ober,under 5.5,4.67,0.83,17.8,-110,5,True,91.0,6.06
2025-04-15,Quinn Priester,under 4.5,4.38,0.12,17.2,115,4,True,115.0,10.12
2025-04-15,Charlie Morton,under 5.5,5.04,0.46,24.1,115,2,True,115.0,2.38
2025-04-15,Jack Flaherty,under 5.5,5.34,0.16,20.1,120,4,True,120.0,0.0
2025-04-14,Joe Ryan,under 5.5,5.26,0.24,22.0,120,8,False,-100.0,0.0
2025-04-14,Brad Lord,over 3.5,3.89,0.39,21.6,135,1,False,-100.0,0.0
2025-04-14,Paul Skenes,under 6.5,5.83,0.67,33.0,125,6,True,125.0,
2025-04-14,Easton Lucas,over 4.5,4.88,0.38,20.2,135,3,False,-100.0,4.44
2025-04-13,Garrett Crochet,under 7.5,6.12,1.38,21.0,-115,11,False,-100.0,0.0
2025-04-13,Kyle Hendricks,over 3.5,3.75,0.25,17.3,135,1,False,-100.0,-2.08
2025-04-13,Kodai Senga,over 5.5,6.37,0.87,16.3,110,4,False,-100.0,10.0
2025-04-11,Brady Singer,under 5.5,5.36,0.14,19.6,120,3,True,120.0,4.76
2025-04-09,Sean Burke,over 4.5,4.99,0.49,15.1,120,4,False,-100.0,10.0
2025-04-09,Tyler Mahle,under 4.5,4.46,0.04,15.1,115,4,True,115.0,0.0
2025-04-09,Luis Castillo,over 3.5,5.62,2.12,21.5,-130,6,True,77.0,3.21
2025-04-08,Cole Ragans,under 6.5,5.37,1.13,36.7,115,11,False,-100.0,0.0
2025-04-08,Kyle Hendricks,over 3.5,4.54,1.04,21.4,105,4,True,105.0,5.0
2025-04-08,Paul Skenes,under 6.5,5.8,0.7,27.9,115,7,False,-100.0,
2025-04-08,Garrett Crochet,under 6.5,4.84,1.66,19.3,-135,5,True,74.0,-6.89
2025-04-08,Brad Lord,over 2.5,4.45,1.95,46.7,110,4,True,110.0,-4.55
2025-04-07,Justin Steele,under 5.5,5.17,0.33,15.5,105,8,False,-100.0,7.38
2025-04-07,MacKenzie Gore,under 5.5,5.04,0.46,24.3,115,7,False,-100.0,0.0
2025-04-07,Casey Mize,under 4.5,3.94,0.56,16.9,-105,6,False,-100.0,-2.38
2025-04-06,Jackson Jobe,under 4.5,4.22,0.28,15.5,105,4,True,105.0,15.87
2025-04-06,Will Warren,under 4.5,4.26,0.24,23.0,120,5,False,-100.0,2.33
2025-04-06,Ben Brown,under 4.5,3.53,0.97,39.4,115,5,False,-100.0,7.5
2025-04-06,Corbin Burnes,under 5.5,4.64,0.86,24.2,100,3,True,100.0,-4.76
2025-04-06,Drew Rasmussen,under 4.5,3.56,0.94,35.4,110,4,True,110.0,5.0
2025-04-06,Bryan Woo,under 4.5,4.41,0.09,19.2,120,6,False,-100.0,4.76
2025-04-06,Kumar Rocker,under 4.5,4.51,0.01,16.5,120,1,True,120.0,-4.35
2025-04-06,Tyler Glasnow,under 6.5,6.03,0.47,23.2,115,2,True,115.0,
2025-04-05,Jacob deGrom,under 6.5,5.92,0.58,31.1,125,3,True,125.0,0.0
2025-04-05,Griffin Canning,under 3.5,3.47,0.03,15.7,115,6,False,-100.0,-2.27
2025-04-05,Matthew Boyd,under 4.5,3.76,0.74,30.2,110,5,False,-100.0,0.0
2025-04-05,Nick Pivetta,under 5.5,5.09,0.41,17.4,105,4,True,105.0,2.5
2025-04-04,Yoshinobu Yamamoto,under 5.5,4.61,0.89,37.2,120,5,True,120.0,0.0
2025-04-04,Erick Fedde,under 4.5,4.36,0.14,17.7,115,1,True,115.0,4.88
2025-04-04,Brandon Pfaadt,under 5.5,4.29,1.21,20.6,-120,4,True,83.0,10.0
2025-04-04,Shota Imanaga,under 4.5,3.93,0.57,25.8,110,4,True,110.0,-6.67
2025-04-04,Max Fried,under 5.5,5.39,0.11,16.4,115,6,False,-100.0,12.62
2025-04-04,Tylor Megill,under 4.5,3.3,1.2,24.0,-120,4,True,83.0,6.94
2025-04-04,Jake Irvin,under 3.5,3.29,0.21,26.7,125,3,True,125.0,2.27
2025-04-04,Ryan Feltner,under 4.5,3.74,0.76,18.9,-110,4,True,91.0,0.0
2025-04-04,Kevin Gausman,under 5.5,4.26,1.24,19.0,-125,0,True,80.0,0.0
2025-04-03,Carlos Carrasco,over 3.5,3.94,0.44,17.9,125,5,True,125.0,-4.26
2025-04-03,Joe Ryan,under 5.5,4.88,0.62,36.8,130,6,False,-100.0,4.55
2025-04-03,Tanner Houck,over 4.5,5.28,0.78,19.1,115,6,True,115.0,0.0
2025-04-02,Tarik Skubal,over 7.5,8.4,0.9,22.5,125,8,True,125.0,15.24
2025-04-02,Paul Skenes,under 7.5,6.52,0.98,16.9,-110,6,True,91.0,0.0
2025-04-02,Luis Castillo,over 6.5,7.75,1.25,15.5,100,5,False,-100.0,6.98
2025-04-02,Ben Lively,over 3.5,3.87,0.37,16.0,125,4,True,125.0,2.27
2025-04-01,Kodai Senga,over 5.5,6.36,0.86,16.1,110,8,True,110.0,-2.33
2025-03-31,Carmen Mlodzinski,under 3.5,2.01,1.49,21.9,-155,4,False,-100.0,-2.63
2025-03-31,Drew Rasmussen,under 4.5,3.01,1.49,49.0,110,4,True,110.0,0.0
2025-03-31,David Peterson,over 4.5,5.48,0.98,17.5,105,9,True,105.0,9.65
2025-03-31,Chris Paddack,under 4.5,4.5,0.0,19.5,125,2,True,125.0,4.65
2025-03-30,JP Sears,over 4.5,4.81,0.31,16.1,130,7,True,130.0,4.55
2025-03-30,Jacob deGrom,under 6.5,5.69,0.81,27.1,110,6,True,110.0,12.33
2025-03-30,Bryan Woo,under 5.5,4.57,0.93,15.1,-120,5,True,83.0,1.85
2025-03-29,Joe Ryan,under 4.5,3.84,0.66,31.2,115,5,False,-100.0,-2.27
2025-03-27,Paul Skenes,under 6.5,6.27,0.23,21.0,120,7,False,-100.0,
2025-03-27,Zach Eflin,over 3.5,3.92,0.42,19.9,130,2,False,-100.0,6.98
2025-03-27,Hunter Greene,under 6.5,5.17,1.33,22.4,-115,8,False,-100.0,-2.07
2025-03-27,Blake Snell,under 6.5,6.4,0.1,15.7,115,2,True,115.0,10.12
2025-03-27,Garrett Crochet,under 6.5,5.67,0.83,30.6,115,4,True,115.0,-2.27
