bucket,n,wr,pnl,roi,clv
0-0.3,105,48.6,646.0,6.2,2.91
0.3-0.6,115,49.6,657.0,5.7,2.77
0.6-0.9,112,56.2,1928.0,17.2,2.85
0.9-1.2,84,58.3,1547.0,18.4,2.56
1.2+,109,50.5,-477.0,-4.4,2.02
