bucket,n,wr,pnl,roi,clv
0-0.3,63,39.7,-794.0,-12.6,2.02
0.3-0.6,50,54.0,794.0,15.9,3.0
0.6-0.9,53,54.7,795.0,15.0,2.92
0.9-1.2,38,68.4,1416.0,37.3,2.15
1.2+,56,60.7,661.0,11.8,0.0
