edge_bucket,N,mean_sharp_CLV_pp,pos_CLV_%,bet_win_%,CI_low_pp,CI_high_pp,mean_edge_%,over_N,under_N
<10%,235.0,-2.7960792070432157,11.914893617021278,52.76595744680851,-3.1306597704510395,-2.461498643635392,8.463400675827657,158.0,77.0
10-15%,305.0,-2.3580877460182506,14.426229508196723,42.950819672131146,-2.6305429536555027,-2.0856325383809984,12.388982265856889,216.0,89.0
15-20%,208.0,-2.3353468077331563,14.903846153846153,45.67307692307692,-2.6529918989058525,-2.01770171656046,17.045109620300927,147.0,61.0
20-25%,99.0,-1.7410360766014388,21.21212121212121,63.63636363636363,-2.1655671359003126,-1.316505017302565,22.070804245685302,64.0,35.0
25%+,71.0,-2.13723474680417,14.084507042253522,54.929577464788736,-2.7674166924348387,-1.5070528011735012,31.659580852228643,31.0,40.0
