side_norm,N,mean_sharp_CLV_pp,pos_CLV_%,bet_win_%,CI_low_pp,CI_high_pp,mean_edge_%,over_N,under_N
over,242.0,-2.245866120990785,14.87603305785124,49.586776859504134,-2.534630771945142,-1.9571014700364278,20.143314578346082,242.0,0.0
under,136.0,-1.9585203921718024,19.11764705882353,56.61764705882353,-2.380337931818606,-1.5367028525249984,22.820150984514125,0.0,136.0
