edge_bucket,under_N,under_bet_win_%,over_N,over_bet_win_%
<10%,77,64.93506493506493,158,46.835443037974684
10-15%,89,41.57303370786517,216,43.51851851851852
15-20%,61,47.540983606557376,147,44.89795918367347
20-25%,35,74.28571428571429,64,57.8125
25%+,40,55.00000000000001,31,54.83870967741935
