strategy,N,mean_sharp_CLV_pp,CI_low_pp,CI_high_pp,pos_CLV_%,bet_win_%,CLV_vs_lekobe_pp
Mani edge>=15%,378,-2.142482472526812,-2.3817393754028533,-1.903225569650771,16.402116402116402,52.116402116402114,-3.7824824725268122
lekobe whole rule,964,1.64,1.45,1.84,,,0.0
