best_odds,n_bets,roi,units,win_rate
<-160,35,-0.09481560314893647,-3.3185461102127767,0.5714285714285714
-160:-130,136,0.010236387738505381,1.3921487324367319,0.5955882352941176
-130:-110,59,-0.03600735257725857,-2.1244338020582556,0.5254237288135594
-110:-90,26,-0.4012891102876589,-10.433516867479131,0.3076923076923077
-90:+100,8,0.5,4.0,0.75
+100:+300,137,0.058467153284671544,8.010000000000002,0.48905109489051096
