game_date,pitcher_id,pitcher_name,line,bet_side,won,best_odds,edge,p_model,p_over_open,p_over_close,clv_over,outcome_over,actual_ks,pnl
2026-06-01,594798.0,Jacob deGrom,5.5,over,True,-150.0,0.17979133765737676,0.7473215184157425,,0.5675301807583657,,1.0,8,0.6666666666666666
2026-06-01,689818.0,David Sandlin,4.5,over,False,135.0,0.15781975376142604,0.5603336570659391,,0.40251390330451303,,0.0,4,-1.0
2026-06-01,689818.0,David Sandlin,4.5,over,False,135.0,0.18135816311839997,0.583872066422913,,0.40251390330451303,,0.0,4,-1.0
2026-06-01,676917.0,Cade Cavalli,5.5,over,True,106.0,0.1009027239250867,0.5673053843294166,0.4563289124867005,0.46640266040432987,0.010073747917629383,1.0,6,1.06
2026-06-01,675660.0,Shane Drohan,3.5,over,True,124.0,0.21647398774529958,0.6507535148664946,0.41342771727312416,0.434279527121195,0.020851809848070835,1.0,5,1.24
2026-06-01,657746.0,Joe Ryan,5.5,over,True,-147.0,0.10788140514919053,0.6885662732838831,0.5831153313058199,0.5806848681346926,-0.002430463171127384,1.0,9,0.6802721088435374
2026-06-01,675660.0,Shane Drohan,3.5,over,True,124.0,0.23367441483035878,0.6679539419515538,0.41342771727312416,0.434279527121195,0.020851809848070835,1.0,5,1.24
2026-06-01,643377.0,Griffin Jax,4.5,over,True,-130.0,0.18137270187013077,0.7337122643291901,0.5526973188956827,0.5523395624590594,-0.00035775643662339096,1.0,5,0.7692307692307693
2026-06-01,643377.0,Griffin Jax,4.5,over,True,-130.0,0.1713862795654324,0.7237258420244918,0.5526973188956827,0.5523395624590594,-0.00035775643662339096,1.0,5,0.7692307692307693
2026-06-01,594798.0,Jacob deGrom,6.5,over,True,125.0,0.2695621868728434,0.6992276051677387,0.43543341736862967,0.42966541829489535,-0.00576799907373432,1.0,8,1.25
2026-06-01,594798.0,Jacob deGrom,6.5,over,True,125.0,0.2574579532609802,0.6871233715558756,0.43543341736862967,0.42966541829489535,-0.00576799907373432,1.0,8,1.25
2026-06-01,594798.0,Jacob deGrom,5.5,over,True,-150.0,0.19038718579115144,0.7579173665495171,,0.5675301807583657,,1.0,8,0.6666666666666666
2026-06-01,645261.0,Sandy Alcantara,3.5,over,True,-160.0,0.11254275151687876,0.6991977159271053,0.575105578756105,0.5866549644102266,0.011549385654121558,1.0,5,0.625
2026-06-02,686790.0,Trevor McDonald,4.5,over,False,-110.0,0.13904261524395545,0.6568053401827905,0.5183811685311812,0.517762724938835,-0.0006184435923461962,0.0,4,-1.0
2026-06-02,690986.0,Kyle Harrison,7.5,under,False,-152.0,0.17427423702424016,0.25789915027012966,,0.4321733872943698,,1.0,12,-1.0
2026-06-02,690986.0,Kyle Harrison,7.5,under,False,-152.0,0.1937831436946536,0.23839024359971622,,0.4321733872943698,,1.0,12,-1.0
2026-06-02,693645.0,Cam Schlittler,6.5,over,False,112.0,0.10018844572623509,0.5707775008418525,0.48718083121749717,0.47058905511561744,-0.01659177610187973,0.0,3,-1.0
2026-06-02,693645.0,Cam Schlittler,6.5,over,False,112.0,0.1338505543089199,0.6044396094245373,0.48718083121749717,0.47058905511561744,-0.01659177610187973,0.0,3,-1.0
2026-06-02,686790.0,Trevor McDonald,4.5,over,False,-110.0,0.12556189884140379,0.6433246237802388,0.5183811685311812,0.517762724938835,-0.0006184435923461962,0.0,4,-1.0
2026-06-02,669358.0,Shane Baz,4.5,over,True,-143.0,0.1073503396719504,0.668143476171354,0.5665108372290693,0.5607931364994035,-0.005717700729665709,1.0,6,0.6993006993006993
2026-06-02,690986.0,Kyle Harrison,6.5,under,False,106.0,0.10263655988914566,0.43732443758083894,0.5021559062037255,0.5399609974699846,0.03780509126625908,1.0,12,-1.0
2026-06-02,669160.0,Dustin May,4.5,over,True,-135.0,0.20542154764100062,0.7706249148287591,0.5367193319613122,0.5652033671877584,0.02848403522644627,1.0,9,0.7407407407407407
2026-06-02,543135.0,Nathan Eovaldi,5.5,over,True,-135.0,0.1981892483613844,0.742400153739697,0.5357026737006169,0.5442109053783126,0.008508231677695766,1.0,7,0.7407407407407407
2026-06-02,669160.0,Dustin May,4.5,over,True,-135.0,0.21840520783290562,0.783608575020664,0.5367193319613122,0.5652033671877584,0.02848403522644627,1.0,9,0.7407407407407407
2026-06-02,656427.0,Jack Flaherty,4.5,over,True,-150.0,0.13332403481416055,0.6993728356712986,0.584301552407845,0.566048800857138,-0.018252751550706936,1.0,6,0.6666666666666666
2026-06-02,543135.0,Nathan Eovaldi,5.5,over,True,-135.0,0.18673002849492792,0.7309409338732406,0.5357026737006169,0.5442109053783126,0.008508231677695766,1.0,7,0.7407407407407407
2026-06-02,663436.0,Davis Martin,5.5,over,False,110.0,0.18078153363775729,0.64060312858659,0.4407082091720004,0.4598215949488327,0.019113385776832303,0.0,2,-1.0
2026-06-02,663436.0,Davis Martin,5.5,over,False,110.0,0.22852531931168885,0.6883469142605215,0.4407082091720004,0.4598215949488327,0.019113385776832303,0.0,2,-1.0
2026-06-02,656427.0,Jack Flaherty,4.5,over,True,-150.0,0.12949796660380353,0.6955467674609416,0.584301552407845,0.566048800857138,-0.018252751550706936,1.0,6,0.6666666666666666
2026-06-03,543037.0,Gerrit Cole,5.5,over,False,-106.0,0.18065458910078797,0.6748158340078625,0.48893155932842347,0.4941612449070745,0.005229685578651055,0.0,2,-1.0
2026-06-03,688107.0,Robert Gasser,4.5,under,False,-144.0,0.13701251428507294,0.30032617226497005,,0.437338686550043,,1.0,5,-1.0
2026-06-03,688107.0,Robert Gasser,4.5,under,False,-144.0,0.13534532092418017,0.3019933656258628,,0.437338686550043,,1.0,5,-1.0
2026-06-03,674841.0,Andrew Alvarez,4.5,under,False,-115.0,0.13103097754701082,0.3302964857452801,0.4083326892468724,0.4613274632922909,0.052994774045418525,1.0,5,-1.0
2026-06-03,674841.0,Andrew Alvarez,4.5,under,False,-115.0,0.10473236360225086,0.35659509969004005,0.4083326892468724,0.4613274632922909,0.052994774045418525,1.0,5,-1.0
2026-06-03,571578.0,Patrick Corbin,3.5,under,True,108.0,0.12917727120456207,0.41641974318098657,0.5500432508434177,0.5455970143855486,-0.004446236457869013,0.0,1,1.08
2026-06-03,571578.0,Patrick Corbin,3.5,under,True,108.0,0.12561188957687414,0.4199851248086745,0.5500432508434177,0.5455970143855486,-0.004446236457869013,0.0,1,1.08
2026-06-03,676974.0,Max Meyer,5.5,over,True,-108.0,0.12895915822197307,0.6216011366107677,0.4432760026055665,0.4926419783887946,0.0493659757832281,1.0,7,0.9259259259259259
2026-06-03,676974.0,Max Meyer,5.5,over,True,-108.0,0.13575434662958702,0.6283963250183816,0.4432760026055665,0.4926419783887946,0.0493659757832281,1.0,7,0.9259259259259259
