decile,mean_pred,actual_rate,n
0,0.34959493060827007,0.5112781954887218,133
1,0.4290886381836007,0.5075757575757576,132
2,0.4684293810476193,0.48484848484848486,132
3,0.4975209149996478,0.3939393939393939,132
4,0.5287642414906467,0.48484848484848486,132
5,0.5605444750921585,0.5454545454545454,132
6,0.5930738251578985,0.5984848484848485,132
7,0.6288077717525944,0.553030303030303,132
8,0.6689723215338308,0.5227272727272727,132
9,0.7387467550605964,0.706766917293233,133
