feature,perm_delta_24,rank_24,perm_delta_25,rank_25
sc_breaking_pct_roll3,0.00017390012629932007,82,4.9363304387539664e-05,168
sc_swinging_strike_rate_roll20,0.00017313882947411763,83,7.907384752761092e-05,144
p_deep_start_rate_6ip_career_prior,0.00016455058992383975,84,0.00012071391319061764,108
p_batters_faced_std_roll10,0.00016008624893624202,85,-5.724648568889989e-05,314
sc_zone_rate_roll3,0.0001578746415793919,86,0.00010384420086739787,119
opp_batting_runs_roll20,0.00015691630468837037,87,7.065758881943384e-05,152
p_hits_allowed_roll20,0.00015657671876423418,88,0.0003845295381133873,47
pvt_hits_per_bf_vs_opp,0.00015001667873191238,89,0.0005565463892489575,34
days_into_season,0.00014855511331026693,90,8.082764791434993e-05,142
p_hits_allowed_std_roll3,0.0001478782459739092,91,0.00010905811507710972,117
sc_offspeed_pct_roll5,0.0001421126689762353,92,6.244539362967316e-05,156
temperature,0.00014173953846714494,93,0.0006976887204394267,24
sc_offspeed_pct_roll3,0.0001411656737220879,94,-3.2179254649267186e-05,288
sc_zone_rate_roll5,0.0001403456095691702,95,-0.0003655617067784389,396
opp_batting_runs_roll5,0.0001395348607469371,96,0.00014322114672367104,98
p_bb_per_ip_roll20,0.00013862737942829106,97,-1.96027800952292e-05,270
p_bf_per_ip_roll5,0.0001381430040203746,98,0.00025641763976869125,62
p_hits_allowed_std_roll10,0.000136675883883286,99,-5.3590565667493986e-05,312
p_hits_allowed_roll10,0.0001361448221518957,100,-6.719515097208806e-06,258
p_short_start_rate_under5ip_roll10,0.00013501578419665704,101,2.4308417490370716e-05,199
opp_lineup_left_batters,0.00013322603613374895,102,4.9774484183573445e-05,166
sc_csw_rate_roll20,0.00013153135291694707,103,0.0003423881475662194,50
p_batters_faced_career_avg_prior,0.0001295435027857561,104,-6.652185997158e-07,248
p_innings_pitched_roll5,0.00012937371011865207,105,-0.00020864287862580876,383
sc_statcast_pitches_roll5,0.00012675670489108447,106,-1.0672702842606796e-05,264
p_bb_per_ip_career_prior,0.00012665677948147102,107,6.89519431140484e-05,153
