n,wr,roi,roi_lo90,roi_hi90,units,avg_odds,avg_edge,avg_ev,clv_mean,clv_pos_pct,sharpe_ann,max_dd,profit_factor,kelly_roi,over_pct,model,min_edge,sides,min_books,score
942,0.5084925690021231,0.17552508202302053,0.11138947625992002,0.2440755820134558,165.34462726568535,89.67409766454352,0.14387536838195114,0.3041634202926953,0.009626817413648648,0.6220806794055201,4.388941092383562,-18.86910440784662,1.3571158256278297,0.008550596478457143,0.8970276008492569,p_mean_all,0.1,both,1,0.12405741978300344
845,0.4982248520710059,0.17463400246997007,0.10533241928748661,0.24393811266550464,147.5657320871247,98.36449704142012,0.14511744332376933,0.31184541000026245,0.009673034617888385,0.6165680473372781,4.141193775556333,-18.25629974709436,1.3480323869979354,0.008451808712324324,1.0,p_mean_all,0.1,over,1,0.11582698986618625
775,0.5806451612903226,0.15138376049126137,0.10276318830606126,0.20487528921143355,117.32241438072757,1.8335483870967741,0.14097139702726755,0.2527835349720834,0.006645943919953059,0.6193548387096774,4.674842957127054,-8.075309907483827,1.3609920442483925,0.00741932444234736,0.895483870967742,p_mean_all,0.1,both,3,0.11152828692468437
981,0.528032619775739,0.15208123713775823,0.09692139024223737,0.21086838365517424,149.1916936321408,53.428134556574925,0.1450407225898511,0.290059930218956,0.00865694412846236,0.5932721712538226,4.309291621606575,-16.182657610538968,1.3222282799830256,0.007229445564441881,0.8950050968399592,p_mean_count,0.1,both,1,0.1104006774651008
1075,0.5395348837209303,0.14432444705158215,0.09434179873851212,0.19821760921104067,155.14878058045082,40.89488372093023,0.14002186628405552,0.27388338447473276,0.008321783668790867,0.6027906976744186,4.482348594930316,-20.172196107582508,1.313431879960507,0.006422126584298148,1.0,p_cat_clf_platt,0.08,over,1,0.10965115558130355
943,0.5832449628844114,0.1450891424323915,0.09639426975169829,0.19412980144696224,136.81906131374518,-8.21951219512195,0.1374719186441908,0.24276848884870927,0.005748367982229291,0.6086956521739131,4.819965055310369,-11.525435132265372,1.3481401051240334,0.006961715136888792,1.0,p_cat_clf_platt,0.08,over,3,0.10908343343592361
839,0.5292014302741359,0.165159302651734,0.09801157453775747,0.2280661516276404,138.56865492480483,60.108462455303936,0.1542842726851915,0.31383395881952986,0.009401297770235812,0.6221692491060786,4.192616103546156,-14.94165341816607,1.35080672132862,0.007357629173980901,1.0,p_cat_clf_platt,0.1,over,1,0.10836362669865776
892,0.5818385650224215,0.15022823309734282,0.09656308517628086,0.20334126311867382,134.0035839228298,-6.8991031390134525,0.1486594478880195,0.26560531123368075,0.006001598907561781,0.625560538116592,4.46222724182746,-14.57718281718283,1.3592589381309108,0.0073997523961382055,0.8183856502242153,p_cat_clf_platt,0.1,both,3,0.10814024585943721
878,0.5227790432801822,0.15926596219887573,0.09613242327312643,0.22154512470645094,139.8355148106129,60.52847380410023,0.14659909664376383,0.2971248431495373,0.00879917657846282,0.5888382687927107,4.1601354535559825,-17.04807960617127,1.333736312197167,0.007468947791560105,1.0,p_mean_count,0.1,over,1,0.10739319317738494
934,0.582441113490364,0.14738189325144047,0.09436626168930477,0.1982899167135916,137.6546882968454,-10.724839400428266,0.15104691460025,0.26922628344942273,0.0057824942804759055,0.6209850107066381,4.569898375456524,-12.313374648111491,1.3529607392226806,0.007227348177527804,0.8340471092077087,p_cat_clf,0.1,both,3,0.10686362848543779
