game_date,pitcher_id,line,p_h1,outcome_over,actual_ks,outcome_push,p_over_open,n_books_open,best_over_odds_open,best_under_odds_open,p_over_close,n_books_close,best_over_odds_close,best_under_odds_close,clv_over,bet_side,p_bet,edge,odds,book,won,clv,ev,pnl,pnl_kelly,month
2026-03-26,667755.0,4.5,0.5944305656366999,1.0,7,0.0,0.43590005684167743,7,128.0,-137.0,0.4548173711677386,7.0,123.0,-120.0,0.018917314326061196,over,0.5944305656366999,0.1585305087950225,128.0,,True,0.018917314326061196,0.35530168965167586,1.28,0.064,2026-03
2026-03-26,686613.0,7.5,0.2995482909198259,1.0,9,0.0,0.4513606919604917,1,109.0,-139.0,0.43382165893154906,3.0,135.0,-140.0,-0.017539033028942663,under,0.7004517090801741,0.15181240104066585,-139.0,,False,0.017539033028942663,0.20437380194360866,-1.0,-0.05,2026-03
2026-03-26,694819.0,5.5,0.6807303869674814,1.0,11,0.0,0.5622810175269759,5,-144.0,117.0,0.5886666748781632,3.0,-165.0,135.0,0.026385657351187253,over,0.6807303869674814,0.11844936944050555,-144.0,,True,0.026385657351187253,0.15345982236156575,0.6944444444444444,0.034722222222222224,2026-03
2026-03-26,676979.0,7.5,0.40477523883453675,1.0,8,0.0,0.49096709322919324,7,-107.0,-112.0,0.4927403503874795,7.0,-104.0,-112.0,0.0017732571582862455,under,0.5952247611654633,0.08619185439465649,-112.0,,False,-0.0017732571582862455,0.12667544077748416,-1.0,-0.035469123417695564,2026-03
2026-03-26,669373.0,7.5,0.2918660395720073,0.0,6,0.0,0.4298663694192644,7,130.0,-140.0,0.4124334404432443,5.0,143.0,-148.0,-0.017432928976020112,under,0.7081339604279927,0.13800032984725713,-140.0,,True,0.017432928976020112,0.21394393216227325,0.7142857142857143,0.03571428571428572,2026-03
2026-03-26,657746.0,6.5,0.3063322876438641,1.0,7,0.0,0.4378041462450007,6,128.0,-136.0,0.4305406222445087,7.0,132.0,-138.0,-0.0072635240004920165,under,0.6936677123561359,0.13147185860113658,-136.0,,False,0.0072635240004920165,0.20371750085329465,-1.0,-0.05,2026-03
2026-03-27,592662.0,6.5,0.2752593390225052,0.0,4,0.0,0.4163087735254799,2,128.0,-167.0,0.3901475868465168,3.0,155.0,-179.0,-0.02616118667896311,under,0.7247406609774948,0.1410494345029747,-167.0,,True,0.02616118667896311,0.15871710467659345,0.5988023952095808,0.029940119760479042,2026-03
2026-03-27,693645.0,4.5,0.6822921491486318,1.0,8,0.0,0.5147350659996797,5,-112.0,100.0,0.4683419702905334,7.0,105.0,-118.0,-0.04639309570914624,over,0.6822921491486318,0.16755708314895212,-112.0,,True,-0.04639309570914624,0.29148156803133873,0.8928571428571429,0.04464285714285715,2026-03
2026-03-27,622663.0,3.5,0.6429546721504267,0.0,3,0.0,0.5293349575024778,6,-127.0,100.0,0.4972330529786954,7.0,-105.0,-108.0,-0.03210190452378242,over,0.6429546721504267,0.11361971464794884,-127.0,,False,-0.03210190452378242,0.14921819352871546,-1.0,-0.04737677644536712,2026-03
2026-03-28,671212.0,5.5,0.5099561570999347,0.0,4,0.0,0.4193548387096774,1,125.0,-160.0,0.4193548387096774,1.0,125.0,-160.0,0.0,over,0.5099561570999347,0.09060131839025731,125.0,,False,0.0,0.14740135347485306,-1.0,-0.02948027069497061,2026-03
2026-03-28,625643.0,4.5,0.5582026559974105,0.0,3,0.0,0.4539578208517157,6,113.0,-135.0,0.46951129398012664,8.0,108.0,-115.0,0.015553473128410933,over,0.5582026559974105,0.10424483514569477,113.0,,False,0.015553473128410933,0.18897165727448428,-1.0,-0.04180788877754075,2026-03
2026-03-28,605488.0,3.5,0.6306235648649627,0.0,2,0.0,0.48987854251012153,1,-110.0,-120.0,0.45352641049696973,7.0,118.0,-130.0,-0.036352132013151794,over,0.6306235648649627,0.1407450223548412,-110.0,,False,-0.036352132013151794,0.20391771474220155,-1.0,-0.05,2026-03
2026-03-29,641743.0,3.5,0.597202578807261,1.0,5,0.0,0.5109325661833378,6,-117.0,-108.0,0.5109310162787025,7.0,-114.0,-101.0,-1.5499046353006918e-06,over,0.597202578807261,0.0862700126239232,-117.0,,True,-1.5499046353006918e-06,0.10763213334338151,0.8547008547008547,0.0269080333358454,2026-03
