,0
opp_batting_k_rate_roll10,0.0010435776253642434
pitcher_ip_ytd,0.0010431261993086797
sc_statcast_pitches_roll10,0.0010425604293737463
sc_avg_release_speed_roll3,0.001041194583757786
p_pitches_std_roll10,0.0010203588695551619
opp_pitcher_walks_roll5,0.0010165052566207763
p_starts_last_30d,0.0010156214919239985
p_pitches_roll5,0.0010051812311706858
venue_hits_allowed_roll10,0.0009983819343818035
venue_id,0.0009898075865409372
p_innings_pitched_std_roll3,0.0009764251540164934
p_strikeouts_season_avg_prior,0.0009746644789434852
opp_batting_hit_rate_prior,0.0009721429005968164
league_k_rate_roll10,0.0009703002682599031
venue_strikeouts_roll5,0.0009664215006135236
sc_avg_release_speed_avg_prior,0.0009446184898854176
league_k_rate_roll5,0.0009394029623337895
sc_zone_rate_roll10,0.0009301223707781811
p_hits_per_bf_roll3,0.0009255954386585846
p_strikeouts_std_roll5,0.0009232728746590719
opp_batting_pa_avg_prior,0.0009229115107824115
p_batters_faced_career_avg_prior,0.0009156008768502924
opp_lineup_right_batters,0.000911351507668742
pvt_k_rate_vs_opp,0.0009108403870165189
sc_swinging_strike_rate_roll3,0.0009062340798995706
sc_offspeed_pct_avg_prior,0.0008931985233477347
p_hits_allowed_std_roll10,0.0008914713944761981
p_innings_pitched_std_roll5,0.000888367436678001
p_pitches_max_roll20,0.0008694766056440623
league_k_mean_roll5,0.0008684759913721188
opp_batting_runs_avg_prior,0.0008593688969567292
venue_hits_allowed_avg_prior,0.0008518930248818059
venue_hits_allowed_roll5,0.0008503100335189169
opp_lineup_weighted_hit_rate_vs_starter_hand_prior,0.0008410620208683082
p_innings_pitched_std_roll20,0.000840007265405407
opp_lineup_switch_batters_from_batters,0.0008330313627244252
sc_called_strike_rate_roll20,0.0008249956607368118
p_k_roll5_vs_roll20,0.0008203239629087946
opp_batting_bb_rate_roll5,0.0008140358728896312
opp_lineup_bottom3_k_rate_vs_starter_hand_prior,0.0008118122336359608
opp_batting_bb_rate_roll3,0.0007941793221216814
umpire_walks_avg_prior,0.0007877325973050805
opp_pitcher_hits_allowed_roll10,0.0007867809642856785
venue_walks_roll5,0.00078541729790732
p_pitches_std_roll5,0.0007798212528756813
p_hits_allowed_std_roll5,0.0007732996609030852
p_k_minus_bb_roll5,0.0007690248878399505
sc_fastball_pct_roll3,0.0007597721144120401
p_low_pitch_rate_under80_roll5,0.0007596617383284837
opp_batting_runs_roll20,0.0007594575251932793
opp_batting_bb_rate_roll20,0.0007582802919014982
p_fip_no_hr_roll10,0.0007556396284114073
p_hits_per_ip_roll10,0.0007423927044147801
