n,wr,roi,roi_lo90,roi_hi90,units,avg_odds,avg_edge,avg_ev,clv_mean,clv_pos_pct,sharpe_ann,max_dd,profit_factor,kelly_roi,over_pct,edge,sides
1432,0.5453910614525139,0.015131329129737246,-0.026798321596993992,0.05729956966946286,21.668063313783737,-56.25488826815643,0.0787752059584918,0.07947087770990618,0.007416991608817956,0.5488826815642458,0.5716753954440644,-45.55816362690683,1.0332842754436002,0.0005629818558042445,0.5391061452513967,0.04,both
772,0.5129533678756477,-0.04675621309062251,-0.09877416823394727,0.00552831756960214,-36.09579650596058,-55.9520725388601,0.07947482770014654,0.08042640507034066,0.005136961877434349,0.5090673575129534,-1.4618605298615768,-49.68241684606413,0.9040005412075516,-0.0004889009161364726,1.0,0.04,over
660,0.5833333333333334,0.08752099972688533,0.01982216344780229,0.15245907685059348,57.76385981974432,-56.60909090909091,0.07795686052734413,0.07835320025194344,0.010097567103823007,0.5954545454545455,2.238592368171731,-19.581953732635647,1.2100503993445249,0.00179336594661975,0.0,0.04,under
968,0.5516528925619835,0.02117016116589639,-0.029970844603601828,0.07039381844384589,20.492716008587706,-62.10537190082645,0.092287505501297,0.10354966911268286,0.007956515417420158,0.5506198347107438,0.68856923152771,-43.038096715435195,1.0472182396511236,0.0007206121630718141,0.5454545454545454,0.06,both
528,0.5321969696969697,-0.016030918573499846,-0.08448798993905021,0.047478819067744274,-8.464325006807918,-60.496212121212125,0.09283110264074486,0.10391035032183611,0.005892666608995685,0.5208333333333334,-0.43492508561082727,-32.3787617399047,0.965731477705231,-0.00044014904873541146,1.0,0.06,over
440,0.575,0.06581145685317188,-0.009098864204641679,0.14365898126087195,28.95704101539563,-64.03636363636363,0.09163518893395955,0.10311685166169894,0.010488453646312039,0.5863636363636363,1.4893043006570394,-18.138583122020023,1.1548504867133458,0.002113525617240485,0.0,0.06,under
539,0.562152133580705,0.03860479366282703,-0.025389397717313293,0.10042103528209255,20.80798378426377,-63.747680890538035,0.1106676166460857,0.1373040364015863,0.010192108447386102,0.5769944341372912,1.009983304849218,-23.849814140862424,1.0881694228146772,0.0012352843888291628,0.5417439703153989,0.08,both
292,0.541095890410959,-0.004863864527224315,-0.08995076537102321,0.0823471650166539,-1.4202484419495,-65.10616438356165,0.11183833950631461,0.13814397957644373,0.009193960099864599,0.5753424657534246,-0.1112810232190173,-25.592614773389045,0.9894011310302276,-0.0006031941183654026,1.0,0.08,over
247,0.5870445344129555,0.08999284302110634,-0.011101056052352365,0.18731519008241462,22.228232226213265,-62.1417004048583,0.10928360419593655,0.1363110671422407,0.011449210375632521,0.5789473684210527,1.7135756480931148,-16.63635071618943,1.217923845355032,0.0034087083730429805,0.0,0.08,under
294,0.54421768707483,0.004338120859473601,-0.08104363893671726,0.0917493334544677,1.2754075326852385,-64.1360544217687,0.1277287835882495,0.16809941621738067,0.01099889343955662,0.5884353741496599,0.09418940034082524,-17.117438749640986,1.00951796666183,0.00041274173712587114,0.5782312925170068,0.1,both
170,0.5176470588235295,-0.05684848864393708,-0.17288920202644378,0.05328796456367341,-9.664243069469304,-72.58235294117647,0.1276131423176267,0.16493635764666062,0.011319911038729718,0.6,-1.1055729334452509,-20.77775580391505,0.8821433772015939,-0.0024078560352967333,1.0,0.1,over
124,0.5806451612903226,0.08822298872705274,-0.04257957389688692,0.21697949284392848,10.93965060215454,-52.556451612903224,0.12788732403990977,0.17243586748369044,0.010515838385562807,0.5725806451612904,1.6334810610530308,-6.190552995391705,1.2103778961952796,0.004279690296092345,0.0,0.1,under
146,0.5547945205479452,0.028594134455622974,-0.09675481564173455,0.15357349539777573,4.174743630520954,-56.97260273972603,0.1464223770647613,0.20419119577575434,0.01437015522078741,0.6438356164383562,0.5019415276448256,-10.846666169260715,1.0642268250849376,0.0014052701233516344,0.589041095890411,0.12,both
86,0.5232558139534884,-0.05215545565929854,-0.22251348160135437,0.11592567056232304,-4.485369186699675,-72.67441860465117,0.14598527827180688,0.19865231670154035,0.014677742189560557,0.6744186046511628,-0.8591930873682427,-12.678919411569998,0.8906007515439105,-0.002482933526876262,1.0,0.12,over
60,0.6,0.14433521362034382,-0.043702459333486224,0.3360121190470164,8.660112817220629,-34.46666666666667,0.14704888533466262,0.2121302557821278,0.013861695129550176,0.6,2.3453210969932683,-5.0,1.3608380340508595,0.00697836202201162,0.0,0.12,under
48,0.6041666666666666,0.12024213468137075,-0.10927202289209179,0.34850453145338767,5.771622464705796,-33.208333333333336,0.1750342489615209,0.2628847288514899,0.020969448974817187,0.6041666666666666,1.8245907824038554,-3.95,1.3037696034055681,0.006012106734068536,0.5416666666666666,0.15,both
26,0.5384615384615384,-0.029767320934494454,-0.33226811039696025,0.25604685185147896,-0.7739503442968558,-37.76923076923077,0.1782315683002863,0.2684828560449733,0.024409063764906456,0.7692307692307693,-0.4262406124570377,-6.27843137254902,0.9355041379752621,-0.001488366046724723,1.0,0.15,over
22,0.6818181818181818,0.2975260367728477,0.004644887353416909,0.5909976029171881,6.54557280900265,-27.818181818181817,0.17125559883388902,0.25626876035010043,0.01461939090080622,0.4090909090909091,5.043293500901507,-2.0,1.9350818298575216,0.014876301838642388,0.0,0.15,under
