logloss,brier,cal_slope,cal_intercept,base_rate,mean_pred,n,fold,model,rmse,alpha
0.515490802017062,0.17145103184032554,1.005630670329152,0.04264176564742583,0.37245430809399477,0.3655410351248732,22980,A,poisson_glm,2.146964255115095,0.0
0.517668107282181,0.17221112197555932,1.0071935013870088,0.22885175004934538,0.37245430809399477,0.3345947879302999,22980,A,xgb_poisson,2.153711097216368,0.0
0.5289577785811265,0.17626025063277487,0.9443666496786519,0.2947209828894452,0.37245430809399477,0.31768168030191474,22980,A,lgb_poisson,2.1985630864306565,0.0
0.5440525572563213,0.18103660074561154,0.8790006949536009,0.34225361935478205,0.37245430809399477,0.30206500090086563,22980,A,hgb_poisson,2.2527146416602006,0.0
0.5237264461808927,0.17417871178060435,0.9693466864147912,0.2506289497316765,0.37245430809399477,0.32751526556520627,22980,A,cat_poisson,2.1760368459339667,0.0
0.5028567331595389,0.16646033769167742,1.0585354689730286,-0.09421059443708932,0.3530938625136063,0.37240980388558076,23886,B,poisson_glm,2.1143314373921895,0.0
0.5004957861288805,0.16550939809811013,1.072415685756282,-0.050894345099764586,0.3530938625136063,0.36611396760052084,23886,B,xgb_poisson,2.103058544024337,0.0
0.5019364030065006,0.16605739056940647,1.0529077539826457,-0.04327041076149929,0.3530938625136063,0.3637809952525009,23886,B,lgb_poisson,2.109372977711924,0.0
0.5045544081249855,0.16705088378839678,1.0204949564006571,-0.02713729075434143,0.3530938625136063,0.3590381431898215,23886,B,hgb_poisson,2.1217253908964944,0.0
0.500758726400701,0.16559063521093773,1.0654625317133266,-0.04581041267882757,0.3530938625136063,0.36486972018158353,23886,B,cat_poisson,2.104027918334685,0.0
