game_date,pitcher_id,hits_allowed,vintage,mu_poisson_glm,mu_xgb_poisson,mu_lgb_poisson,mu_hgb_poisson,mu_cat_poisson,line,p_over_open,n_books_open,best_over_odds_open,best_under_odds_open,p_over_close,n_books_close,best_over_odds_close,best_under_odds_close,clv_over,outcome_over,outcome_push,p_poisson_glm,p_xgb_poisson,p_lgb_poisson,p_hgb_poisson,p_cat_poisson,p_h0,p_h1,bet_side,p_bet,edge,odds,book,won,clv,ev,pnl,pnl_kelly,month
2026-03-26,669432,3,2026-01-01,4.834518146142439,4.392934,4.399264502467608,4.150815068704817,4.624564063908237,4.5,0.5322897960319104,2,-129.0,100.0,0.5506697024625935,3.0,-144.0,109.0,0.0183799064306831,0.0,0.0,0.5044534412955467,0.4601449275362319,0.47172619047619047,0.44601962922573607,0.5444822557122022,0.48536528884918145,0.48536528884918145,under,0.5146347111508185,0.04692450718272895,100.0,,True,-0.0183799064306831,0.029269422301636983,1.0,0.007317355575409246,2026-03
2026-03-26,657746,1,2026-01-01,4.1386879229997335,4.070424,4.0287707811865845,4.018567428902395,3.984120112451071,4.5,0.4855551476547824,2,-108.0,-122.0,0.455305145661777,3.0,105.0,-139.0,-0.030250001993005426,0.0,0.0,0.3885350318471338,0.4061662198391421,0.4066820276497696,0.395738203957382,0.3813451776649746,0.3956933321916804,0.3956933321916804,under,0.6043066678083195,0.08986181546310201,-122.0,,True,0.030250001993005426,0.09964000207743395,0.819672131147541,0.02491000051935849,2026-03
2026-03-26,669373,3,2026-01-01,4.614051933748145,3.9817,3.8300068816527233,4.014531952610039,4.063660006272261,4.5,0.48427366241773045,3,-105.0,-120.0,0.4754788807531904,3.0,-101.0,-125.0,-0.008794781664540063,0.0,0.0,0.5,0.3919694072657744,0.3722871452420701,0.395738203957382,0.4146919431279621,0.4149373399186377,0.4149373399186377,under,0.5850626600813623,0.06933632249909277,-120.0,,True,0.008794781664540063,0.07261487681583095,0.8333333333333334,0.018153719203957752,2026-03
2026-03-26,543135,8,2026-01-01,4.931674039183054,4.3959107,4.212874628635329,4.236417770860225,4.574667049116012,5.5,0.4275019261909659,3,120.0,-155.0,0.4268955959861291,3.0,120.0,-158.0,-0.0006063302048368024,1.0,0.0,0.34208798424162834,0.2880886426592798,0.2900763358778626,0.29806070826306913,0.31346351490236385,0.30635543718884073,0.30635543718884073,under,0.6936445628111593,0.12114648900212516,-155.0,,False,0.0006063302048368024,0.1411571839796491,-1.0,-0.05,2026-03
2026-03-26,676979,3,2026-01-01,4.505814761943689,3.865107,4.121247623593977,4.0200093400232735,3.8658035531783876,4.5,0.498055087488168,3,-110.0,-110.0,0.4991271911408342,3.0,-109.0,-110.0,0.0010721036526661898,0.0,0.0,0.47294716740929343,0.361846571622539,0.41466498103666244,0.395738203957382,0.3813451776649746,0.4053084203381704,0.4053084203381704,under,0.5946915796618296,0.09274666714999763,-110.0,,True,-0.0010721036526661898,0.13532028844531108,0.9090909090909091,0.03383007211132777,2026-03
2026-03-27,519242,3,2026-01-01,4.5203894142645105,3.8974147,4.118608986024218,3.9239072843586134,4.015270613048626,4.5,0.49222619190976313,2,-112.0,-118.0,0.4436228660185209,3.0,125.0,-138.0,-0.04860332589124222,0.0,0.0,0.47294716740929343,0.361846571622539,0.41466498103666244,0.395738203957382,0.3948220064724919,0.4080037860996738,0.4080037860996738,under,0.5919962139003262,0.08422240581008933,-118.0,,True,0.04860332589124222,0.09368792059551789,0.847457627118644,0.023421980148879473,2026-03
2026-03-27,666142,6,2026-01-01,3.9156859513451883,3.9164639,3.9749225187971855,3.9122507951477616,3.8356744117166874,4.5,0.47159451092306026,2,-102.0,-130.0,0.42268144428144305,3.0,120.0,-159.0,-0.04891306664161721,1.0,0.0,0.34208798424162834,0.3919694072657744,0.4066820276497696,0.395738203957382,0.3813451776649746,0.3835645601559058,0.3835645601559058,under,0.6164354398440942,0.08802995076715447,-130.0,,False,0.04891306664161721,0.0906165474164744,-1.0,-0.02945037791035418,2026-03
2026-03-27,607536,5,2026-01-01,5.590627892839899,5.0491877,5.039126632928472,5.2269255222345095,4.853929777139194,5.5,0.517055836304392,2,-123.0,-108.0,0.4931531267038543,3.0,-110.0,-118.0,-0.023902709600537697,0.0,0.0,0.5,0.4061662198391421,0.41466498103666244,0.45426829268292684,0.3813451776649746,0.4312889342447412,0.4312889342447412,under,0.5687110657552588,0.08576690205965082,-108.0,,True,0.023902709600537697,0.09529538589901687,0.9259259259259259,0.023823846474754218,2026-03
2026-03-27,645261,4,2026-01-01,5.302052314617395,4.6363344,4.410289925800787,4.921873580530814,4.590870759431869,5.5,0.4539857558758431,2,105.0,-139.0,0.4341172078997707,2.0,115.0,-153.0,-0.019868547976072404,0.0,0.0,0.45307443365695793,0.33448275862068966,0.31999999999999995,0.395738203957382,0.31346351490236385,0.36335178222747866,0.36335178222747866,under,0.6366482177725213,0.09063397364836445,-139.0,,True,0.019868547976072404,0.0946685183282921,0.7194244604316546,0.02366712958207301,2026-03
2026-03-27,622663,3,2026-01-01,4.681645414336577,4.7330556,4.689154171952165,4.649353562045139,4.625920308372147,5.5,0.4825977879914311,3,-108.0,-122.0,0.48161750624393496,3.0,-107.0,-124.0,-0.0009802817474961478,0.0,0.0,0.3250620347394541,0.361846571622539,0.3417910447761194,0.361782835467046,0.3493282149712092,0.34796214031527356,0.34796214031527356,under,0.6520378596847265,0.13463564767615754,-122.0,,True,0.0009802817474961478,0.1864951217213876,0.819672131147541,0.04098360655737705,2026-03
