game_date,pitcher_id,line,p_mean_count,outcome_over,actual_ks,outcome_push,p_over_open,n_books_open,best_over_odds_open,best_under_odds_open,p_over_close,n_books_close,best_over_odds_close,best_under_odds_close,clv_over,bet_side,p_bet,edge,odds,book,won,clv,ev,pnl,pnl_kelly,month
2025-03-27,666142.0,6.5,0.4702986885815891,0.0,3,0.0,0.3346265761396702,1,180.0,-245.0,0.35451322607035723,1.0,163.0,-225.0,0.01988664993068706,over,0.4702986885815891,0.1356721124419189,180.0,,False,0.01988664993068706,0.3168363280284494,-1.0,-0.044005045559506864,2025-03
2025-03-27,645261.0,4.5,0.7376020657141155,1.0,7,0.0,0.5749827945884206,8,-154.0,125.0,0.5831937508536598,8.0,-155.0,134.0,0.008210956265239155,over,0.7376020657141155,0.16261927112569485,-154.0,,True,0.008210956265239155,0.21656444604795666,0.6493506493506493,0.03246753246753247,2025-03
2025-03-27,621107.0,4.5,0.42731094917877926,0.0,2,0.0,0.2222222222222222,1,320.0,-500.0,0.24574669187145556,1.0,280.0,-420.0,0.023524469649233354,over,0.42731094917877926,0.20508872695655705,320.0,,False,0.023524469649233354,0.794705986550873,-1.0,-0.05,2025-03
2025-03-27,676979.0,6.5,0.41517402180125895,0.0,4,0.0,0.5657305211884325,8,-143.0,130.0,0.5765591917831607,7.0,-143.0,135.0,0.010828670594728251,under,0.584825978198741,0.15055649938717353,130.0,,True,-0.010828670594728251,0.34509974985710445,1.3,0.065,2025-03
2025-03-27,621244.0,5.5,0.4252597265814118,0.0,5,0.0,0.33999999999999997,1,175.0,-240.0,0.3666469544648137,1.0,155.0,-210.0,0.026646954464813744,over,0.4252597265814118,0.08525972658141184,175.0,,False,0.026646954464813744,0.1694642480988824,-1.0,-0.02420917829984034,2025-03
2025-03-27,607074.0,7.5,0.40417906892988303,0.0,7,0.0,0.23368421052631577,1,300.0,-455.0,0.21269412559081702,1.0,340.0,-530.0,-0.020990084935498754,over,0.40417906892988303,0.17049485840356726,300.0,,False,-0.020990084935498754,0.6167162757195321,-1.0,-0.05,2025-03
2025-03-27,642547.0,6.5,0.5080185583483379,1.0,8,0.0,0.4164242353716956,2,128.0,-160.0,0.42367399741267786,1.0,120.0,-162.0,0.007249762040982266,over,0.5080185583483379,0.09159432297664227,128.0,,True,0.007249762040982266,0.15828231303421036,1.28,0.03957057825855259,2025-03
2025-03-27,669373.0,6.5,0.35955764530199735,0.0,2,0.0,0.441402837999782,8,118.0,-145.0,0.4327429026593722,4.0,120.0,-149.0,-0.008659935340409819,under,0.6404423546980027,0.08184519269778467,-145.0,,True,0.008659935340409819,0.0821267372483494,0.6896551724137931,0.02053168431208735,2025-03
2025-03-28,656605.0,6.5,0.37234729139071965,0.0,4,0.0,0.28237585199610515,1,230.0,-335.0,0.2629757785467128,1.0,255.0,-375.0,-0.019400073449392374,over,0.37234729139071965,0.0899714393946145,230.0,,False,-0.019400073449392374,0.22874606158937483,-1.0,-0.02486370234667118,2025-03
2025-03-28,687362.0,3.5,0.6667742642447396,1.0,4,0.0,0.5750492608571496,6,-150.0,128.0,0.5458316181243328,7.0,-132.0,110.0,-0.029217642732816795,over,0.6667742642447396,0.09172500338759004,-150.0,,True,-0.029217642732816795,0.11129044040789937,0.6666666666666666,0.027822610101974843,2025-03
2025-03-29,607200.0,4.5,0.5823623610104478,0.0,2,0.0,0.5006470009497366,4,-105.0,-106.0,0.5240050958726682,7.0,-118.0,110.0,0.023358094922931616,over,0.5823623610104478,0.08171536006071123,-105.0,,False,0.023358094922931616,0.13699318102039804,-1.0,-0.035960710017854516,2025-03
2025-03-29,663559.0,3.5,0.5684376022882727,1.0,4,0.0,0.4359916490063178,4,120.0,-138.0,0.42274100094819195,7.0,125.0,-156.0,-0.013250648058125869,over,0.5684376022882727,0.13244595328195485,120.0,,True,-0.013250648058125869,0.25056272503419985,1.2,0.06,2025-03
2025-03-29,622608.0,3.5,0.6590223935219013,0.0,0,0.0,0.46213838575437693,4,108.0,-125.0,0.4410522309243158,8.0,120.0,-138.0,-0.021086154830061155,over,0.6590223935219013,0.19688400776752435,108.0,,False,-0.021086154830061155,0.3707665785255547,-1.0,-0.05,2025-03
2025-03-29,678368.0,3.5,0.6192339711575267,1.0,4,0.0,0.5113818941056669,5,-118.0,-105.0,0.5071449440057688,7.0,-106.0,-105.0,-0.004236950099898107,over,0.6192339711575267,0.10785207705185973,-118.0,,True,-0.004236950099898107,0.14400852298593902,0.847457627118644,0.036002130746484784,2025-03
2025-03-29,608331.0,5.5,0.6016041716226861,0.0,4,0.0,0.4551168741197651,2,108.0,-136.0,0.4432311462187719,8.0,120.0,-136.0,-0.011885727900993182,over,0.6016041716226861,0.146487297502921,108.0,,False,-0.011885727900993182,0.25133667697518713,-1.0,-0.05,2025-03
