n,wr,roi,roi_lo90,roi_hi90,units,avg_odds,avg_edge,avg_ev,clv_mean,clv_pos_pct,sharpe_ann,max_dd,profit_factor,kelly_roi,over_pct,model
2005,0.5406483790523691,0.08437746055765509,0.04440908702110446,0.12273183828022599,169.17680841809846,4.545137157107232,0.11274683759862093,0.20132801808750417,0.007316354004239688,0.600498753117207,3.4554470403112942,-37.46290466878125,1.183688174178174,0.0038482610577271403,0.7591022443890274,p_cat_clf_platt
2061,0.5633187772925764,0.08199792387942395,0.04477766937266161,0.1192310638774806,168.99772111549277,-26.103833090732653,0.11452872321484461,0.19442542614390468,0.006975218748575694,0.5924308588064047,3.6934870805700593,-35.81919012110175,1.1877752456838808,0.0035848410139972674,0.7734109655507035,p_cat_clf
2009,0.5450472872075659,0.081344845055739,0.04150546922037605,0.11968186372845335,163.42179371697964,-1.8143354902936784,0.10860257457642926,0.18989802421461222,0.00652950122555187,0.5689397710303634,3.483352109411029,-22.924740874126645,1.1787984613971332,0.003806665400280016,0.8183175709308114,p_mean_count
2091,0.5791487326637972,0.0729668034526064,0.037848789993643245,0.10713301523548587,152.57358601939998,-50.17790530846485,0.11340718513575736,0.18349825786816382,0.00541007264643629,0.569583931133429,3.405619880947128,-20.267910110331812,1.1733790750220454,0.0031021900500271845,0.7833572453371592,p_poisson_glm_platt
1891,0.5118984664198837,0.0710117446836963,0.031050689569590693,0.11367409494562462,134.2832091968697,31.710206240084613,0.10532515621262453,0.19359328850757337,0.00722029436543493,0.5938656795346378,2.7853437110219756,-38.536670983560924,1.1454856004299783,0.0029169609715889036,0.7445795875198308,p_cat_poisson
2054,0.49513145082765336,0.06597765971346177,0.023916506650225076,0.10665363690172823,135.51811305145048,49.38802336903603,0.11272529061120125,0.21873984364853497,0.006600840856115984,0.5847127555988315,2.543198816458049,-48.52219106498766,1.1306828476870305,0.0034966066164538465,0.7648490749756572,p_cat_clf_iso
1941,0.5059247810407007,0.06581459158367443,0.020497842266509397,0.10868033778014338,127.74612226391207,36.0623390005152,0.10966022872588362,0.2061141484022615,0.006243680987882603,0.577537351880474,2.4513520740274948,-26.17957950567086,1.1332076353116916,0.0031075056992550826,0.7578567748583205,p_poisson_glm
2047,0.5388373229115779,0.06574937504156877,0.028842002837836708,0.10169050973394893,134.58897071009127,-6.706888128969223,0.10946781827928158,0.18972174873417658,0.00606313685457051,0.5652173913043478,2.9562720721340536,-40.40081084799095,1.1425730621928933,0.003362279064774839,0.7616023448949683,p_cat_poisson_iso
2124,0.487758945386064,0.06450150602280492,0.02260469159130307,0.10400450930334428,137.00119879243766,58.42843691148776,0.12029458361550999,0.23943255818572137,0.0058760083527120205,0.5607344632768362,2.551315121464516,-26.796469081073027,1.1259202194783435,0.00339521394752365,0.871939736346516,p_hgb_poisson_platt
2203,0.48842487517022243,0.06321513356634922,0.02325144166385433,0.1048281973982763,139.26293924666734,47.788924194280526,0.12280212618777714,0.24283382643208845,0.005458041200741807,0.5483431684067182,2.5233152072443916,-21.999842684182415,1.1235696000414086,0.003201700770188948,0.8633681343622334,p_hgb_poisson_iso
2006,0.5917248255234298,0.06174704241732153,0.030359954801687673,0.09251789992772108,123.86456708914699,-74.04735792622134,0.10823418313413519,0.1640461989896444,0.006395522725420334,0.5767696909272183,3.2050725103968856,-31.073294113255322,1.1512387876546362,0.002796247456904689,0.7746759720837487,p_xgb_poisson_platt
1924,0.5,0.0614283575961347,0.01513917462157771,0.1028150909517493,118.18816001496316,39.76975051975052,0.1111429123658285,0.21016071033255324,0.0068814182940558355,0.5836798336798337,2.3166550937268395,-26.082947531176977,1.1228567151922695,0.0033705801794951147,0.7801455301455301,p_hgb_poisson
1963,0.49923586347427407,0.06073863945672001,0.01980598617969126,0.10216246681355226,119.22994925354139,44.309730005094245,0.10702150232001595,0.20199021241206658,0.007442520148764022,0.5909322465613857,2.3817950846097418,-46.538508833430946,1.1212919117533484,0.0035683177507324637,0.8176260825267447,p_mean_all
2194,0.5565177757520511,0.060026912744687494,0.02667371268268853,0.093128394814783,131.69904656184437,-29.610756608933453,0.11441660829855459,0.19384906741999264,0.004826613296966259,0.5574293527803099,2.765016112151356,-29.866818737053137,1.1353535935887404,0.0029944066922993704,0.7716499544211486,p_poisson_glm_iso
2120,0.6042452830188679,0.05929286230235828,0.029693628167481195,0.08775785586840992,125.70086808099956,-92.57783018867924,0.10857271390851969,0.1577623783581002,0.005575924036413957,0.565566037735849,3.2857993868959414,-25.078727489606607,1.1498222503945168,0.0029442211200214063,0.8033018867924528,p_stack
2055,0.5381995133819951,0.05903812769382682,0.023190475649013432,0.09482281322787399,121.32335241081411,-4.186374695863747,0.11756147458780393,0.20943839823367416,0.006889382571648391,0.5829683698296837,2.6456192792460094,-44.88991645543134,1.1278433639734606,0.0028882785403118163,0.7970802919708029,p_lgb_poisson_platt
1982,0.562058526740666,0.058776352464006594,0.023961767370649208,0.09519930512205875,116.49473058366107,-37.054490413723514,0.10803107319985496,0.17651116004450165,0.006738457076326214,0.5887991927346115,2.6834729604394356,-40.84777363874497,1.1342105191056002,0.002910143537050026,0.7613521695257316,p_cat_poisson_platt
1931,0.5007767995857069,0.058081351790792095,0.013407849527963067,0.10223760919175354,112.15509030801954,40.04971517348524,0.11213728326820095,0.21228000378013465,0.007373359688505205,0.5908855515277058,2.1721333535422276,-37.1789246469104,1.1163434546763689,0.002993176166399157,0.7389953392024857,p_lgb_poisson
2147,0.519795062878435,0.057904945145735236,0.018173518422570655,0.09653708985318712,124.32191722789355,5.134606427573358,0.11881872030125838,0.2183149965468494,0.00586881506441958,0.5612482533768048,2.3362939622226193,-34.657335149982096,1.1205838188437378,0.003184762898900188,0.7815556590591523,p_lgb_poisson_iso
2177,0.5333027101515847,0.05533872161846301,0.016863728976087212,0.0915663710573148,120.47239696339398,-4.2824988516306846,0.1181425812820496,0.2107526927071357,0.006298746610125899,0.5810748736793753,2.3813933198343475,-45.16729283035869,1.1185751938616084,0.0027087651626033302,0.77491961414791,p_xgb_clf
2143,0.5221651889874008,0.051965903427724704,0.015145890877943536,0.08884346027973815,111.36293104561403,9.044797013532431,0.1168466433677067,0.2131903059337392,0.00641745385853137,0.5851609892673821,2.2040980735886073,-54.746620048763646,1.1087528623492324,0.002566770033071189,0.7680821278581428,p_xgb_clf_platt
1886,0.5005302226935313,0.0512644377536935,0.010041531177781185,0.0954101205553139,96.68472960346594,35.61081654294804,0.10613554038764703,0.19631340929429972,0.007208952543259764,0.5837751855779427,1.9077268193834975,-37.977168972959085,1.1026377172011315,0.00264326110211554,0.7889713679745494,p_xgb_poisson
2068,0.5531914893617021,0.04658443638979245,0.0075955735352062365,0.08581793409542887,96.33661445409078,-37.97823984526112,0.10958546867050066,0.18058249100136745,0.005882610226875237,0.5604448742746615,2.0239982609605356,-45.926090873361886,1.1042604052533451,0.002397119721266415,0.7736943907156673,p_xgb_poisson_iso
2239,0.45556051808843234,0.04569888438118478,0.0003315353859437249,0.09044089814056201,102.31980212947272,83.80527020991514,0.13131458256151307,0.27834361662246654,0.00515575958940004,0.5564984368021438,1.6669329245509414,-37.96101030698193,1.0839374914925946,0.0027991192094530644,0.7146047342563644,p_logistic_iso
2184,0.5022893772893773,0.044282787778934456,0.005447489092838713,0.08601071388339641,96.71360850919285,28.750457875457876,0.11506077887166666,0.2176385557720242,0.006242029226727608,0.5608974358974359,1.7481031858911826,-57.84698447284953,1.0889729609100212,0.002332301894278654,0.7591575091575091,p_xgb_clf_iso
2192,0.5780109489051095,0.04207938521301387,0.0128399514608035,0.07291674602302062,92.2380123869264,-70.99908759124088,0.10621682145302283,0.1620319670863265,0.005281451986772491,0.5497262773722628,2.204954409777235,-30.01106392837409,1.0997167701480286,0.0015877898284955066,0.8079379562043796,p_et_clf_iso
2306,0.5589765828274068,0.040596238274946905,0.006073938886754663,0.07356513511306488,93.61492546202757,-46.09366869037294,0.13545063827071374,0.2337036500951023,0.00523527625772813,0.572419774501301,2.057500466791715,-22.090716101141844,1.0920500742006172,0.0025322026849316135,0.6860364267129229,p_logistic
2189,0.44952032891731386,0.03733683489706347,-0.008179530528118843,0.08310954903808679,81.73033158967193,90.41617176793056,0.12925885201131193,0.2757503134952525,0.005644279619018243,0.5682960255824577,1.3500437709827149,-41.52816399009764,1.0678260013192298,0.0022821042771544757,0.7016902695294656,p_logistic_platt
2424,0.5668316831683168,0.03602926983145607,0.004737267750359402,0.06893111834604251,87.33495007144953,-62.917491749174914,0.13159361241211812,0.21814268951264115,0.005103718428500894,0.556930693069307,1.8599555416507063,-50.965730975737884,1.0831761429251898,0.0024921761151336826,0.7339108910891089,p_lgb_clf
2248,0.4452846975088968,0.0343924904330718,-0.009827957567964264,0.07990871763070578,77.3143184935454,91.3540925266904,0.12163473757098534,0.26084417455107767,0.005546659198732258,0.5475978647686833,1.2116558120639442,-60.11070577893595,1.0620002554078152,0.0025036083508106705,0.7526690391459074,p_lgb_clf_iso
2241,0.4466755912539045,0.026045917181610083,-0.017070445061745734,0.06947684678299675,58.36890040398819,89.22980812137439,0.12162505311288298,0.2589831670197951,0.005740388171942526,0.5568942436412316,0.961499704630337,-51.00788817107498,1.047071693874184,0.002429574486796934,0.7688531905399375,p_lgb_clf_platt
2171,0.5826807922616306,0.025875230780992044,-0.00515634782621825,0.05547036234496972,56.17512602553373,-87.07692307692308,0.10569575611687153,0.155644056530758,0.005798114697345875,0.5702441271303547,1.3638995702098202,-45.19287904186945,1.0620034503593088,0.0015951371439904155,0.8143712574850299,p_et_clf_platt
2484,0.5515297906602254,0.0246721377751787,-0.00784016851249067,0.056262887445773374,61.28559023354389,-48.62238325281803,0.13325456699843594,0.2286867913333367,0.004704670069660297,0.5527375201288245,1.274717548849897,-51.318915109744474,1.055013994823648,0.001928531461455581,0.7391304347826086,p_hgb_clf
2506,0.5335195530726257,0.015275807827032048,-0.018814187341643484,0.04873507726828429,38.28117441454231,-33.217478052673584,0.11818687290183327,0.20187194776715905,0.005406270749383929,0.5622505985634477,0.7171520481782961,-37.108598317014064,1.0327469413298054,0.0012563568796270888,0.7529928172386273,p_rf_clf_platt
2336,0.4644691780821918,0.008873709489809012,-0.029649121788949215,0.04869317913359818,20.72898536819385,56.62885273972603,0.11137681092504485,0.22082671349145627,0.005480893032896448,0.5522260273972602,0.36025847146979934,-51.336517160036344,1.016569932348676,0.0009761862477246213,0.7671232876712328,p_rf_clf
2345,0.44562899786780386,0.006815665719879536,-0.03237600950502568,0.046484610997295374,15.982736113117511,81.00042643923241,0.1250144226214554,0.2641246290908304,0.005019592942067309,0.5518123667377399,0.27821040054246565,-66.83347891099353,1.0122944123947057,0.0013323876290652179,0.7582089552238805,p_hgb_clf_iso
1989,0.3790849673202614,0.004861723572516127,-0.04640940527265504,0.05723056634970148,9.669968185734575,161.36802413273003,0.09688986337811945,0.22136337158175073,0.006380567200139727,0.5515334338863751,0.15197286917555744,-84.43650830348346,1.0078299337536314,0.0011489963299734834,0.7893413775766717,p_et_clf
2474,0.5262732417138237,0.003598939404298159,-0.032234214565468156,0.038056760380252436,8.903776086233645,-31.804365400161682,0.11839185103167778,0.20183070907356487,0.005113062636384494,0.5517380759902991,0.16570156161374994,-48.67589752045443,1.0075970785718718,0.001032571352211149,0.753839935327405,p_rf_clf_iso
2316,0.44689119170984454,-0.005356551169092731,-0.04841222859460302,0.036174400774283355,-12.405772507618765,75.75086355785838,0.12557216407617508,0.26399651465414287,0.005135170474138874,0.5526770293609672,-0.2123960509753719,-94.71077340452106,0.9903155562001414,0.0007346720904739686,0.7728842832469776,p_hgb_clf_platt
