logloss,brier,cal_slope,cal_intercept,base_rate,mean_pred,n,fold,model,k_rmse,alpha,secs
0.5066221615050436,0.16828140062883654,1.0203713208029734,0.05564795682555662,0.39509880734743624,0.38682797826738025,22974,A,poisson_glm,2.227982682915099,0.0,1.7
0.5051548434516872,0.16766018539510633,1.0376202724155832,0.015949210327000363,0.39509880734743624,0.3942725869698509,22974,A,xgb_poisson,2.222524219082926,0.0,4.1
0.5116303409023394,0.16997561303864686,0.9839947546164729,0.10570336441617131,0.39509880734743624,0.37633045723781977,22974,A,lgb_poisson,2.2477687200061194,0.0,4.4
0.5165039097683076,0.17174730240200817,0.9513454641060554,0.1680928907057027,0.39509880734743624,0.36355669200386803,22974,A,hgb_poisson,2.2698275740780596,0.0,9.1
0.5099016736208422,0.16946984318034813,1.0017907377227881,0.05238293746552707,0.39509880734743624,0.3863399923257957,22974,A,cat_poisson,2.24190674775548,0.0,7.8
0.5307430321918698,0.17676103354324518,0.8134650663430962,0.041877236200001215,0.39509880734743624,0.3762601579039557,22974,A,logistic,,,1.2
0.5103435516357422,0.16950811445713043,0.9481731653213501,0.019454367458820343,0.39509880734743624,0.3891862630844116,22974,A,xgb_clf,,,6.6
0.5230025401591549,0.17259569764324265,0.759047064182604,0.032808031391899764,0.39509880734743624,0.37697236912559784,22974,A,lgb_clf,,,5.7
0.5241956549329645,0.1734915145470068,0.7823526705093291,0.04536905921384905,0.39509880734743624,0.3755309075460338,22974,A,hgb_clf,,,11.5
0.5129639394677864,0.16987094495784064,1.1408703142251138,0.02971407485308522,0.39509880734743624,0.39720607640070005,22974,A,rf_clf,,,24.5
0.5118228557527688,0.16952911015962513,1.2334935611545106,0.0611482711377676,0.39509880734743624,0.39655314137050846,22974,A,et_clf,,,11.0
0.5104058692616933,0.16952899728840304,0.9229974121682748,0.006938699796573947,0.39509880734743624,0.3899348316249472,22974,A,cat_clf,,,13.2
0.493572808534145,0.16336032049771196,1.0888981744258364,0.004572951370910864,0.38639028475711895,0.38996861276378014,23880,B,poisson_glm,2.144781127396343,0.0,0.3
0.49310203059403135,0.1632538321297375,1.0957881089869863,-0.019592970100855926,0.38639028475711895,0.39402693424724866,23880,B,xgb_poisson,2.143388836397385,0.0,4.5
0.493776710936488,0.16349814058742634,1.0805960117880702,0.012649171751912462,0.38639028475711895,0.3882831982384208,23880,B,lgb_poisson,2.146586436123396,0.0,4.5
0.49755588144094587,0.16496350411699182,1.0431370450541773,0.0376696054443042,0.38639028475711895,0.38246836989997424,23880,B,hgb_poisson,2.1658671310945,0.0,8.9
0.49384487281399764,0.1636257098626053,1.0826105406395756,-0.014873704720934041,0.38639028475711895,0.3926457249919689,23880,B,cat_poisson,2.148075192351912,0.0,9.3
0.4968766506866406,0.16464436096077603,0.9649002874321921,-0.03748449090756309,0.38639028475711895,0.3908175691758695,23880,B,logistic,,,2.5
0.4955596625804901,0.16413772106170654,1.0246628522872925,-0.03606255725026131,0.38639028475711895,0.3935132324695587,23880,B,xgb_clf,,,13.8
0.4985014218702913,0.1650605631015975,0.9134461691057593,-0.03086304682513233,0.38639028475711895,0.3872998862830944,23880,B,lgb_clf,,,9.3
0.49828690441918433,0.16505631155560543,0.9363903159497924,-0.03941082690567906,0.38639028475711895,0.38992962632376077,23880,B,hgb_clf,,,18.8
0.5020192612600606,0.16585662454512526,1.1433777132923622,-0.00348815488782073,0.38639028475711895,0.39425305988471676,23880,B,rf_clf,,,56.5
0.5023843765956358,0.16612076199901935,1.2253523059630447,0.026300263705489754,0.38639028475711895,0.39341488832428434,23880,B,et_clf,,,32.7
0.49261895656550064,0.16313146988075725,1.0406817491233529,-0.0318542106410124,0.38639028475711895,0.3935388031013692,23880,B,cat_clf,,,18.9
