median_terminal,p5_terminal,median_log_growth,p_dd_gt30,p_dd_gt40,median_maxdd,name
1.02698141469028,0.9318487556549113,0.02662383406425506,0.0,0.0,0.048664882659500086,flat 0.25%
1.0511649992515726,0.8736486904113706,0.049899071415284296,0.001,0.0,0.09825710899886064,flat 0.50%
1.0740412411799123,0.8057544528544626,0.07142839277782109,0.0245,0.0015,0.14318737016584754,flat 0.75%
1.0776937482397917,0.7506637608059097,0.0748233287478737,0.1145,0.0155,0.18971819717686744,flat 1.00%
1.1291559478647797,0.6507474470321652,0.12147040300209823,0.3905,0.138,0.26985915889486883,flat 1.50%
1.12688633890909,0.5324120709544773,0.11945831829921749,0.676,0.3585,0.353627682496381,flat 2.00%
1.1134138814211874,0.34808835502268026,0.1074308580844357,0.9295,0.7435,0.49598808440235315,flat 3.00%
1.0837986170872012,0.9509843419633127,0.08047210131428452,0.0,0.0,0.05771713892726421,tiered 0.25%/0.50%
1.1705164274843254,0.8934690862958207,0.15744504243548268,0.005,0.0005,0.1139076346474499,tiered 0.50%/1.00%
1.2603086646592443,0.8520795713372754,0.23135666028793872,0.061,0.0055,0.1672961692243865,tiered 0.75%/1.50%
1.3378955455352997,0.7799064501992612,0.2910978465906999,0.191,0.048,0.22141225974996437,tiered 1.00%/2.00%
1.465404878420287,0.6967198455133323,0.3821315639586663,0.5485,0.2455,0.31640714766727235,tiered 1.50%/3.00%
1.141940697940524,0.9745343033407553,0.1327291725119093,0.0,0.0,0.05608029763876615,kelly lam=0.15 mult=0.25 cap=2%
1.1412970311413628,0.9757714378592421,0.13216536218513386,0.0,0.0,0.05723967374516381,kelly lam=0.15 mult=0.25 cap=4%
1.3053904927956275,0.9792300211507188,0.26650221348055625,0.002,0.0,0.10134639349817703,kelly lam=0.15 mult=0.5 cap=2%
1.2815862298209728,0.9392625782444235,0.24809855050945578,0.007,0.0,0.1162462885003922,kelly lam=0.15 mult=0.5 cap=4%
1.2826230995487033,0.9179155528197599,0.24890727690840536,0.01,0.0,0.12968023621404196,kelly lam=0.25 mult=0.25 cap=2%
1.2639039345460854,0.9116221603184369,0.23420529061364526,0.0165,0.0,0.13444589397807039,kelly lam=0.25 mult=0.25 cap=4%
1.4106450536582078,0.8692460347092263,0.34404708065761946,0.0935,0.0185,0.18819647635957898,kelly lam=0.25 mult=0.5 cap=2%
1.5927212509664033,0.8221597180968228,0.46544401747312136,0.2775,0.0795,0.2442049330283661,kelly lam=0.25 mult=0.5 cap=4%
1.3015634253854622,0.7461122639347857,0.26356617662235915,0.23,0.0595,0.22549273231834704,kelly lam=0.4 mult=0.25 cap=2%
1.3818942616598906,0.6912110597611559,0.3234551515743483,0.3715,0.143,0.2668590624206222,kelly lam=0.4 mult=0.25 cap=4%
1.0243456322465478,0.5144502121197382,0.024054000630665696,0.633,0.3315,0.33999973816151396,kelly lam=0.4 mult=0.5 cap=2%
1.4921605398072795,0.5140446411511579,0.4002250958725716,0.847,0.5665,0.4218750561046871,kelly lam=0.4 mult=0.5 cap=4%
