date,pitcher_name,side,line,projection,abs_gap,edge_pct,egp,bucket,opening_odds,odds_used,closing_odds,clv,dec_odds,mkt_prob,result_label,won,pnl_a,bet_roi,run_win_pct,run_roi,run_units,bankroll_a,source,year,month
2025-03-27,Yusei Kikuchi,under,6.5,4.987601207371816,1.5123987926281837,12.489645178060604,18.889324287653274,V2_core,,-115.0,,,1.8695652173913042,0.5348837209302325,Win,1.0,86.95652173913042,0.8695652173913042,1.0,0.8695652173913042,0.8695652173913042,10086.95652173913,2025_bt,2025,3
2025-03-27,Blake Snell,under,6.5,4.6887975668798,1.8112024331202,33.171671676037626,60.08061245030377,V2_core,,115.0,,,2.15,0.46511627906976744,Win,1.0,114.99999999999999,1.15,0.6,0.2371946169772257,2.3719461697722566,10237.194616977225,2025_bt,2025,3
2025-03-27,Garrett Crochet,under,6.5,4.902903094051059,1.5970969059489413,30.4664036158346,48.65779895024108,V2_core,,115.0,,,2.15,0.46511627906976744,Win,1.0,114.99999999999999,1.15,0.625,0.2777432712215321,2.2219461697722567,10222.194616977225,2025_bt,2025,3
2025-03-27,Zach Eflin,over,3.5,4.466459284828326,0.9664592848283258,30.360750972058405,29.342429671306462,V2_core,,130.0,,,2.3,0.43478260869565216,Loss,0.0,-100.0,-1.0,0.5714285714285714,0.1531351671103224,1.0719461697722568,10107.194616977225,2025_bt,2025,3
2025-03-27,Paul Skenes,under,6.5,4.499233443564123,2.0007665564358774,38.61080540629804,77.25120817397469,V2_core,,120.0,,,2.2,0.45454545454545453,Loss,0.0,-100.0,-1.0,0.6666666666666666,0.34532436162870944,2.0719461697722568,10207.194616977225,2025_bt,2025,3
2025-03-27,Hunter Greene,under,6.5,4.466765826437898,2.033234173562102,18.12358492347058,36.84949221385528,V2_core,,-115.0,,,1.8695652173913042,0.5348837209302325,Loss,0.0,-100.0,-1.0,0.5555555555555556,0.13577179664136185,1.2219461697722567,10122.194616977225,2025_bt,2025,3
2025-03-27,Framber Valdez,under,5.5,4.080099092506877,1.4199009074931226,22.17800160391763,31.49056460378657,V2_core,,105.0,,,2.05,0.4878048780487805,Win,1.0,104.99999999999999,1.0499999999999998,0.75,0.529891304347826,2.119565217391304,10211.95652173913,2025_bt,2025,3
2025-03-27,Tarik Skubal,under,5.5,4.941466440612239,0.5585335593877607,18.60065369645534,10.389089316020309,V4_extra,,120.0,,,2.2,0.45454545454545453,Win,1.0,120.00000000000001,1.2000000000000002,0.6666666666666666,0.3565217391304348,1.0695652173913044,10106.95652173913,2025_bt,2025,3
2025-03-27,MacKenzie Gore,under,5.5,4.113010949533233,1.3869890504667666,15.959655714067011,22.13586772463031,V2_core,,-105.0,,,1.9523809523809523,0.5121951219512195,Loss,0.0,-100.0,-1.0,0.5,-0.06521739130434788,-0.13043478260869576,9986.95652173913,2025_bt,2025,3
2025-03-27,Cole Ragans,under,5.5,4.535169243456243,0.9648307565437566,10.637060857225231,10.2629634742786,V4_extra,,-105.0,,,1.9523809523809523,0.5121951219512195,Win,1.0,95.23809523809523,0.9523809523809522,0.8,0.6143892339544513,3.0719461697722568,10307.194616977225,2025_bt,2025,3
2025-03-29,Justin Verlander,under,4.5,3.0614657424203084,1.4385342575796916,11.640324173580808,16.745005093029004,V2_core,,-115.0,,,1.8695652173913042,0.5348837209302325,Loss,0.0,-100.0,-1.0,0.5454545454545454,0.12472237907020516,1.3719461697722568,10137.194616977225,2025_bt,2025,3
2025-03-29,Bailey Falter,over,3.5,4.031982833349601,0.5319828333496011,18.19671667614705,9.680340895036643,V4_extra,,120.0,,,2.2,0.45454545454545453,Win,1.0,120.00000000000001,1.2000000000000002,0.5833333333333334,0.2143288474810214,2.5719461697722568,10257.194616977225,2025_bt,2025,3
2025-03-30,Michael Wacha,under,4.5,3.5994723164522666,0.9005276835477334,18.101249175544144,16.300675989373087,V2_core,,110.0,,,2.1,0.47619047619047616,Win,1.0,110.00000000000001,1.1,0.5882352941176471,0.22187918645719157,3.771946169772257,10377.194616977225,2025_bt,2025,3
2025-03-30,Andrew Heaney,over,4.5,4.8191508381138055,0.3191508381138055,20.160285159153705,6.43417190515722,V4_extra,,130.0,,,2.3,0.43478260869565216,Loss,0.0,-100.0,-1.0,0.5384615384615384,0.12091893613632744,1.5719461697722568,10157.194616977225,2025_bt,2025,3
2025-03-30,Jacob deGrom,under,6.5,4.175174031894287,2.3248259681057126,35.89060187681056,83.43940325415281,V2_core,,110.0,,,2.1,0.47619047619047616,Win,1.0,110.00000000000001,1.1,0.5714285714285714,0.19085329784087549,2.671946169772257,10267.194616977225,2025_bt,2025,3
2025-03-30,Nick Pivetta,under,5.5,4.780185469233933,0.719814530766067,10.03370935148422,7.222409788681713,V4_extra,,100.0,,,2.0,0.5,Win,1.0,100.0,1.0,0.6,0.24479641131815044,3.671946169772257,10367.194616977225,2025_bt,2025,3
2025-03-30,Taj Bradley,under,6.5,4.3076039944927365,2.1923960055072635,25.013143247571744,54.838715341157275,V2_core,,-105.0,,,1.9523809523809523,0.5121951219512195,Loss,0.0,-100.0,-1.0,0.5625,0.16699663561076605,2.671946169772257,10267.194616977225,2025_bt,2025,3
2025-03-31,Bowden Francis,under,4.5,3.564851948138745,0.9351480518612552,21.410713556795457,20.022187071596637,V2_core,,115.0,,,2.15,0.46511627906976744,Win,1.0,114.99999999999999,1.15,0.65,0.3635973084886128,7.2719461697722565,10727.194616977225,2025_bt,2025,3
2025-03-31,Drew Rasmussen,under,4.5,2.4141394487722776,2.0858605512277224,33.28058951869692,69.41866879865272,V2_core,,110.0,,,2.1,0.47619047619047616,Win,1.0,110.00000000000001,1.1,0.6111111111111112,0.2706636760984587,4.871946169772257,10487.194616977225,2025_bt,2025,3
2025-03-31,Chris Paddack,under,4.5,3.972070364009584,0.5279296359904162,20.819874793070447,10.991428920871723,V4_extra,,125.0,,,2.25,0.4444444444444444,Win,1.0,125.0,1.25,0.631578947368421,0.32220769314590825,6.121946169772257,10612.194616977225,2025_bt,2025,3
2025-04-02,Kyle Freeland,under,4.5,3.679867419392865,0.8201325806071349,11.395778172915394,9.346048960979562,V4_extra,,100.0,,,2.0,0.5,Win,1.0,100.0,1.0,0.6666666666666666,0.39390219856058367,8.271946169772256,10827.194616977225,2025_bt,2025,4
2025-04-02,Luis Castillo,over,6.5,7.595029455869199,1.0950294558691986,15.052411479840975,16.482833952289543,V2_core,,100.0,,,2.0,0.5,Loss,0.0,-100.0,-1.0,0.6363636363636364,0.33054300771692074,7.2719461697722565,10727.194616977225,2025_bt,2025,4
2025-04-02,Framber Valdez,over,5.5,7.195123578711154,1.6951235787111545,10.27742010030645,17.421497140349423,V2_core,,-125.0,,,1.8,0.5555555555555556,Win,1.0,80.0,0.8,0.6521739130434783,0.35095418129444594,8.071946169772257,10807.194616977225,2025_bt,2025,4
2025-04-02,Sonny Gray,over,6.5,7.036164881092637,0.5361648810926374,23.63586184002541,12.672719052979229,V2_core,,130.0,,,2.3,0.43478260869565216,Win,1.0,129.99999999999997,1.2999999999999998,0.6666666666666666,0.39049775707384404,9.371946169772256,10937.194616977225,2025_bt,2025,4
2025-04-02,Paul Skenes,under,7.5,5.585467203160444,1.914532796839556,19.368910234367387,37.0824138827377,V2_core,,-110.0,,,1.9090909090909092,0.5238095238095238,Win,1.0,90.90909090909092,0.9090909090909092,0.68,0.4112414831545267,10.281037078863166,11028.103707886316,2025_bt,2025,4
2025-04-03,Carlos Carrasco,over,3.5,4.17287572455594,0.67287572455594,23.06607613813712,15.520602694111494,V2_core,,125.0,,,2.25,0.4444444444444444,Win,1.0,125.0,1.25,0.6923076923076923,0.4435014261101218,11.531037078863166,11153.103707886316,2025_bt,2025,4
2025-04-04,Dean Kremer,over,4.5,4.997663633306712,0.4976636333067121,12.32474403482644,6.133576895946953,V4_extra,,110.0,,,2.1,0.47619047619047616,Loss,0.0,-100.0,-1.0,0.6666666666666666,0.3900384103282654,10.531037078863166,11053.103707886316,2025_bt,2025,4
2025-04-04,Brandon Pfaadt,over,5.5,6.420909466936768,0.9209094669367685,7.625070671715662,7.021999767644857,V4_extra,,-110.0,,,1.9090909090909092,0.5238095238095238,Loss,0.0,-100.0,-1.0,0.6428571428571429,0.34039418138797023,9.531037078863166,10953.103707886316,2025_bt,2025,4
2025-04-04,Yoshinobu Yamamoto,under,5.5,4.853975739510371,0.6460242604896287,19.926251925418235,12.872842164448356,V2_core,,120.0,,,2.2,0.45454545454545453,Win,1.0,120.00000000000001,1.2000000000000002,0.6551724137931034,0.3700357613401092,10.731037078863167,11073.103707886316,2025_bt,2025,4
2025-04-05,Roki Sasaki,under,4.5,1.9724089106893496,2.5275910893106506,9.498793580694596,24.00906601376487,V2_core,,-150.0,,,1.6666666666666665,0.6,Win,1.0,66.66666666666666,0.6666666666666665,0.7058823529411765,0.4635051649118146,15.759175607001696,11575.917560700167,2025_bt,2025,4
2025-04-05,Jacob deGrom,under,6.5,4.706816941965433,1.7931830580345671,39.132453471089846,70.1716525836843,V2_core,,125.0,,,2.25,0.4444444444444444,Win,1.0,125.0,1.25,0.6666666666666666,0.3993679026287722,11.981037078863167,11198.103707886316,2025_bt,2025,4
2025-04-05,Cal Quantrill,over,3.5,4.391002104256423,0.8910021042564233,7.242914123249799,6.453451724764138,V4_extra,,-110.0,,,1.9090909090909092,0.5238095238095238,Win,1.0,90.90909090909092,0.9090909090909092,0.6774193548387096,0.41581058025658313,12.890127987954077,11289.012798795406,2025_bt,2025,4
