pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Michael Lorenzen,5.11,5.5,UNDER,-110.0,0.575,0.491,0.084,4,PAPER,0
J.T. Ginn,5.06,5.5,UNDER,-115.0,0.585,0.505,0.08,4,PAPER,0
