pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Ronel Blanco,117,146,4.5,OVER,PAPER-V3.1,140,betmgm,5.446,0.656,0.632,0.389,0.244,1,H0,lcb_1sd_8pp,t12,49.732,C,0.023,0.0,0.0,0.0,0.0,669854,50.0,Mixed signals,MIXED,7 internal/verified areas checked
Jacob Misiorowski,158,121,9.5,UNDER,PAPER-V3.1,-140,betmgm,7.417,0.212,0.249,0.455,-0.206,1,H0,lcb_1sd_8pp,t12,28.474,C,0.037,0.0,0.0,0.0,0.0,694819,44.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Trevor McDonald,137,118,3.5,OVER,PAPER-V3.1,120,betrivers,4.329,0.635,0.622,0.439,0.184,7,H0,lcb_1sd_8pp,t12,77.5,A,0.013,0.009,0.0,0.0,0.0,686790,16.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Ryan Weathers,147,134,6.5,UNDER,PAPER-V3.1,-123,draftkings,5.447,0.298,0.31,0.468,-0.158,6,H0,lcb_1sd_8pp,t12,78.008,A,0.013,0.013,0.0,0.0,0.0,677960,44.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
George Kirby,136,113,6.5,UNDER,PAPER-V3.1,100,betrivers,5.685,0.347,0.383,0.51,-0.127,7,H0,lcb_1sd_8pp,t12,59.977,B,0.036,0.012,0.0,0.0,0.0,669923,50.0,Mixed signals,MIXED,7 internal/verified areas checked
Jeffrey Springs,133,109,3.5,OVER,PAPER-V3.1,-102,fanduel,4.261,0.624,0.612,0.494,0.118,6,H0,lcb_1sd_8pp,t12,80.753,A,0.012,0.014,0.0,0.0,0.0,605488,29.0,Qualitative concerns,CONCERN,6 internal/verified areas checked
Nick Martinez,139,141,3.5,OVER,PAPER-CONV,129,draftkings,3.741,0.536,0.521,0.423,0.099,7,H0,lcb_1sd_8pp,t12,80.108,A,0.014,0.01,0.0,0.0,0.0,607259,4.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Bryce Elder,144,135,3.5,OVER,PAPER-CONV,-136,betrivers,4.415,0.656,0.646,0.554,0.092,6,H0,lcb_1sd_8pp,t12,80.446,A,0.01,0.015,0.0,0.0,0.0,693821,30.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jameson Taillon,112,116,3.5,OVER,PAPER-V3.1,-152,betrivers,4.5,0.666,0.661,0.572,0.09,5,H0,lcb_1sd_8pp,t12,91.353,A,0.005,0.005,0.0,0.0,0.0,592791,45.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Michael Wacha,118,137,4.5,OVER,PAPER-CONV,105,bovada,5.064,0.578,0.554,0.465,0.088,6,H0,lcb_1sd_8pp,t12,77.449,A,0.024,0.007,0.0,0.0,0.0,608379,49.0,Mixed signals,MIXED,7 internal/verified areas checked
Andrew Abbott,113,136,5.5,UNDER,PAPER-CONV,-156,draftkings,4.689,0.321,0.338,0.425,-0.087,1,H0,lcb_1sd_8pp,t12,54.296,B,0.017,0.0,0.0,0.0,0.0,671096,61.0,Moderate qualitative confirmation,SUPPORT,6 internal/verified areas checked
