pitcher,team,opp,proj_ks,line
Foster Griffin,114,110,5.162,
Ryan Johnson,108,111,4.302,
Tarik Skubal,119,113,7.293,
Yoshinobu Yamamoto,119,113,6.642,
Shane Baz,110,114,5.421,
Will Warren,147,115,4.641,
Zebby Matthews,142,116,5.022,
Cristopher Sánchez,143,117,6.25,
Zac Gallen,109,118,3.763,
Nick Lodolo,113,119,4.662,
Rhett Lowder,113,119,4.476,
Walker Buehler,135,120,4.555,
Casey Mize,135,120,4.345,
Janson Junk,146,121,3.876,
José Soriano,141,133,4.806,
Braydon Fisher,141,133,3.777,
Davis Martin,145,134,4.285,
Cal Quantrill,140,136,4.493,
Cody Bradford,140,136,4.351,
Andre Pallante,138,137,4.053,
Quinn Mathews,138,137,5.114,
Landen Roupp,137,138,4.512,
Blade Tidwell,137,138,4.478,
Brady Basso,133,141,3.283,
Jack Perkins,133,141,4.661,
Keider Montero,116,142,4.007,
Hunter Brown,117,143,5.562,
Griffin Jax,139,144,4.683,
Lake Bachar,134,145,4.396,
Robert Stock,121,146,4.365,
Tomoyuki Sugano,115,147,4.11,
Kevin Gausman,112,158,5.437,
