pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Seth Lugo,5.19,5.5,UNDER,111.0,0.56,0.443,0.117,2,PAPER,0
Brady Singer,5.55,6.5,UNDER,-135.0,0.652,0.545,0.107,4,PAPER,0
Cade Cavalli,4.91,5.5,UNDER,-121.0,0.613,0.51,0.103,2,PAPER,0
Merrill Kelly,5.36,5.5,UNDER,115.0,0.536,0.45,0.086,3,PAPER,0
Gavin Williams,4.84,5.5,UNDER,-138.0,0.618,0.54,0.078,2,PAPER,0
Gage Jump,4.97,5.5,UNDER,-130.0,0.596,0.525,0.071,3,PAPER,0
Bailey Ober,4.95,5.5,UNDER,-134.0,0.604,0.537,0.067,3,PAPER,0
Michael King,5.05,5.5,UNDER,-120.0,0.593,0.533,0.059,4,PAPER,0
