pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Jacob Misiorowski,158,121,6.447,8.5,-110.0,betmgm,-102.0,draftkings,0.207,0.235,0.207,0.212,H0,lcb_1sd_8pp,0.506,-0.298,-0.271,7.0,0.027,0.01,t12,67.771,B,CORROBORATED,False,True,694819.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Gabriel Hughes,115,120,4.333,3.5,-125.0,betmgm,112.0,fanduel,0.645,0.645,0.646,0.645,H3,raw_8pp,0.541,0.103,0.103,6.0,0.007,0.012,t4,78.161,A,CORROBORATED,False,True,687312.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Sean Manaea,121,158,5.733,4.5,-161.0,draftkings,127.0,betonlineag,0.69,0.668,0.69,0.688,H0,lcb_1sd_8pp,0.582,0.108,0.086,5.0,0.023,0.003,t12,86.171,A,CORROBORATED,True,True,640455.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Gerrit Cole,147,117,6.307,5.5,-113.0,fanduel,-105.0,draftkings,0.616,0.584,0.616,0.618,H0,lcb_1sd_8pp,0.507,0.109,0.077,7.0,0.032,0.008,t12,70.975,A,CORROBORATED,True,False,543037.0,-,PAPER-CONV,0.0,0.0,0.0,False
Sean Manaea,121,158,5.733,5.5,120.0,betmgm,-160.0,betmgm,0.524,0.498,0.524,0.521,H0,lcb_1sd_8pp,0.425,0.099,0.073,1.0,0.026,0.0,t12,45.92,C,LOW,False,False,640455.0,-,,0.0,0.0,0.0,False
Landen Roupp,137,109,4.835,4.5,115.0,betmgm,-138.0,fanduel,0.541,0.509,0.541,0.532,H0,lcb_1sd_8pp,0.448,0.093,0.061,7.0,0.031,0.007,t12,71.422,A,CORROBORATED,False,False,694738.0,-,,0.0,0.0,0.0,False
Chris Sale,144,119,6.682,7.5,128.0,fanduel,-141.0,draftkings,0.353,0.377,0.353,0.354,H0,lcb_1sd_8pp,0.43,-0.077,-0.053,5.0,0.024,0.013,t12,72.382,A,CORROBORATED,False,False,519242.0,-,,0.0,0.0,0.0,False
Hayden Wesneski,117,147,4.619,4.5,120.0,fanduel,-147.0,draftkings,0.497,0.475,0.497,0.491,H0,lcb_1sd_8pp,0.43,0.067,0.045,6.0,0.022,0.005,t12,77.963,A,CORROBORATED,False,False,669713.0,-,,0.0,0.0,0.0,False
Jake Irvin,120,115,5.01,4.5,-122.0,fanduel,105.0,betmgm,0.574,0.574,0.57,0.574,H3,raw_8pp,0.531,0.043,0.043,5.0,0.022,0.011,t4,76.57,A,CORROBORATED,False,False,663623.0,-,,0.0,0.0,0.0,False
Noah Cameron,118,141,4.842,4.5,-118.0,betonlineag,-103.0,draftkings,0.544,0.534,0.544,0.542,H0,lcb_1sd_8pp,0.514,0.03,0.02,6.0,0.01,0.006,t12,91.756,A,CORROBORATED,False,False,702070.0,-,,0.0,0.0,0.0,False
Trevor Rogers,110,138,4.945,4.5,-145.0,fanatics,119.0,draftkings,0.561,0.56,0.561,0.56,H0,lcb_1sd_8pp,0.56,0.0,0.0,6.0,0.017,0.007,t12,84.361,A,CORROBORATED,False,False,669432.0,-,,0.0,0.0,0.0,False
Yoshinobu Yamamoto,119,144,5.99,6.5,128.0,betonlineag,-155.0,betmgm,0.402,0.424,0.402,0.39,H0,lcb_1sd_8pp,0.424,-0.022,-0.0,6.0,0.041,0.006,t12,60.975,B,CORROBORATED,False,False,808967.0,-,,0.0,0.0,0.0,False
Spencer Arrighetti,141,118,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Connor Prielipp,142,133,5.322,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
J.T. Ginn,133,142,5.079,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
