pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Jack Perkins,4.46,5.5,UNDER,-155.0,0.696,0.561,0.136,1,PAPER,0
Ryan Feltner,5.11,5.5,UNDER,108.0,0.577,0.457,0.12,4,PAPER,0
Shane Baz,5.14,5.5,UNDER,-105.0,0.565,0.493,0.071,4,PAPER,0
Braxton Ashcraft,4.92,5.5,UNDER,-148.0,0.613,0.563,0.05,3,PAPER,0
Framber Valdez,5.46,5.5,UNDER,108.0,0.499,0.456,0.043,3,PAPER,0
