pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Dylan Cease,141,147,8.5,UNDER,PAPER-V3.1,109.0,draftkings,7.433,0.325,0.325,0.518,-0.193,7.0,H3,raw_8pp,t4,79.063,A,0.014,0.014,0.0,0.0,0.0,656302.0,26.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Freddy Peralta,139,110,5.5,UNDER,PAPER-V3.1,120.0,draftkings,5.033,0.391,0.391,0.571,-0.18,1.0,H3,raw_8pp,t4,50.685,B,0.022,0.0,0.0,0.0,0.0,642547.0,37.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Edward Cabrera,112,138,3.5,OVER,PAPER-V3.1,-156.0,fanduel,4.843,0.729,0.704,0.575,0.129,2.0,H0,lcb_1sd_8pp,t12,72.366,A,0.025,0.0,0.0,0.0,0.0,665795.0,16.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Gabriel Hughes,115,137,3.5,OVER,PAPER-V3.1,-135.0,betmgm,4.802,0.719,0.698,0.571,0.128,5.0,H0,lcb_1sd_8pp,t12,65.148,B,0.021,0.02,0.0,0.0,0.0,687312.0,25.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Casey Mize,135,114,3.5,OVER,PAPER-V3.1,-155.0,betmgm,4.604,0.681,0.681,0.567,0.115,1.0,H3,raw_8pp,t4,38.681,C,0.035,0.0,0.0,0.0,0.0,663554.0,10.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jacob Lopez,133,140,4.5,OVER,PAPER-V3.1,-115.0,betmgm,5.629,0.674,0.64,0.527,0.112,5.0,H0,lcb_1sd_8pp,t12,57.556,B,0.035,0.014,0.0,0.0,0.0,682052.0,57.0,Mixed signals,MIXED,7 internal/verified areas checked
Drew Anderson,116,145,4.5,OVER,PAPER-V3.1,108.0,betrivers,5.042,0.563,0.563,0.46,0.103,6.0,H3,raw_8pp,t4,77.463,A,0.021,0.008,0.0,0.0,0.0,623454.0,57.0,Mixed signals,MIXED,7 internal/verified areas checked
Trevor Rogers,110,139,4.5,OVER,PAPER-V3.1,117.0,draftkings,4.799,0.538,0.538,0.437,0.1,7.0,H3,raw_8pp,t4,92.729,A,0.018,0.003,0.0,0.0,0.0,669432.0,41.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Eury Pérez,146,113,6.5,UNDER,PAPER-V3.1,-101.0,draftkings,6.086,0.414,0.414,0.5,-0.086,7.0,H3,raw_8pp,t4,72.843,A,0.024,0.012,0.0,0.0,0.0,691587.0,13.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Bryce Elder,144,109,3.5,OVER,PAPER-V3.1,-146.0,fanduel,4.39,0.648,0.648,0.564,0.084,6.0,H3,raw_8pp,t4,96.038,A,0.012,0.004,0.0,0.0,0.0,693821.0,23.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Andrew Painter,143,142,3.5,OVER,PAPER-CONV,-135.0,betonlineag,4.4,0.65,0.628,0.543,0.084,7.0,H0,lcb_1sd_8pp,t12,77.367,A,0.022,0.006,0.0,0.0,0.0,691725.0,43.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
