pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Keider Montero,116,114,4.241,3.5,136.0,draftkings,-175.0,draftkings,0.622,0.622,0.614,0.622,H3,raw_8pp,0.4,0.222,0.222,1.0,0.028,0.0,t4,42.546,C,LOW,False,True,672456.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Keider Montero,116,114,4.241,2.5,-170.0,bovada,136.0,betonlineag,0.811,0.811,0.805,0.811,H3,raw_8pp,0.599,0.212,0.212,4.0,0.02,0.005,t4,82.904,A,CORROBORATED,False,False,672456.0,-,,0.0,0.0,0.0,True
Logan Gilbert,136,147,6.13,6.5,-146.0,fanduel,120.0,betmgm,0.409,0.409,0.419,0.409,H3,raw_8pp,0.566,-0.157,-0.157,5.0,0.051,0.005,t4,64.811,B,CORROBORATED,False,True,669302.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Cade Cavalli,120,112,6.027,5.5,125.0,betrivers,-140.0,draftkings,0.566,0.555,0.566,0.568,H0,lcb_1sd_8pp,0.44,0.126,0.115,7.0,0.01,0.011,t12,80.855,A,CORROBORATED,False,True,676917.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Max Scherzer,141,111,4.495,3.5,-165.0,fanatics,133.0,draftkings,0.663,0.655,0.663,0.662,H0,lcb_1sd_8pp,0.589,0.074,0.066,2.0,0.008,0.006,t12,64.527,B,CORROBORATED,False,False,453286.0,-,,0.0,0.0,0.0,False
Jacob deGrom,140,108,6.191,6.5,-122.0,fanduel,120.0,betmgm,0.434,0.473,0.434,0.424,H0,lcb_1sd_8pp,0.535,-0.1,-0.062,7.0,0.039,0.018,t12,56.175,B,CORROBORATED,True,False,594798.0,-,PAPER-CONV,0.0,0.0,0.0,False
Taj Bradley,142,143,6.474,5.5,-120.0,betmgm,113.0,draftkings,0.632,0.598,0.632,0.624,H0,lcb_1sd_8pp,0.536,0.096,0.061,7.0,0.035,0.013,t12,60.293,B,CORROBORATED,False,False,671737.0,-,,0.0,0.0,0.0,False
Max Fried,147,136,5.643,5.5,-138.0,draftkings,115.0,bovada,0.492,0.492,0.501,0.492,H3,raw_8pp,0.551,-0.059,-0.059,6.0,0.035,0.008,t4,72.66,A,CORROBORATED,False,False,608331.0,-,,0.0,0.0,0.0,False
Shane Drohan,158,119,5.032,4.5,102.0,betrivers,-110.0,betmgm,0.57,0.532,0.57,0.558,H0,lcb_1sd_8pp,0.48,0.091,0.052,7.0,0.038,0.014,t12,52.208,C,LOW,False,False,675660.0,-,,0.0,0.0,0.0,False
Tyler Phillips,146,134,4.112,3.5,-142.0,fanduel,120.0,betmgm,0.602,0.602,0.595,0.602,H3,raw_8pp,0.563,0.039,0.039,5.0,0.021,0.008,t4,79.991,A,CORROBORATED,False,False,663969.0,-,,0.0,0.0,0.0,False
Braxton Ashcraft,134,146,5.603,5.5,-125.0,fanduel,110.0,betonlineag,0.496,0.496,0.5,0.496,H3,raw_8pp,0.534,-0.039,-0.039,5.0,0.039,0.012,t4,56.267,B,CORROBORATED,False,False,677952.0,-,,0.0,0.0,0.0,False
Max Scherzer,141,111,4.495,4.5,132.0,betonlineag,-160.0,betmgm,0.467,0.451,0.467,0.468,H0,lcb_1sd_8pp,0.416,0.051,0.035,5.0,0.016,0.006,t12,75.175,A,CORROBORATED,False,False,453286.0,-,,0.0,0.0,0.0,False
Walbert Ureña,108,140,5.148,4.5,-130.0,betonlineag,111.0,draftkings,0.591,0.568,0.591,0.598,H0,lcb_1sd_8pp,0.54,0.051,0.028,5.0,0.024,0.007,t12,75.334,A,CORROBORATED,False,False,700712.0,-,,0.0,0.0,0.0,False
Roki Sasaki,119,158,5.654,5.5,-132.0,fanduel,107.0,betrivers,0.508,0.518,0.508,0.506,H0,lcb_1sd_8pp,0.54,-0.032,-0.021,6.0,0.01,0.004,t12,88.125,A,CORROBORATED,False,False,808963.0,-,,0.0,0.0,0.0,False
Tyler Phillips,146,134,4.112,4.5,131.0,draftkings,-168.0,draftkings,0.389,0.389,0.387,0.389,H3,raw_8pp,0.408,-0.02,-0.02,1.0,0.011,0.0,t4,52.891,B,CORROBORATED,False,False,663969.0,-,,0.0,0.0,0.0,False
Kevin Gausman,112,120,5.128,4.5,-140.0,betmgm,120.0,fanduel,0.588,0.57,0.588,0.594,H0,lcb_1sd_8pp,0.564,0.025,0.006,6.0,0.019,0.011,t12,78.37,A,CORROBORATED,False,False,592332.0,-,,0.0,0.0,0.0,False
Davis Martin,145,113,4.932,4.5,-124.0,draftkings,105.0,betmgm,0.559,0.528,0.559,0.567,H0,lcb_1sd_8pp,0.527,0.033,0.002,7.0,0.031,0.008,t12,71.784,A,CORROBORATED,False,False,663436.0,-,,0.0,0.0,0.0,False
Parker Messick,114,116,5.503,5.5,103.0,draftkings,-123.0,betonlineag,0.47,0.47,0.477,0.47,H3,raw_8pp,0.469,0.0,0.0,6.0,0.036,0.006,t4,70.592,A,CORROBORATED,False,False,800048.0,-,,0.0,0.0,0.0,False
Aaron Nola,143,142,5.305,5.5,126.0,fanduel,-149.0,draftkings,0.442,0.427,0.442,0.437,H0,lcb_1sd_8pp,0.427,0.015,0.0,6.0,0.021,0.008,t12,77.015,A,CORROBORATED,False,False,605400.0,-,,0.0,0.0,0.0,False
Payton Tolle,111,141,5.632,5.5,-111.0,fanduel,-103.0,draftkings,0.506,0.502,0.506,0.506,H0,lcb_1sd_8pp,0.502,0.005,0.0,6.0,0.015,0.009,t12,76.31,A,CORROBORATED,False,False,801139.0,-,,0.0,0.0,0.0,False
Walbert Ureña,108,140,5.148,5.5,135.0,betmgm,-185.0,betmgm,0.423,0.396,0.423,0.431,H0,lcb_1sd_8pp,0.396,0.027,0.0,1.0,0.03,0.0,t12,38.403,C,LOW,False,False,700712.0,-,,0.0,0.0,0.0,False
Andrew Abbott,113,145,4.708,4.5,-133.0,draftkings,115.0,betmgm,0.525,0.549,0.525,0.533,H0,lcb_1sd_8pp,0.549,-0.025,-0.0,6.0,0.032,0.009,t12,69.819,A,CORROBORATED,False,False,671096.0,-,,0.0,0.0,0.0,False
Cal Quantrill,140,108,3.985,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Eric Lauer,119,118,4.431,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
