pitcher,team,opp,proj_ks,line
George Kirby,136,108,5.419,
Taj Bradley,142,108,6.163,
Ryan Gusto,146,109,4.092,
Tyler Alexander,140,111,3.844,
MacKenzie Gore,140,111,5.331,
Justin Wrobleski,119,113,4.872,
Robbie Ray,135,115,4.088,
Michael King,135,115,4.672,
Erick Fedde,145,116,3.947,
Seth Lugo,118,117,4.398,
Daniel Lynch IV,118,117,3.943,
Cristian Javier,117,118,5.037,
Brady Singer,113,119,4.477,
Aaron Nola,143,121,5.284,
Drew Rasmussen,139,133,5.821,
Kyle Harrison,158,134,4.975,
Tanner Gordon,115,135,4.26,
Yusei Kikuchi,108,136,4.734,
Jeffrey Springs,133,139,3.676,
Sonny Gray,111,140,5.226,
Jake Bennett,111,140,4.46,
Walbert Ureña,108,142,5.133,
Nolan McLean,121,143,5.821,
Framber Valdez,116,145,4.567,
Merrill Kelly,109,146,4.24,
