pitcher,team,opp,proj_ks,line
MacKenzie Gore,140,109,4.942,
Kumar Rocker,140,109,4.354,
Paul Skenes,134,112,5.484,
Taj Bradley,142,114,5.861,
Connor Prielipp,142,114,4.916,
Tanner Gordon,115,116,4.243,
Ian Seymour,139,117,6.091,
Ranger Suarez,111,118,4.877,
Tyler Phillips,146,119,4.161,
Walbert Ureña,108,120,4.964,
Gerrit Cole,147,121,5.66,
George Kirby,136,133,4.767,
Bryan Woo,136,133,5.678,
Clay Holmes,112,134,4.083,
Jeffrey Springs,133,136,4.489,
Gage Jump,133,136,5.92,
Robbie Ray,135,137,4.482,
Michael King,135,137,5.153,
Anthony Kay,145,138,4.309,
Sean Newcomb,145,138,4.074,
Peter Lambert,117,139,4.55,
Merrill Kelly,109,140,4.485,
Brandon Pfaadt,109,140,4.671,
Kyle Bradish,110,141,4.61,
Parker Messick,114,142,5.684,
Tyler Mahle,144,143,4.873,
Matthew Liberatore,138,145,5.534,
Kyle Leahy,138,145,5.349,
Tyler Glasnow,119,146,5.591,
Zac Thornton,121,147,4.362,
Brady Singer,113,158,4.56,
