pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Dustin May,158,138,3.5,OVER,PAPER-V3.1,134.0,betonlineag,5.411,0.797,0.781,0.408,0.372,5.0,H0,lcb_1sd_8pp,t12,89.088,A,0.017,0.004,0.0,0.0,0.0,669160.0,53.0,Mixed signals,MIXED,7 internal/verified areas checked
Nathan Eovaldi,140,142,3.5,OVER,PAPER-V3.1,-104.0,fanduel,5.177,0.763,0.734,0.484,0.25,5.0,H0,lcb_1sd_8pp,t12,77.589,A,0.029,0.006,0.0,0.0,0.0,543135.0,42.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Trey Yesavage,141,113,3.5,OVER,PAPER-V3.1,-125.0,betmgm,5.288,0.787,0.776,0.538,0.238,6.0,H0,lcb_1sd_8pp,t12,77.147,A,0.011,0.012,0.0,0.0,0.0,702056.0,58.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Blake Snell,119,137,7.5,UNDER,PAPER-V3.1,-102.0,draftkings,6.28,0.296,0.331,0.514,-0.183,4.0,H0,lcb_1sd_8pp,t12,58.788,B,0.035,0.009,0.0,0.0,0.0,605483.0,53.0,Mixed signals,MIXED,7 internal/verified areas checked
Michael Wacha,118,114,3.5,OVER,PAPER-V3.1,-164.0,betonlineag,4.825,0.726,0.705,0.587,0.118,5.0,H0,lcb_1sd_8pp,t12,81.387,A,0.021,0.006,0.0,0.0,0.0,608379.0,43.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Tanner Bibee,114,118,3.5,OVER,PAPER-V3.1,-122.0,fanduel,4.467,0.665,0.648,0.534,0.114,7.0,H0,lcb_1sd_8pp,t12,77.676,A,0.017,0.015,0.0,0.0,0.0,676440.0,31.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jonah Tong,121,120,4.5,OVER,PAPER-V3.1,100.0,fanduel,5.009,0.577,0.577,0.474,0.103,7.0,H3,raw_8pp,t4,69.325,A,0.02,0.007,0.0,0.0,0.0,804636.0,30.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Quinn Mathews,138,158,4.5,OVER,PAPER-CONV,110.0,draftkings,5.042,0.576,0.557,0.468,0.089,7.0,H0,lcb_1sd_8pp,t12,68.867,A,0.02,0.013,0.0,0.0,0.0,687273.0,54.0,Mixed signals,MIXED,7 internal/verified areas checked
Walker Buehler,135,109,3.5,OVER,PAPER-CONV,-128.0,fanduel,4.358,0.639,0.622,0.537,0.085,6.0,H0,lcb_1sd_8pp,t12,82.491,A,0.017,0.009,0.0,0.0,0.0,621111.0,22.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jack Perkins,133,117,4.5,OVER,PAPER-CONV,-125.0,fanatics,5.366,0.632,0.614,0.532,0.082,7.0,H0,lcb_1sd_8pp,t12,78.174,A,0.018,0.008,0.0,0.0,0.0,678022.0,59.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
