pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Seth Lugo,5.15,6.5,UNDER,-145.0,0.721,0.564,0.157,3,PAPER,0
Colin Rea,5.15,5.5,UNDER,-102.0,0.574,0.476,0.098,4,PAPER,0
Shane Bieber,5.17,5.5,UNDER,100.0,0.565,0.486,0.079,2,PAPER,0
Luis Castillo,5.28,5.5,UNDER,100.0,0.544,0.468,0.076,4,PAPER,0
Michael Lorenzen,5.23,5.5,UNDER,-114.0,0.554,0.497,0.057,4,PAPER,0
Slade Cecconi,5.21,5.5,UNDER,-105.0,0.553,0.501,0.052,3,PAPER,0
Reid Detmers,4.8,5.5,UNDER,-163.0,0.632,0.582,0.05,2,PAPER,0
Dean Kremer,5.11,5.5,UNDER,-129.0,0.585,0.537,0.048,3,PAPER,0
