pitcher,team,opp,proj_ks,line
Max Scherzer,141,110,4.553,
Seth Lugo,118,111,4.445,
Dustin May,158,113,4.805,
Taj Bradley,142,114,5.905,
Framber Valdez,116,115,4.803,
Drew Rasmussen,139,117,5.7,
Sonny Gray,111,118,5.277,
Ryan Gusto,146,119,4.467,
Yusei Kikuchi,108,120,4.665,
Carlos Rodón,147,121,4.972,
George Kirby,136,133,4.954,
Shota Imanaga,112,134,5.327,
Jeffrey Springs,133,136,4.256,
Robbie Ray,135,137,4.463,
Anthony Kay,145,138,4.513,
Chris Bassitt,110,141,4.06,
Parker Messick,114,142,5.725,
Chris Sale,144,143,6.822,
Aaron Nola,143,144,5.372,
Matthew Liberatore,138,145,5.465,
Nolan McLean,121,147,6.179,
Andrew Abbott,113,158,4.508,
