pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Mason Barnett,133,139,4.537,3.5,120.0,betmgm,-134.0,betrivers,0.674,0.654,0.674,0.673,H0,lcb_1sd_8pp,0.445,0.229,0.209,7.0,0.02,0.011,t12,69.002,A,CORROBORATED,False,True,686930.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Tomoyuki Sugano,115,109,3.67,2.5,-130.0,fanduel,113.0,draftkings,0.728,0.714,0.728,0.733,H0,lcb_1sd_8pp,0.542,0.186,0.172,7.0,0.015,0.007,t12,86.679,A,CORROBORATED,False,True,608372.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Andre Pallante,138,143,4.419,3.5,112.0,fanduel,-135.0,betmgm,0.652,0.62,0.652,0.654,H0,lcb_1sd_8pp,0.452,0.2,0.168,7.0,0.032,0.007,t12,72.995,A,CORROBORATED,False,True,669467.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Brandon Young,110,142,4.779,3.5,-145.0,betmgm,105.0,betmgm,0.711,0.699,0.711,0.709,H0,lcb_1sd_8pp,0.548,0.162,0.151,1.0,0.011,0.0,t12,52.284,C,LOW,False,True,687064.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Dylan Cease,141,111,6.959,8.5,116.0,draftkings,-148.0,draftkings,0.268,0.296,0.268,0.273,H0,lcb_1sd_8pp,0.437,-0.169,-0.141,2.0,0.028,0.0,t12,68.483,A,CORROBORATED,False,True,656302.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Dylan Cease,141,111,6.959,7.5,-132.0,fanduel,115.0,betmgm,0.399,0.441,0.399,0.408,H0,lcb_1sd_8pp,0.55,-0.151,-0.109,4.0,0.042,0.012,t12,49.339,C,LOW,False,False,656302.0,-,,0.0,0.0,0.0,True
Brandon Young,110,142,4.779,4.5,128.0,betonlineag,-157.0,betrivers,0.535,0.52,0.535,0.532,H0,lcb_1sd_8pp,0.419,0.116,0.101,5.0,0.015,0.006,t12,83.548,A,CORROBORATED,False,False,687064.0,-,,0.0,0.0,0.0,True
Nick Martinez,139,133,3.918,3.5,130.0,betmgm,-141.0,betrivers,0.556,0.524,0.556,0.563,H0,lcb_1sd_8pp,0.433,0.122,0.09,6.0,0.032,0.015,t12,62.995,B,CORROBORATED,False,True,607259.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Bryan Woo,136,147,5.642,6.5,120.0,fanduel,-140.0,betmgm,0.338,0.355,0.338,0.337,H0,lcb_1sd_8pp,0.435,-0.097,-0.081,7.0,0.016,0.01,t12,81.163,A,CORROBORATED,False,True,693433.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Patrick Sandoval,111,141,4.949,4.5,124.0,fanduel,-140.0,betmgm,0.551,0.516,0.551,0.541,H0,lcb_1sd_8pp,0.436,0.115,0.081,7.0,0.035,0.012,t12,61.503,B,CORROBORATED,True,True,663776.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Ryan Weathers,147,136,5.583,6.5,120.0,fanduel,-142.0,draftkings,0.333,0.362,0.333,0.338,H0,lcb_1sd_8pp,0.433,-0.1,-0.071,6.0,0.03,0.007,t12,73.403,A,CORROBORATED,True,False,677960.0,-,PAPER-CONV,0.0,0.0,0.0,False
Sean Burke,145,113,6.662,7.5,118.0,betrivers,-150.0,draftkings,0.349,0.372,0.349,0.344,H0,lcb_1sd_8pp,0.435,-0.087,-0.064,3.0,0.023,0.006,t12,70.04,A,CORROBORATED,False,False,680732.0,-,,0.0,0.0,0.0,False
Sean Burke,145,113,6.662,6.5,-156.0,betonlineag,124.0,fanduel,0.503,0.527,0.503,0.5,H0,lcb_1sd_8pp,0.575,-0.072,-0.049,3.0,0.024,0.002,t12,74.586,A,CORROBORATED,False,False,680732.0,-,,0.0,0.0,0.0,False
Bailey Ober,142,110,4.638,4.5,120.0,betmgm,-127.0,betrivers,0.508,0.49,0.508,0.512,H0,lcb_1sd_8pp,0.447,0.06,0.043,7.0,0.018,0.016,t12,76.601,A,CORROBORATED,False,False,641927.0,-,,0.0,0.0,0.0,False
Cody Bradford,140,108,4.717,4.5,-146.0,fanduel,116.0,betrivers,0.518,0.529,0.518,0.52,H0,lcb_1sd_8pp,0.562,-0.044,-0.033,5.0,0.011,0.003,t12,84.105,A,CORROBORATED,False,False,674003.0,-,,0.0,0.0,0.0,False
Tanner Bibee,114,116,4.961,4.5,-105.0,draftkings,-115.0,fanduel,0.565,0.521,0.565,0.556,H0,lcb_1sd_8pp,0.488,0.078,0.033,6.0,0.045,0.008,t12,60.985,B,CORROBORATED,False,False,676440.0,-,,0.0,0.0,0.0,False
Martín Pérez,144,121,4.254,3.5,-140.0,betmgm,126.0,draftkings,0.621,0.603,0.621,0.625,H0,lcb_1sd_8pp,0.571,0.05,0.032,5.0,0.018,0.014,t12,74.115,A,CORROBORATED,False,False,527048.0,-,,0.0,0.0,0.0,False
Shota Imanaga,112,120,5.181,5.5,102.0,fanduel,-115.0,betmgm,0.428,0.451,0.428,0.424,H0,lcb_1sd_8pp,0.48,-0.053,-0.03,5.0,0.023,0.012,t12,75.288,A,CORROBORATED,False,False,684007.0,-,,0.0,0.0,0.0,False
