pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Adrian Houser,137,113,4.444,3.5,-113.0,fanduel,-104.0,draftkings,0.659,0.633,0.659,0.652,H0,lcb_1sd_8pp,0.507,0.151,0.126,6.0,0.026,0.007,t12,77.646,A,CORROBORATED,False,True,605288.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jackson Jobe,116,139,4.108,3.5,115.0,betmgm,-128.0,fanduel,0.595,0.573,0.595,0.598,H0,lcb_1sd_8pp,0.458,0.137,0.115,5.0,0.022,0.014,t12,65.722,B,CORROBORATED,False,True,695549.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Kyle Harrison,158,121,5.225,5.5,-135.0,betmgm,118.0,draftkings,0.44,0.456,0.44,0.441,H0,lcb_1sd_8pp,0.558,-0.118,-0.102,6.0,0.016,0.011,t12,80.771,A,CORROBORATED,True,True,690986.0,UNDER,PAPER-CONV,0.0,0.0,0.0,False
Brady Singer,113,137,4.88,4.5,120.0,fanduel,-125.0,betmgm,0.546,0.532,0.546,0.544,H0,lcb_1sd_8pp,0.449,0.097,0.083,7.0,0.014,0.018,t12,76.208,A,CORROBORATED,False,True,663903.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Ian Seymour,139,116,6.195,5.5,100.0,fanatics,-120.0,fanduel,0.593,0.563,0.593,0.584,H0,lcb_1sd_8pp,0.483,0.11,0.08,4.0,0.029,0.008,t12,61.788,B,CORROBORATED,True,True,693855.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Payton Tolle,111,146,5.756,6.5,120.0,fanduel,-140.0,betmgm,0.357,0.365,0.357,0.359,H0,lcb_1sd_8pp,0.438,-0.081,-0.073,6.0,0.008,0.01,t12,78.19,A,CORROBORATED,False,False,801139.0,-,,0.0,0.0,0.0,False
Tyler Glasnow,119,144,5.713,6.5,114.0,betrivers,-134.0,draftkings,0.348,0.381,0.348,0.342,H0,lcb_1sd_8pp,0.448,-0.1,-0.067,2.0,0.033,0.012,t12,51.662,C,LOW,False,False,607192.0,-,,0.0,0.0,0.0,False
Zac Thornton,121,158,4.475,3.5,-155.0,betmgm,126.0,fanduel,0.664,0.644,0.664,0.669,H0,lcb_1sd_8pp,0.58,0.085,0.065,5.0,0.02,0.007,t12,76.908,A,CORROBORATED,False,False,804267.0,-,,0.0,0.0,0.0,False
Aaron Nola,143,136,5.695,6.5,115.0,betmgm,-155.0,betmgm,0.34,0.373,0.34,0.329,H0,lcb_1sd_8pp,0.433,-0.094,-0.06,1.0,0.034,0.0,t12,36.584,C,LOW,False,False,605400.0,-,,0.0,0.0,0.0,False
Brandon Pfaadt,109,112,4.731,4.5,110.0,bovada,-125.0,betmgm,0.526,0.515,0.526,0.528,H0,lcb_1sd_8pp,0.461,0.065,0.054,7.0,0.011,0.01,t12,80.839,A,CORROBORATED,False,False,694297.0,-,,0.0,0.0,0.0,False
Jacob deGrom,140,145,6.347,6.5,-115.0,fanduel,108.0,draftkings,0.457,0.478,0.457,0.452,H0,lcb_1sd_8pp,0.523,-0.066,-0.045,7.0,0.02,0.016,t12,73.452,A,CORROBORATED,False,False,594798.0,-,,0.0,0.0,0.0,False
Gage Jump,133,142,5.271,4.5,-149.0,betonlineag,124.0,draftkings,0.621,0.61,0.621,0.622,H0,lcb_1sd_8pp,0.567,0.054,0.043,4.0,0.011,0.007,t12,77.91,A,CORROBORATED,False,False,695611.0,-,,0.0,0.0,0.0,False
Michael King,135,134,5.624,5.5,120.0,fanduel,-140.0,betmgm,0.503,0.476,0.503,0.51,H0,lcb_1sd_8pp,0.434,0.069,0.042,6.0,0.027,0.01,t12,71.753,A,CORROBORATED,False,False,650633.0,-,,0.0,0.0,0.0,False
George Kirby,136,143,4.54,4.5,-134.0,betrivers,115.0,draftkings,0.486,0.514,0.486,0.483,H0,lcb_1sd_8pp,0.553,-0.066,-0.038,6.0,0.028,0.01,t12,71.864,A,CORROBORATED,False,False,669923.0,-,,0.0,0.0,0.0,False
Max Scherzer,141,118,4.272,3.5,-148.0,betrivers,126.0,draftkings,0.628,0.604,0.628,0.634,H0,lcb_1sd_8pp,0.569,0.059,0.036,5.0,0.023,0.008,t12,67.96,B,CORROBORATED,False,False,453286.0,-,,0.0,0.0,0.0,False
Tyler Glasnow,119,144,5.713,5.5,-155.0,betmgm,124.0,fanduel,0.511,0.541,0.511,0.504,H0,lcb_1sd_8pp,0.574,-0.063,-0.033,5.0,0.03,0.004,t12,80.295,A,CORROBORATED,False,False,607192.0,-,,0.0,0.0,0.0,False
Zac Thornton,121,158,4.475,4.5,120.0,fanatics,-150.0,draftkings,0.473,0.458,0.473,0.476,H0,lcb_1sd_8pp,0.429,0.044,0.029,2.0,0.014,0.004,t12,69.879,A,CORROBORATED,False,False,804267.0,-,,0.0,0.0,0.0,False
Bryce Elder,144,119,4.539,4.5,120.0,betmgm,-148.0,draftkings,0.481,0.463,0.481,0.487,H0,lcb_1sd_8pp,0.434,0.047,0.029,6.0,0.018,0.005,t12,88.371,A,CORROBORATED,False,False,693821.0,-,,0.0,0.0,0.0,False
Will Warren,147,117,5.232,4.5,-143.0,betrivers,127.0,draftkings,0.607,0.595,0.607,0.607,H0,lcb_1sd_8pp,0.57,0.037,0.025,5.0,0.013,0.011,t12,82.124,A,CORROBORATED,False,False,701542.0,-,,0.0,0.0,0.0,False
Paul Skenes,134,135,5.935,6.5,121.0,draftkings,-150.0,fanatics,0.377,0.412,0.377,0.367,H0,lcb_1sd_8pp,0.429,-0.052,-0.017,6.0,0.035,0.004,t12,72.759,A,CORROBORATED,False,False,694973.0,-,,0.0,0.0,0.0,False
Seth Lugo,118,141,4.09,3.5,-120.0,betmgm,110.0,fanduel,0.591,0.552,0.591,0.593,H0,lcb_1sd_8pp,0.537,0.054,0.015,7.0,0.039,0.014,t12,57.437,B,CORROBORATED,False,False,607625.0,-,,0.0,0.0,0.0,False
Anthony Kay,145,140,4.862,4.5,-107.0,betrivers,103.0,draftkings,0.546,0.52,0.546,0.55,H0,lcb_1sd_8pp,0.507,0.039,0.013,6.0,0.026,0.017,t12,64.804,B,CORROBORATED,False,False,641743.0,-,,0.0,0.0,0.0,False
Gage Jump,133,142,5.271,5.5,130.0,fanduel,-166.0,fanduel,0.441,0.418,0.441,0.442,H0,lcb_1sd_8pp,0.41,0.032,0.009,2.0,0.023,0.001,t12,68.608,A,CORROBORATED,False,False,695611.0,-,,0.0,0.0,0.0,False
Max Scherzer,141,118,4.272,4.5,130.0,betmgm,-175.0,betmgm,0.427,0.406,0.427,0.433,H0,lcb_1sd_8pp,0.406,0.021,0.0,1.0,0.022,0.0,t12,40.434,C,LOW,False,False,453286.0,-,,0.0,0.0,0.0,False
Andrew Alvarez,120,115,4.546,4.5,-110.0,betonlineag,-113.0,fanduel,0.49,0.496,0.49,0.489,H0,lcb_1sd_8pp,0.496,-0.006,-0.0,4.0,0.023,0.005,t12,73.229,A,CORROBORATED,False,False,674841.0,-,,0.0,0.0,0.0,False
Paul Skenes,134,135,5.935,5.5,-155.0,betmgm,115.0,betmgm,0.543,0.567,0.543,0.535,H0,lcb_1sd_8pp,0.567,-0.024,-0.0,1.0,0.026,0.0,t12,46.522,C,LOW,False,False,694973.0,-,,0.0,0.0,0.0,False
Taj Bradley,142,133,5.909,5.5,-108.0,betrivers,-104.0,fanduel,0.544,0.507,0.544,0.528,H0,lcb_1sd_8pp,0.507,0.037,0.0,7.0,0.058,0.012,t12,48.46,C,LOW,False,False,671737.0,-,,0.0,0.0,0.0,False
