pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Cody Bradford,5.14,5.5,UNDER,105.0,0.574,0.477,0.097,4,PAPER,0
Jacob Lopez,4.66,5.5,UNDER,-146.0,0.657,0.563,0.095,3,PAPER,0
Bryan Woo,5.04,5.5,UNDER,-115.0,0.59,0.499,0.091,2,PAPER,0
