pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Eduardo Rodriguez,5.35,6.5,UNDER,-165.0,0.696,0.583,0.112,1,PAPER,0
Jacob Lopez,4.6,5.5,UNDER,-155.0,0.665,0.575,0.09,2,PAPER,0
Grayson Rodriguez,4.93,5.5,UNDER,-110.0,0.601,0.519,0.081,2,PAPER,0
Trey Yesavage,4.7,5.5,UNDER,-155.0,0.64,0.567,0.073,1,PAPER,0
Sean Manaea,5.05,5.5,UNDER,-125.0,0.582,0.509,0.072,1,PAPER,0
Patrick Sandoval,5.03,5.5,UNDER,-135.0,0.594,0.531,0.063,3,PAPER,0
Gabriel Hughes,4.79,5.5,UNDER,-150.0,0.632,0.569,0.063,2,PAPER,0
Hayden Wesneski,4.34,4.5,UNDER,110.0,0.534,0.471,0.062,3,PAPER,0
Logan Webb,5.51,5.5,UNDER,115.0,0.503,0.444,0.059,2,PAPER,0
Emerson Hancock,5.12,5.5,UNDER,-110.0,0.574,0.519,0.055,2,PAPER,0
Shane Drohan,5.0,5.5,UNDER,-140.0,0.595,0.548,0.047,2,PAPER,0
Matthew Boyd,5.13,5.5,UNDER,-115.0,0.566,0.522,0.044,3,PAPER,0
