pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Miles Mikolas,120,144,3.716,2.5,100.0,fanduel,-115.0,betmgm,0.732,0.732,0.73,0.732,H3,raw_8pp,0.482,0.25,0.25,7.0,0.007,0.01,t4,82.246,A,CORROBORATED,False,True,571945.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Cristopher Sánchez,143,110,5.921,6.5,-150.0,draftkings,120.0,betrivers,0.371,0.371,0.379,0.371,H3,raw_8pp,0.569,-0.198,-0.198,3.0,0.027,0.004,t4,72.954,A,CORROBORATED,False,True,650911.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Reynaldo López,144,120,5.162,3.5,-160.0,betmgm,120.0,betmgm,0.764,0.764,0.767,0.764,H3,raw_8pp,0.575,0.189,0.189,1.0,0.021,0.0,t4,46.262,B,CORROBORATED,False,True,625643.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Cristopher Sánchez,143,110,5.921,7.5,124.0,fanduel,-156.0,betonlineag,0.243,0.243,0.247,0.243,H3,raw_8pp,0.425,-0.181,-0.181,3.0,0.017,0.002,t4,82.866,A,CORROBORATED,False,False,650911.0,-,,0.0,0.0,0.0,True
Jacob deGrom,140,117,5.796,6.5,-102.0,fanduel,-112.0,draftkings,0.354,0.354,0.354,0.354,H3,raw_8pp,0.487,-0.133,-0.133,7.0,0.024,0.01,t4,80.591,A,CORROBORATED,False,True,594798.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Reynaldo López,144,120,5.162,4.5,112.0,fanduel,-130.0,betonlineag,0.578,0.578,0.588,0.578,H3,raw_8pp,0.453,0.125,0.125,5.0,0.035,0.009,t4,64.173,B,CORROBORATED,False,False,625643.0,-,,0.0,0.0,0.0,True
Braxton Ashcraft,134,113,5.981,6.5,-107.0,betrivers,-108.0,draftkings,0.385,0.385,0.396,0.385,H3,raw_8pp,0.501,-0.116,-0.116,7.0,0.034,0.009,t4,65.268,A,CORROBORATED,False,True,677952.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Ronel Blanco,117,140,5.62,4.5,-155.0,betmgm,123.0,draftkings,0.671,0.671,0.677,0.671,H3,raw_8pp,0.572,0.1,0.1,2.0,0.018,0.005,t4,72.109,A,CORROBORATED,False,True,669854.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Max Fried,147,112,4.673,5.5,135.0,bovada,-172.0,fanduel,0.316,0.316,0.321,0.316,H3,raw_8pp,0.401,-0.085,-0.085,2.0,0.024,0.002,t4,72.516,A,CORROBORATED,False,True,608331.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Tyler Mahle,137,135,4.388,3.5,-147.0,draftkings,126.0,fanduel,0.649,0.649,0.653,0.649,H3,raw_8pp,0.573,0.076,0.076,7.0,0.025,0.008,t4,82.454,A,CORROBORATED,False,False,641816.0,-,,0.0,0.0,0.0,False
Max Fried,147,112,4.673,4.5,-150.0,fanatics,129.0,draftkings,0.503,0.503,0.509,0.503,H3,raw_8pp,0.575,-0.072,-0.072,5.0,0.029,0.008,t4,77.771,A,CORROBORATED,False,False,608331.0,-,,0.0,0.0,0.0,False
Ryan Feltner,115,118,4.274,3.5,-142.0,fanduel,121.0,draftkings,0.629,0.629,0.623,0.629,H3,raw_8pp,0.562,0.067,0.067,6.0,0.02,0.007,t4,85.288,A,CORROBORATED,False,False,663372.0,-,,0.0,0.0,0.0,False
Walker Buehler,135,137,4.588,4.5,126.0,fanduel,-150.0,betrivers,0.49,0.49,0.497,0.49,H3,raw_8pp,0.423,0.067,0.067,6.0,0.026,0.009,t4,78.606,A,CORROBORATED,False,False,621111.0,-,,0.0,0.0,0.0,False
Andrew Abbott,113,134,4.923,5.5,129.0,draftkings,-134.0,betrivers,0.372,0.372,0.368,0.372,H3,raw_8pp,0.437,-0.065,-0.065,6.0,0.014,0.016,t4,79.229,A,CORROBORATED,False,False,671096.0,-,,0.0,0.0,0.0,False
Ronel Blanco,117,140,5.62,5.5,118.0,fanduel,-130.0,betonlineag,0.499,0.499,0.507,0.499,H3,raw_8pp,0.443,0.057,0.057,4.0,0.029,0.016,t4,58.097,B,CORROBORATED,False,False,669854.0,-,,0.0,0.0,0.0,False
Jack Perkins,133,116,5.126,4.5,-115.0,betmgm,101.0,draftkings,0.583,0.558,0.583,0.588,H0,lcb_1sd_8pp,0.52,0.062,0.038,7.0,0.024,0.01,t12,68.636,A,CORROBORATED,False,False,678022.0,-,,0.0,0.0,0.0,False
David Peterson,112,147,4.734,4.5,-148.0,fanduel,124.0,draftkings,0.531,0.531,0.526,0.531,H3,raw_8pp,0.567,-0.036,-0.036,6.0,0.028,0.007,t4,78.385,A,CORROBORATED,False,False,656849.0,-,,0.0,0.0,0.0,False
Shane Baz,110,143,5.145,5.5,110.0,bovada,-131.0,draftkings,0.42,0.42,0.415,0.42,H3,raw_8pp,0.455,-0.035,-0.035,7.0,0.018,0.007,t4,86.872,A,CORROBORATED,False,False,669358.0,-,,0.0,0.0,0.0,False
Framber Valdez,116,133,4.584,4.5,-125.0,fanduel,109.0,draftkings,0.496,0.523,0.496,0.489,H0,lcb_1sd_8pp,0.533,-0.037,-0.011,6.0,0.027,0.012,t12,67.256,B,CORROBORATED,False,False,664285.0,-,,0.0,0.0,0.0,False
Yoshinobu Yamamoto,119,111,6.547,6.5,-102.0,fanduel,-115.0,betmgm,0.484,0.484,0.495,0.484,H3,raw_8pp,0.487,-0.003,-0.003,6.0,0.038,0.008,t4,65.069,A,CORROBORATED,False,False,808967.0,-,,0.0,0.0,0.0,False
Payton Tolle,111,119,5.285,5.5,122.0,fanduel,-137.0,betrivers,0.438,0.438,0.439,0.438,H3,raw_8pp,0.436,0.003,0.003,7.0,0.009,0.011,t4,78.687,A,CORROBORATED,False,False,801139.0,-,,0.0,0.0,0.0,False
Michael Wacha,118,115,4.865,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Jeffrey Springs,133,116,4.398,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Nathan Eovaldi,140,117,5.898,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Tomoyuki Sugano,115,118,3.735,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Ranger Suarez,111,119,5.003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Tyler Phillips,146,121,3.904,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Connor Prielipp,142,136,4.992,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Zebby Matthews,142,136,4.685,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Kevin Gausman,141,138,5.508,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Jordan Hicks,145,139,4.427,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Hunter Brown,117,140,5.745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Logan Gilbert,136,142,6.196,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Bryce Miller,136,142,5.358,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Drew Rasmussen,139,145,5.557,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Zac Thornton,121,146,4.575,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Brent Suter,108,158,3.746,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Ryan Johnson,108,158,4.388,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
