pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Foster Griffin,5.19,6.5,UNDER,-119.0,0.72,0.521,0.2,3,PAPER,0
Tomoyuki Sugano,5.59,6.5,UNDER,105.0,0.652,0.484,0.168,4,PAPER,0
Andrew Abbott,5.22,5.5,UNDER,-104.0,0.56,0.497,0.063,3,PAPER,0
Bailey Ober,5.41,5.5,UNDER,101.0,0.522,0.479,0.042,4,PAPER,0
