pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Jackson Kent,4.2,4.5,UNDER,101.0,0.571,0.472,0.099,3,PAPER,0
Reid Detmers,4.48,5.5,UNDER,-185.0,0.691,0.604,0.087,1,PAPER,0
Tomoyuki Sugano,5.64,6.5,UNDER,-160.0,0.639,0.575,0.063,1,PAPER,0
Rhett Lowder,5.34,5.5,UNDER,-103.0,0.542,0.482,0.061,3,PAPER,0
Brandon Young,5.47,5.5,UNDER,106.0,0.512,0.472,0.04,4,PAPER,0
