pitcher,team,opp,proj_ks,line
José Soriano,141,114,4.82,
Luis Castillo,145,117,4.408,
Davis Martin,145,117,4.231,
Sandy Alcantara,146,118,4.793,
Blade Tidwell,137,134,4.586,
Jack Perkins,133,136,4.823,
Lake Bachar,134,137,4.601,
Tarik Skubal,119,138,7.135,
Yoshinobu Yamamoto,119,138,6.565,
Cal Quantrill,140,139,3.818,
Shane McClanahan,139,140,4.406,
Tanner Bibee,114,141,4.761,
Hayden Wesneski,117,145,4.946,
Hunter Brown,117,145,6.01,
Michael Wacha,118,146,5.051,
Reid Detmers,108,147,6.658,
Kevin Gausman,112,158,5.359,
