pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
Tomoyuki Sugano,6.05,6.5,UNDER,110.0,0.576,0.454,0.122,3,PAPER,0
Rhett Lowder,4.96,5.5,UNDER,-105.0,0.605,0.488,0.117,3,PAPER,0
Noah Cameron,5.26,5.5,UNDER,-105.0,0.546,0.48,0.066,1,PAPER,0
Hunter Brown,4.83,5.5,UNDER,-150.0,0.626,0.563,0.062,2,PAPER,0
Jake Irvin,4.76,5.5,UNDER,-160.0,0.637,0.578,0.059,2,PAPER,0
Nick Martinez,6.14,6.5,UNDER,-113.0,0.561,0.51,0.052,4,PAPER,0
Carson Whisenhunt,4.87,5.5,UNDER,-155.0,0.619,0.567,0.052,1,PAPER,0
Andrew Painter,4.88,5.5,UNDER,-155.0,0.617,0.567,0.05,1,PAPER,0
Tanner Bibee,5.34,5.5,UNDER,-108.0,0.539,0.489,0.05,3,PAPER,0
Sean Burke,4.89,5.5,UNDER,-140.0,0.616,0.569,0.048,3,PAPER,0
Eric Lauer,5.16,5.5,UNDER,-120.0,0.565,0.524,0.041,3,PAPER,0
