pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
David Peterson,112,138,3.5,OVER,PAPER-V3.1,125.0,fanatics,4.368,0.648,0.648,0.441,0.207,7.0,H3,raw_8pp,t4,72.243,A,0.021,0.017,0.0,0.0,0.0,656849.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Max Scherzer,141,120,2.5,OVER,PAPER-V3.1,-175.0,betmgm,4.197,0.797,0.797,0.594,0.203,1.0,H3,raw_8pp,t4,44.926,C,0.011,0.0,0.0,0.0,0.0,453286.0,7.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Matthew Liberatore,138,112,3.5,OVER,PAPER-V3.1,-160.0,betmgm,4.986,0.748,0.748,0.575,0.173,1.0,H3,raw_8pp,t4,58.266,B,0.009,0.0,0.0,0.0,0.0,669461.0,26.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Zack Wheeler,143,146,6.5,UNDER,PAPER-V3.1,145.0,betmgm,6.574,0.496,0.496,0.62,-0.125,1.0,H3,raw_8pp,t4,36.594,C,0.037,0.0,0.0,0.0,0.0,554430.0,4.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Walbert Ureña,108,117,4.5,OVER,PAPER-V3.1,-110.0,draftkings,5.3,0.622,0.622,0.509,0.113,6.0,H3,raw_8pp,t4,80.734,A,0.008,0.011,0.0,0.0,0.0,700712.0,71.0,Strong qualitative confirmation,SUPPORT,7 internal/verified areas checked
Slade Cecconi,114,113,4.5,UNDER,PAPER-V3.1,-124.0,betrivers,4.167,0.39,0.39,0.474,-0.083,7.0,H3,raw_8pp,t4,77.011,A,0.035,0.005,0.0,0.0,0.0,677944.0,70.0,Strong qualitative confirmation,SUPPORT,7 internal/verified areas checked
