pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Dylan Cease,141,111,7.5,UNDER,PAPER-V3.1,-104.0,fanduel,6.446,0.312,0.341,0.501,-0.16,6.0,H0,lcb_1sd_8pp,t12,65.269,B,0.029,0.018,0.0,0.0,0.0,656302.0,50.0,Mixed signals,MIXED,7 internal/verified areas checked
Robbie Ray,137,108,5.5,UNDER,PAPER-V3.1,110.0,fanatics,4.887,0.365,0.392,0.538,-0.147,7.0,H0,lcb_1sd_8pp,t12,72.681,A,0.027,0.01,0.0,0.0,0.0,592662.0,55.0,Mixed signals,MIXED,6 internal/verified areas checked
Robert Gasser,158,115,5.5,UNDER,PAPER-V3.1,-128.0,draftkings,4.505,0.297,0.307,0.451,-0.144,5.0,H0,lcb_1sd_8pp,t12,75.898,A,0.009,0.012,0.0,0.0,0.0,688107.0,58.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
JP Sears,135,146,3.5,OVER,PAPER-V3.1,-104.0,fanduel,4.396,0.653,0.621,0.491,0.129,6.0,H0,lcb_1sd_8pp,t12,68.122,B,0.032,0.009,0.0,0.0,0.0,676664.0,56.0,Mixed signals,MIXED,6 internal/verified areas checked
Brandon Young,110,144,4.5,OVER,PAPER-V3.1,120.0,fanatics,5.007,0.577,0.565,0.44,0.125,6.0,H0,lcb_1sd_8pp,t12,76.707,A,0.011,0.011,0.0,0.0,0.0,687064.0,71.0,Strong qualitative confirmation,SUPPORT,7 internal/verified areas checked
Ryan Johnson,108,137,3.5,OVER,PAPER-V3.1,-123.0,draftkings,4.497,0.67,0.646,0.532,0.114,6.0,H0,lcb_1sd_8pp,t12,64.008,B,0.025,0.014,0.0,0.0,0.0,696270.0,41.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Hunter Brown,117,145,5.5,UNDER,PAPER-V3.1,110.0,fanduel,5.136,0.413,0.443,0.544,-0.101,5.0,H0,lcb_1sd_8pp,t12,66.868,B,0.03,0.01,0.0,0.0,0.0,686613.0,68.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Ryan Weathers,147,143,6.5,UNDER,PAPER-V3.1,-156.0,draftkings,5.409,0.292,0.32,0.418,-0.098,5.0,H0,lcb_1sd_8pp,t12,80.402,A,0.028,0.004,0.0,0.0,0.0,677960.0,34.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Nick Martinez,139,114,3.5,OVER,PAPER-CONV,121.0,draftkings,3.912,0.559,0.531,0.442,0.09,7.0,H0,lcb_1sd_8pp,t12,73.429,A,0.028,0.008,0.0,0.0,0.0,607259.0,35.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Sonny Gray,111,141,4.5,OVER,PAPER-V3.1,-115.0,betmgm,5.488,0.655,0.616,0.527,0.089,7.0,H0,lcb_1sd_8pp,t12,58.736,B,0.039,0.013,0.0,0.0,0.0,543243.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
