pitcher,team,opp,proj_ks,line
Jesús Luzardo,143,109,6.293,
Tomoyuki Sugano,115,110,4.125,
Bryce Miller,136,111,4.845,
Jacob Misiorowski,158,112,6.584,
Casey Mize,135,113,4.329,
Dylan Cease,141,114,6.917,
Trevor Rogers,110,115,4.843,
Kyle Bradish,110,115,4.958,
Dean Kremer,142,116,4.943,
Davis Martin,145,117,4.194,
Sean Burke,145,117,5.678,
Eury Pérez,146,118,5.733,
Michael McGreevy,138,119,4.067,
Grant Holmes,144,120,4.181,
Griffin Jax,139,121,5.311,
MacKenzie Gore,140,133,5.847,
Cody Bradford,140,133,4.359,
Landen Roupp,137,134,4.942,
Brandon Williamson,113,135,4.022,
Patrick Sandoval,111,136,5.619,
Bubba Chandler,134,137,4.705,
Yoshinobu Yamamoto,119,138,6.347,
Jacob Lopez,133,140,5.463,
Joey Cantillo,114,141,4.727,
Drew Anderson,116,142,4.401,
Eduardo Rodriguez,109,143,4.736,
Brad Lord,120,144,4.0,
Hayden Wesneski,117,145,4.774,
Ronel Blanco,117,145,4.877,
Noah Cameron,118,146,5.112,
Reid Detmers,108,147,6.467,
Grayson Rodriguez,108,147,5.735,
David Peterson,112,158,4.526,
