pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Merrill Kelly,109,138,4.627,3.5,-113,fanduel,101,draftkings,0.692,0.674,0.692,0.691,H0,lcb_1sd_8pp,0.51,0.182,0.163,3,0.019,0.015,t12,66.725,B,CORROBORATED,False,True,518876,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Cal Quantrill,140,144,3.78,2.5,-165,betmgm,125,betmgm,0.755,0.745,0.755,0.757,H0,lcb_1sd_8pp,0.583,0.171,0.161,1,0.01,0.0,t12,51.607,C,LOW,False,True,615698,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Seth Lugo,118,135,4.942,4.5,132,draftkings,-166,fanduel,0.559,0.525,0.559,0.562,H0,lcb_1sd_8pp,0.408,0.151,0.117,3,0.034,0.002,t12,67.493,B,CORROBORATED,False,True,607625,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Cal Quantrill,140,144,3.78,3.5,134,fanduel,-163,draftkings,0.525,0.516,0.525,0.522,H0,lcb_1sd_8pp,0.409,0.116,0.107,4,0.009,0.004,t12,83.067,A,CORROBORATED,False,False,615698,-,,0.0,0.0,0.0,True
Reid Detmers,108,116,5.998,6.5,-120,betmgm,100,fanduel,0.397,0.441,0.397,0.384,H0,lcb_1sd_8pp,0.525,-0.128,-0.084,5,0.044,0.008,t12,58.684,B,CORROBORATED,False,True,672282,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Bailey Ober,142,112,4.373,3.5,-125,draftkings,120,betmgm,0.644,0.625,0.644,0.639,H0,lcb_1sd_8pp,0.541,0.103,0.084,5,0.019,0.019,t12,75.316,A,CORROBORATED,True,True,641927,OVER,PAPER-CONV,0.0,0.0,0.0,False
Colin Rea,112,142,4.359,3.5,-122,fanduel,113,draftkings,0.639,0.62,0.639,0.633,H0,lcb_1sd_8pp,0.537,0.101,0.082,5,0.019,0.018,t12,74.298,A,CORROBORATED,True,True,607067,OVER,PAPER-CONV,0.0,0.0,0.0,False
Anthony Kay,145,141,4.156,3.5,-110,betmgm,-105,draftkings,0.607,0.583,0.607,0.611,H0,lcb_1sd_8pp,0.505,0.102,0.078,6,0.024,0.009,t12,71.374,A,CORROBORATED,True,False,641743,-,PAPER-CONV,0.0,0.0,0.0,False
Cade Cavalli,120,133,5.449,4.5,-140,draftkings,124,fanduel,0.645,0.634,0.645,0.646,H0,lcb_1sd_8pp,0.568,0.077,0.066,3,0.011,0.012,t12,68.534,A,CORROBORATED,False,False,676917,-,,0.0,0.0,0.0,False
Brady Singer,113,115,4.783,4.5,114,draftkings,-140,fanduel,0.53,0.509,0.53,0.523,H0,lcb_1sd_8pp,0.448,0.082,0.061,4,0.021,0.005,t12,77.61,A,CORROBORATED,False,False,663903,-,,0.0,0.0,0.0,False
Jared Jones,134,114,5.049,5.5,100,fanatics,-118,draftkings,0.397,0.422,0.397,0.396,H0,lcb_1sd_8pp,0.481,-0.084,-0.059,6,0.025,0.008,t12,67.809,B,CORROBORATED,False,False,683003,-,,0.0,0.0,0.0,False
Peter Lambert,117,110,5.244,5.5,-104,fanduel,-110,betmgm,0.432,0.437,0.432,0.431,H0,lcb_1sd_8pp,0.49,-0.058,-0.053,5,0.005,0.012,t12,75.819,A,CORROBORATED,False,False,663567,-,,0.0,0.0,0.0,False
Roki Sasaki,119,147,4.751,5.5,130,betmgm,-175,betmgm,0.341,0.359,0.341,0.345,H0,lcb_1sd_8pp,0.406,-0.065,-0.047,1,0.018,0.0,t12,47.27,C,LOW,False,False,808963,-,,0.0,0.0,0.0,False
Gerrit Cole,147,119,5.715,5.5,122,draftkings,-138,fanduel,0.517,0.486,0.517,0.508,H0,lcb_1sd_8pp,0.444,0.073,0.042,6,0.031,0.013,t12,63.799,B,CORROBORATED,False,False,543037,-,,0.0,0.0,0.0,False
Chris Sale,144,140,6.859,7.5,116,draftkings,-138,fanduel,0.374,0.407,0.374,0.364,H0,lcb_1sd_8pp,0.445,-0.071,-0.039,5,0.032,0.008,t12,71.65,A,CORROBORATED,False,False,519242,-,,0.0,0.0,0.0,False
Gavin Williams,114,134,6.491,6.5,-143,betrivers,122,fanduel,0.483,0.529,0.483,0.47,H0,lcb_1sd_8pp,0.567,-0.084,-0.037,5,0.047,0.009,t12,53.197,B,CORROBORATED,False,False,668909,-,,0.0,0.0,0.0,False
Michael King,135,118,4.7,4.5,114,draftkings,-128,fanduel,0.514,0.495,0.514,0.511,H0,lcb_1sd_8pp,0.458,0.055,0.037,5,0.019,0.011,t12,77.162,A,CORROBORATED,False,False,650633,-,,0.0,0.0,0.0,False
Gage Jump,133,120,5.42,4.5,-164,draftkings,128,draftkings,0.648,0.62,0.648,0.639,H0,lcb_1sd_8pp,0.586,0.062,0.034,1,0.028,0.0,t12,38.646,C,LOW,False,False,695611,-,,0.0,0.0,0.0,False
Roki Sasaki,119,147,4.751,4.5,-138,draftkings,122,fanduel,0.521,0.529,0.521,0.52,H0,lcb_1sd_8pp,0.562,-0.04,-0.032,4,0.008,0.014,t12,70.047,A,CORROBORATED,False,False,808963,-,,0.0,0.0,0.0,False
Jake Bennett,111,139,4.278,3.5,-140,betmgm,136,draftkings,0.624,0.609,0.624,0.621,H0,lcb_1sd_8pp,0.58,0.044,0.028,5,0.016,0.019,t12,68.683,A,CORROBORATED,False,False,687562,-,,0.0,0.0,0.0,False
Sandy Alcantara,146,158,4.875,5.5,130,betmgm,-175,betmgm,0.363,0.382,0.363,0.36,H0,lcb_1sd_8pp,0.406,-0.043,-0.024,1,0.019,0.0,t12,53.767,B,CORROBORATED,False,False,645261,-,,0.0,0.0,0.0,False
Dean Kremer,110,117,4.652,4.5,-135,betmgm,112,fanduel,0.503,0.529,0.503,0.494,H0,lcb_1sd_8pp,0.549,-0.046,-0.02,4,0.026,0.008,t12,72.455,A,CORROBORATED,False,False,665152,-,,0.0,0.0,0.0,False
Gage Jump,133,120,5.42,5.5,130,fanatics,-162,fanduel,0.472,0.425,0.472,0.457,H0,lcb_1sd_8pp,0.414,0.058,0.011,3,0.047,0.004,t12,47.866,C,LOW,False,False,695611,-,,0.0,0.0,0.0,False
Chris Sale,144,140,6.859,6.5,-155,betmgm,115,betmgm,0.538,0.559,0.538,0.532,H0,lcb_1sd_8pp,0.567,-0.028,-0.007,1,0.021,0.0,t12,52.754,B,CORROBORATED,False,False,519242,-,,0.0,0.0,0.0,False
Landen Roupp,137,136,5.527,5.5,-118,draftkings,102,fanduel,0.495,0.517,0.495,0.489,H0,lcb_1sd_8pp,0.521,-0.026,-0.004,4,0.022,0.011,t12,68.841,A,CORROBORATED,False,False,694738,-,,0.0,0.0,0.0,False
Griffin Jax,139,111,4.817,4.5,-132,draftkings,115,bovada,0.533,0.55,0.533,0.53,H0,lcb_1sd_8pp,0.55,-0.017,-0.0,5,0.019,0.012,t12,66.854,B,CORROBORATED,False,False,643377,-,,0.0,0.0,0.0,False
Jake Bennett,111,139,4.278,4.5,128,betrivers,-175,betrivers,0.43,0.408,0.43,0.424,H0,lcb_1sd_8pp,0.408,0.022,0.0,1,0.025,0.0,t12,41.267,C,LOW,False,False,687562,-,,0.0,0.0,0.0,False
Bryce Miller,136,137,5.617,5.5,-135,betmgm,115,fanatics,0.494,0.551,0.494,0.473,H0,lcb_1sd_8pp,0.551,-0.058,-0.0,5,0.07,0.009,t12,49.746,C,LOW,False,False,682243,-,,0.0,0.0,0.0,False
Spencer Miles,141,145,3.832,3.5,-132,fanduel,120,betmgm,0.538,0.551,0.538,0.532,H0,lcb_1sd_8pp,0.551,-0.013,-0.0,3,0.021,0.017,t12,54.854,B,CORROBORATED,False,False,693686,-,,0.0,0.0,0.0,False
Logan Henderson,158,146,5.504,5.5,116,fanduel,-130,betmgm,0.486,0.45,0.486,0.473,H0,lcb_1sd_8pp,0.45,0.036,0.0,6,0.049,0.013,t12,43.051,C,LOW,False,False,701656,-,,0.0,0.0,0.0,False
Sandy Alcantara,146,158,4.875,4.5,-137,draftkings,110,fanduel,0.539,0.548,0.539,0.533,H0,lcb_1sd_8pp,0.548,-0.008,-0.0,4,0.02,0.005,t12,82.982,A,CORROBORATED,False,False,645261,-,,0.0,0.0,0.0,False
