pitcher,team,opp,proj_ks,line
Cal Quantrill,140,109,4.037,
Kumar Rocker,140,109,4.24,
Dylan Cease,141,110,7.262,
Noah Cameron,118,111,4.898,
Bubba Chandler,134,112,4.41,
Robert Gasser,158,113,4.746,
Joe Ryan,142,114,5.389,
Jackson Jobe,116,115,4.566,
Gabriel Hughes,115,116,4.392,
Freddy Peralta,139,117,4.846,
Payton Tolle,111,118,6.236,
Eury Pérez,146,119,5.479,
Grayson Rodriguez,108,120,5.289,
Cam Schlittler,147,121,6.944,
Bryce Miller,136,133,4.705,
Bryan Woo,136,133,5.749,
Matthew Boyd,112,134,4.359,
Logan Webb,137,135,4.384,
Jacob Lopez,133,136,5.986,
Nick Pivetta,135,137,5.19,
Hayden Wesneski,117,139,4.264,
Eduardo Rodriguez,109,140,5.235,
Brandon Pfaadt,109,140,4.629,
Trevor Rogers,110,141,4.715,
Tanner Bibee,114,142,4.509,
Grant Holmes,144,143,4.253,
Andrew Painter,143,144,4.506,
Michael McGreevy,138,145,4.526,
Emmet Sheehan,119,146,4.939,
Christian Scott,121,147,5.352,
Chase Burns,113,158,5.29,
