pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Gabriel Hughes,115,139,4.995,3.5,117.0,draftkings,-130.0,fanduel,0.747,0.726,0.747,0.741,H0,lcb_1sd_8pp,0.448,0.299,0.277,7.0,0.022,0.014,t12,66.222,B,CORROBORATED,False,True,687312.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Randy Dobnak,118,142,4.189,2.5,-105.0,betmgm,102.0,fanduel,0.794,0.786,0.794,0.794,H0,lcb_1sd_8pp,0.522,0.272,0.265,7.0,0.008,0.019,t12,71.182,A,CORROBORATED,False,True,677976.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Randy Vásquez,135,109,3.651,2.5,-105.0,betmgm,-113.0,draftkings,0.721,0.689,0.721,0.713,H0,lcb_1sd_8pp,0.489,0.232,0.2,4.0,0.032,0.008,t12,67.31,B,CORROBORATED,False,True,681190.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jesús Luzardo,143,120,6.426,7.5,-112.0,draftkings,-113.0,fanduel,0.311,0.33,0.311,0.308,H0,lcb_1sd_8pp,0.499,-0.188,-0.169,6.0,0.019,0.001,t12,92.297,A,CORROBORATED,False,True,666200.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Tarik Skubal,119,112,6.424,7.5,-115.0,betmgm,102.0,fanduel,0.312,0.353,0.312,0.303,H0,lcb_1sd_8pp,0.515,-0.202,-0.162,6.0,0.04,0.01,t12,60.677,B,CORROBORATED,False,True,669373.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Ryan Gusto,146,144,4.202,3.5,-111.0,draftkings,-111.0,fanduel,0.621,0.601,0.621,0.616,H0,lcb_1sd_8pp,0.501,0.12,0.1,6.0,0.02,0.003,t12,79.198,A,CORROBORATED,False,True,687473.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Jared Jones,134,158,5.0,5.5,-125.0,fanduel,100.0,fanatics,0.394,0.428,0.394,0.397,H0,lcb_1sd_8pp,0.527,-0.133,-0.099,6.0,0.033,0.005,t12,68.617,A,CORROBORATED,False,True,683003.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Javier Assad,112,119,4.032,3.5,106.0,fanduel,-125.0,betmgm,0.578,0.555,0.578,0.585,H0,lcb_1sd_8pp,0.465,0.113,0.09,6.0,0.023,0.008,t12,80.545,A,CORROBORATED,True,True,665871.0,OVER,PAPER-CONV,0.0,0.0,0.0,False
Emerson Hancock,136,116,4.556,5.5,122.0,fanduel,-156.0,fanduel,0.31,0.341,0.31,0.304,H0,lcb_1sd_8pp,0.424,-0.114,-0.083,3.0,0.031,0.001,t12,70.492,A,CORROBORATED,True,True,676106.0,UNDER,PAPER-CONV,0.0,0.0,0.0,False
Brady Singer,113,133,5.05,4.5,-103.0,draftkings,-111.0,fanduel,0.586,0.569,0.586,0.588,H0,lcb_1sd_8pp,0.494,0.092,0.075,6.0,0.017,0.008,t12,81.04,A,CORROBORATED,False,False,663903.0,-,,0.0,0.0,0.0,False
