pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Chris Sale,144,135,6.216,7.5,118.0,fanduel,-140.0,draftkings,0.28,0.28,0.287,0.28,H3,raw_8pp,0.441,-0.162,-0.162,5.0,0.028,0.006,t4,81.825,A,CORROBORATED,False,True,519242.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Chris Sale,144,135,6.216,6.5,-157.0,betrivers,118.0,betrivers,0.423,0.423,0.432,0.423,H3,raw_8pp,0.571,-0.148,-0.148,1.0,0.037,0.0,t4,36.948,C,LOW,False,False,519242.0,-,,0.0,0.0,0.0,True
Shane Bieber,141,139,4.991,4.5,132.0,betonlineag,-154.0,fanduel,0.563,0.546,0.563,0.559,H0,lcb_1sd_8pp,0.423,0.14,0.123,7.0,0.017,0.01,t12,71.481,A,CORROBORATED,False,True,669456.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Brandon Pfaadt,109,138,4.177,3.5,106.0,fanduel,-124.0,draftkings,0.611,0.579,0.611,0.612,H0,lcb_1sd_8pp,0.466,0.144,0.112,5.0,0.032,0.011,t12,67.895,B,CORROBORATED,False,True,694297.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Gavin Williams,114,142,6.212,6.5,-125.0,fanduel,105.0,betmgm,0.427,0.427,0.438,0.427,H3,raw_8pp,0.528,-0.101,-0.101,6.0,0.041,0.008,t4,63.515,B,CORROBORATED,False,True,668909.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Griffin Canning,135,144,4.504,3.5,-165.0,betmgm,125.0,betmgm,0.66,0.66,0.668,0.66,H3,raw_8pp,0.583,0.077,0.077,1.0,0.03,0.0,t4,40.02,C,LOW,False,False,656288.0,-,,0.0,0.0,0.0,False
Ian Seymour,139,141,5.254,4.5,-115.0,betmgm,106.0,draftkings,0.621,0.601,0.621,0.619,H0,lcb_1sd_8pp,0.525,0.096,0.076,6.0,0.02,0.013,t12,65.45,B,CORROBORATED,False,False,693855.0,-,,0.0,0.0,0.0,False
Griffin Canning,135,144,4.504,4.5,128.0,fanduel,-157.0,draftkings,0.466,0.466,0.478,0.466,H3,raw_8pp,0.418,0.048,0.048,6.0,0.042,0.006,t4,65.215,A,CORROBORATED,False,False,656288.0,-,,0.0,0.0,0.0,False
Taj Bradley,142,114,6.054,6.5,123.0,draftkings,-152.0,betonlineag,0.395,0.395,0.402,0.395,H3,raw_8pp,0.427,-0.032,-0.032,4.0,0.028,0.004,t4,77.024,A,CORROBORATED,False,False,671737.0,-,,0.0,0.0,0.0,False
Taj Bradley,142,114,6.054,5.5,-155.0,betmgm,115.0,betmgm,0.551,0.551,0.557,0.551,H3,raw_8pp,0.567,-0.015,-0.015,1.0,0.025,0.0,t4,45.936,B,CORROBORATED,False,False,671737.0,-,,0.0,0.0,0.0,False
Troy Melton,116,118,5.374,5.5,-104.0,fanduel,-110.0,draftkings,0.466,0.493,0.466,0.453,H0,lcb_1sd_8pp,0.493,-0.027,-0.0,7.0,0.042,0.009,t12,50.686,C,LOW,False,False,675512.0,-,,0.0,0.0,0.0,False
Keider Montero,116,112,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Colin Rea,112,116,4.601,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Sandy Alcantara,146,117,5.129,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Anthony Kay,145,140,4.529,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
Peter Lambert,117,146,5.763,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,False
