pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Hunter Brown,117,110,6.5,UNDER,PAPER-V3.1,122.0,fanduel,5.687,0.345,0.352,0.569,-0.217,5.0,H0,lcb_1sd_8pp,t12,85.867,A,0.007,0.008,0.0,0.0,0.0,686613.0,41.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Hunter Greene,113,115,7.5,UNDER,PAPER-V3.1,-140.0,draftkings,5.971,0.251,0.282,0.434,-0.152,4.0,H0,lcb_1sd_8pp,t12,61.991,B,0.031,0.011,0.0,0.0,0.0,668881.0,58.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Paul Skenes,134,114,7.5,UNDER,PAPER-V3.1,-148.0,draftkings,6.292,0.288,0.288,0.436,-0.147,4.0,H3,raw_8pp,t4,83.174,A,0.018,0.007,0.0,0.0,0.0,694973.0,46.0,Mixed signals,MIXED,7 internal/verified areas checked
Trey Yesavage,141,145,5.5,UNDER,PAPER-V3.1,110.0,bovada,5.236,0.423,0.423,0.543,-0.121,6.0,H3,raw_8pp,t4,66.031,A,0.038,0.006,0.0,0.0,0.0,702056.0,60.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
Sonny Gray,111,139,4.5,OVER,PAPER-V3.1,-130.0,fanatics,5.623,0.664,0.664,0.551,0.113,7.0,H3,raw_8pp,t4,53.528,B,0.046,0.016,0.0,0.0,0.0,543243.0,31.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Eduardo Rodriguez,109,138,3.5,OVER,PAPER-V3.1,-155.0,betmgm,4.715,0.71,0.676,0.578,0.098,6.0,H0,lcb_1sd_8pp,t12,69.092,A,0.034,0.007,0.0,0.0,0.0,593958.0,43.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Jacob Lopez,133,120,3.5,OVER,PAPER-CONV,-134.0,draftkings,4.57,0.672,0.656,0.558,0.097,6.0,H0,lcb_1sd_8pp,t12,75.958,A,0.016,0.009,0.0,0.0,0.0,682052.0,32.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Eury Pérez,146,158,6.5,UNDER,PAPER-CONV,-139.0,draftkings,5.678,0.334,0.354,0.448,-0.094,4.0,H0,lcb_1sd_8pp,t12,77.944,A,0.021,0.006,0.0,0.0,0.0,691587.0,50.0,Mixed signals,MIXED,7 internal/verified areas checked
Germán Márquez,135,118,3.5,OVER,PAPER-CONV,130.0,fanatics,3.754,0.53,0.503,0.417,0.085,7.0,H0,lcb_1sd_8pp,t12,70.886,A,0.028,0.009,0.0,0.0,0.0,608566.0,43.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Robbie Ray,137,136,5.5,UNDER,PAPER-CONV,-123.0,draftkings,4.896,0.366,0.382,0.466,-0.084,4.0,H0,lcb_1sd_8pp,t12,73.014,A,0.017,0.014,0.0,0.0,0.0,592662.0,70.0,Strong qualitative confirmation,SUPPORT,6 internal/verified areas checked
